mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;10;27;0;0;0;0;-1;0
1;10;0;12;144;0;0;-1;0
2;36;17;0;0;0;0;-1;0
2;36;0;1;131;0;0;-1;0
3;2;15;0;0;0;0;-1;0
3;2;0;11;137;0;0;-1;0
4;24;14;0;0;0;0;-1;0
4;24;0;2;145;0;0;-1;0
5;1;13;0;0;0;0;-1;0
5;1;0;1;119;0;0;-1;0
6;3;13;0;0;0;0;-1;0
6;3;0;1;117;0;0;-1;0
7;38;12;0;0;0;0;-1;0
7;38;0;1;114;0;0;-1;0
8;25;12;0;0;0;0;-1;0
8;25;0;2;122;0;0;-1;0
9;16;12;0;0;0;0;-1;0
9;16;0;9;114;0;0;-1;0
10;5;11;0;0;0;0;-1;0
10;5;0;1;115;0;0;-1;0
11;31;11;0;0;0;0;-1;0
11;31;0;2;115;0;0;-1;0
12;7;14;0;0;0;0;-1;0
12;7;0;8;115;0;0;-1;0
13;37;11;0;0;0;0;-1;0
13;37;0;7;120;0;0;-1;0
14;4;13;0;0;0;0;-1;0
14;4;0;7;122;0;0;-1;0
15;18;13;0;0;0;0;-1;0
15;18;0;8;120;0;0;-1;0
16;26;12;0;0;0;0;-1;0
16;26;0;7;130;0;0;-1;0
17;32;11;0;0;0;0;-1;0
17;32;0;2;114;0;0;-1;0
18;22;13;0;0;0;0;-1;0
18;22;0;1;113;0;0;-1;0
19;23;12;0;0;0;0;-1;0
19;23;0;1;114;0;0;-1;0
20;27;12;0;0;0;0;-1;0
20;27;0;1;113;0;0;-1;0
21;9;11;0;0;0;0;-1;0
21;9;0;1;125;0;0;-1;0
22;6;11;0;0;0;0;-1;0
22;6;0;9;112;0;0;-1;0
23;8;11;0;0;0;0;-1;0
23;8;0;1;113;0;0;-1;0
24;29;12;0;0;0;0;-1;0
24;29;0;7;118;0;0;-1;0
25;15;11;0;0;0;0;-1;0
25;15;0;9;114;0;0;-1;0
26;33;11;0;0;0;0;-1;0
26;33;0;1;114;0;0;-1;0
27;10;11;0;0;0;0;-1;0
27;10;0;0;-1;1;0;0;0
28;10;11;0;0;0;0;-1;0
28;10;0;1;113;0;0;-1;0
29;10;11;0;0;0;0;-1;0
29;10;0;1;116;0;0;-1;0
30;10;11;0;0;0;0;-1;0
30;10;0;1;114;0;0;-1;0
31;10;11;0;0;0;0;-1;0
31;10;0;1;112;0;0;-1;0
32;10;11;0;0;0;0;-1;0
32;10;0;1;114;0;0;-1;0
33;10;11;0;0;0;0;-1;0
33;10;0;1;119;0;0;-1;0
34;10;11;0;0;0;0;-1;0
34;10;0;1;122;0;0;-1;0
35;10;11;0;0;0;0;-1;0
35;10;0;1;121;0;0;-1;0
36;10;11;0;0;0;0;-1;0
36;10;0;1;120;0;0;-1;0
37;10;11;0;0;0;0;-1;0
37;10;0;2;118;0;0;-1;0
38;10;11;0;0;0;0;-1;0
38;10;0;1;119;0;0;-1;0
39;10;11;0;0;0;0;-1;0
39;10;0;0;120;0;0;-1;0
40;10;11;0;0;0;0;-1;0
40;10;0;0;130;0;0;-1;0
41;10;14;0;0;0;0;-1;0
41;10;0;1;114;0;0;-1;0
42;10;12;0;0;0;0;-1;0
42;10;0;1;113;0;0;-1;0
43;10;11;0;0;0;0;-1;0
43;10;0;1;113;0;0;-1;0
44;10;11;0;0;0;0;-1;0
44;10;0;1;112;0;0;-1;0
45;10;12;0;0;0;0;-1;0
45;10;0;1;112;0;0;-1;0
46;10;12;0;0;0;0;-1;0
46;10;0;1;113;0;0;-1;0
47;10;11;0;0;0;0;-1;0
47;10;0;1;114;0;0;-1;0
48;10;10;0;0;0;0;-1;0
48;10;0;1;113;0;0;-1;0
49;10;10;0;0;0;0;-1;0
49;10;0;1;113;0;0;-1;0
50;10;10;0;0;0;0;-1;0
50;10;0;1;112;0;0;-1;0
51;10;11;0;0;0;0;-1;0
51;10;0;0;113;0;0;-1;0
52;10;10;0;0;0;0;-1;0
52;10;0;1;113;0;0;-1;0
53;10;11;0;0;0;0;-1;0
53;10;0;1;112;0;0;-1;0
54;10;11;0;0;0;0;-1;0
54;10;0;1;113;0;0;-1;0
55;10;9;0;0;0;0;-1;0
55;10;0;1;113;0;0;-1;0
56;10;9;0;0;0;0;-1;0
56;10;0;1;114;0;0;-1;0
57;10;9;0;0;0;0;-1;0
57;10;0;1;122;0;0;-1;0
58;10;10;0;0;0;0;-1;0
58;10;0;1;112;0;0;-1;0
59;10;10;0;0;0;0;-1;0
59;10;0;1;112;0;0;-1;0
60;10;10;0;0;0;0;-1;0
60;10;0;1;113;0;0;-1;0
61;10;9;0;0;0;0;-1;0
61;10;0;1;113;0;0;-1;0
62;10;9;0;0;0;0;-1;0
62;10;0;1;113;0;0;-1;0
63;10;9;0;0;0;0;-1;0
63;10;0;1;113;0;0;-1;0
64;10;9;0;0;0;0;-1;0
64;10;0;1;113;0;0;-1;0
65;10;9;0;0;0;0;-1;0
65;10;0;1;114;0;0;-1;0
66;10;10;0;0;0;0;-1;0
66;10;0;0;113;0;0;-1;0
67;10;10;0;0;0;0;-1;0
67;10;0;0;122;0;0;-1;0
68;10;9;0;0;0;0;-1;0
68;10;0;1;113;0;0;-1;0
69;10;9;0;0;0;0;-1;0
