mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;10;28;0;0;0;0;-1;0
1;10;0;12;157;0;0;-1;0
2;10;17;0;0;0;0;-1;0
2;10;0;1;117;0;0;-1;0
3;10;15;0;0;0;0;-1;0
3;10;0;1;116;0;0;-1;0
4;10;14;0;0;0;0;-1;0
4;10;0;1;119;0;0;-1;0
5;10;12;0;0;0;0;-1;0
5;10;0;1;130;0;0;-1;0
6;10;11;0;0;0;0;-1;0
6;10;0;1;114;0;0;-1;0
7;10;11;0;0;0;0;-1;0
7;10;0;1;112;0;0;-1;0
8;10;10;0;0;0;0;-1;0
8;10;0;1;111;0;0;-1;0
9;10;12;0;0;0;0;-1;0
9;10;0;1;124;0;0;-1;0
10;10;12;0;0;0;0;-1;0
10;10;0;1;111;0;0;-1;0
11;10;11;0;0;0;0;-1;0
11;10;0;4;113;0;0;-1;0
12;10;14;0;0;0;0;-1;0
12;10;0;0;112;0;0;-1;0
13;10;11;0;0;0;0;-1;0
13;10;0;0;114;0;0;-1;0
14;10;12;0;0;0;0;-1;0
14;10;0;1;120;0;0;-1;0
15;10;11;0;0;0;0;-1;0
15;10;0;1;120;0;0;-1;0
16;10;11;0;0;0;0;-1;0
16;10;0;1;119;0;0;-1;0
17;10;11;0;0;0;0;-1;0
17;10;0;1;148;0;0;-1;0
18;10;11;0;0;0;0;-1;0
18;10;0;1;112;0;0;-1;0
19;10;10;0;0;0;0;-1;0
19;10;0;1;112;0;0;-1;0
20;10;10;0;0;0;0;-1;0
20;10;0;1;112;0;0;-1;0
21;10;10;0;0;0;0;-1;0
21;10;0;1;113;0;0;-1;0
22;10;10;0;0;0;0;-1;0
22;10;0;1;112;0;0;-1;0
23;10;10;0;0;0;0;-1;0
23;10;0;1;112;0;0;-1;0
24;10;12;0;0;0;0;-1;0
24;10;0;0;111;0;0;-1;0
25;10;11;0;0;0;0;-1;0
25;10;0;0;114;0;0;-1;0
26;10;10;0;0;0;0;-1;0
26;10;0;1;120;0;0;-1;0
27;10;10;0;0;0;0;-1;0
27;10;0;1;112;0;0;-1;0
28;10;11;0;0;0;0;-1;0
28;10;0;1;112;0;0;-1;0
29;10;10;0;0;0;0;-1;0
29;10;0;1;115;0;0;-1;0
30;10;10;0;0;0;0;-1;0
30;10;0;2;114;0;0;-1;0
31;10;10;0;0;0;0;-1;0
31;10;0;1;111;0;0;-1;0
32;10;12;0;0;0;0;-1;0
32;10;0;1;112;0;0;-1;0
33;10;11;0;0;0;0;-1;0
33;10;0;1;113;0;0;-1;0
34;10;10;0;0;0;0;-1;0
34;10;0;0;116;0;0;-1;0
35;10;12;0;0;0;0;-1;0
35;10;0;1;119;0;0;-1;0
36;10;11;0;0;0;0;-1;0
36;10;0;1;117;0;0;-1;0
37;10;12;0;0;0;0;-1;0
37;10;0;0;119;0;0;-1;0
38;10;10;0;0;0;0;-1;0
38;10;0;1;117;0;0;-1;0
39;10;10;0;0;0;0;-1;0
39;10;0;1;117;0;0;-1;0
40;10;11;0;0;0;0;-1;0
40;10;0;0;119;0;0;-1;0
41;10;10;0;0;0;0;-1;0
41;10;0;1;117;0;0;-1;0
42;10;11;0;0;0;0;-1;0
42;10;0;0;124;0;0;-1;0
43;10;10;0;0;0;0;-1;0
43;10;0;1;122;0;0;-1;0
44;10;10;0;0;0;0;-1;0
44;10;0;1;111;0;0;-1;0
45;10;10;0;0;0;0;-1;0
45;10;0;1;112;0;0;-1;0
46;10;10;0;0;0;0;-1;0
46;10;0;1;118;0;0;-1;0
47;10;9;0;0;0;0;-1;0
47;10;0;1;113;0;0;-1;0
48;10;9;0;0;0;0;-1;0
48;10;0;1;113;0;0;-1;0
49;10;10;0;0;0;0;-1;0
49;10;0;1;113;0;0;-1;0
50;10;9;0;0;0;0;-1;0
50;10;0;1;111;0;0;-1;0
51;10;10;0;0;0;0;-1;0
51;10;0;1;111;0;0;-1;0
52;10;10;0;0;0;0;-1;0
52;10;0;1;112;0;0;-1;0
53;10;10;0;0;0;0;-1;0
53;10;0;0;112;0;0;-1;0
54;10;9;0;0;0;0;-1;0
54;10;0;1;112;0;0;-1;0
55;10;9;0;0;0;0;-1;0
55;10;0;1;112;0;0;-1;0
56;10;9;0;0;0;0;-1;0
56;10;0;1;111;0;0;-1;0
57;10;9;0;0;0;0;-1;0
57;10;0;1;111;0;0;-1;0
58;10;10;0;0;0;0;-1;0
58;10;0;0;112;0;0;-1;0
59;10;10;0;0;0;0;-1;0
59;10;0;0;112;0;0;-1;0
60;10;9;0;0;0;0;-1;0
60;10;0;1;121;0;0;-1;0
61;10;9;0;0;0;0;-1;0
61;10;0;1;114;0;0;-1;0
62;10;9;0;0;0;0;-1;0
62;10;0;1;112;0;0;-1;0
63;10;9;0;0;0;0;-1;0
63;10;0;1;111;0;0;-1;0
64;10;10;0;0;0;0;-1;0
64;10;0;0;112;0;0;-1;0
65;10;9;0;0;0;0;-1;0
65;10;0;1;112;0;0;-1;0
66;10;9;0;0;0;0;-1;0
66;10;0;1;111;0;0;-1;0
67;10;10;0;0;0;0;-1;0
67;10;0;1;111;0;0;-1;0
68;10;10;0;0;0;0;-1;0
68;10;0;1;111;0;0;-1;0
69;10;10;0;0;0;0;-1;0
69;10;0;0;112;0;0;-1;0
70;10;9;0;0;0;0;-1;0
70;10;0;1;114;0;0;-1;0
71;10;9;0;0;0;0;-1;0
71;10;0;1;112;0;0;-1;0
72;10;9;0;0;0;0;-1;0
72;10;0;1;111;0;0;-1;0
73;10;9;0;0;0;0;-1;0
73;10;0;1;111;0;0;-1;0
74;10;9;0;0;0;0;-1;0
74;10;0;1;111;0;0;-1;0
75;10;10;0;0;0;0;-1;0
75;10;0;0;112;0;0;-1;0
76;10;9;0;0;0;0;-1;0
76;10;0;0;111;0;0;-1;0
77;10;10;0;0;0;0;-1;0
77;10;0;1;114;0;0;-1;0
78;10;9;0;0;0;0;-1;0
78;10;0;1;117;0;0;-1;0
79;10;10;0;0;0;0;-1;0
79;10;0;1;117;0;0;-1;0
80;10;10;0;0;0;0;-1;0
80;10;0;1;118;0;0;-1;0
81;10;9;0;0;0;0;-1;0
81;10;0;1;118;0;0;-1;0
82;10;10;0;0;0;0;-1;0
82;10;0;1;118;0;0;-1;0
83;10;10;0;0;0;0;-1;0
83;10;0;1;118;0;0;-1;0
84;10;10;0;0;0;0;-1;0
84;10;0;0;119;0;0;-1;0
85;10;10;0;0;0;0;-1;0
85;10;0;0;118;0;0;-1;0
86;10;10;0;0;0;0;-1;0
86;10;0;1;122;0;0;-1;0
87;10;10;0;0;0;0;-1;0
87;10;0;0;130;0;0;-1;0
88;10;9;0;0;0;0;-1;0
88;10;0;1;112;0;0;-1;0
89;10;9;0;0;0;0;-1;0
89;10;0;1;111;0;0;-1;0
90;10;10;0;0;0;0;-1;0
90;10;0;0;111;0;0;-1;0
91;10;9;0;0;0;0;-1;0
91;10;0;1;111;0;0;-1;0
92;10;10;0;0;0;0;-1;0
92;10;0;1;111;0;0;-1;0
93;10;10;0;0;0;0;-1;0
93;10;0;0;112;0;0;-1;0
94;10;9;0;0;0;0;-1;0
94;10;0;1;112;0;0;-1;0
95;10;10;0;0;0;0;-1;0
95;10;0;0;111;0;0;-1;0
96;10;10;0;0;0;0;-1;0
96;10;0;1;110;0;0;-1;0
97;10;10;0;0;0;0;-1;0
97;10;0;1;110;0;0;-1;0
98;10;10;0;0;0;0;-1;0
98;10;0;1;110;0;0;-1;0
99;10;10;0;0;0;0;-1;0
99;10;0;1;111;0;0;-1;0
100;10;10;0;0;0;0;-1;0
100;10;0;1;112;0;0;-1;0
101;10;9;0;0;0;0;-1;0
101;10;0;1;112;0;0;-1;0
102;10;9;0;0;0;0;-1;0
102;10;0;1;111;0;0;-1;0
103;10;9;0;0;0;0;-1;0
103;10;0;1;111;0;0;-1;0
104;10;10;0;0;0;0;-1;0
104;10;0;0;113;0;0;-1;0
105;10;10;0;0;0;0;-1;0
105;10;0;1;114;0;0;-1;0
106;10;10;0;0;0;0;-1;0
106;10;0;1;111;0;0;-1;0
107;10;10;0;0;0;0;-1;0
107;10;0;1;112;0;0;-1;0
108;10;10;0;0;0;0;-1;0
108;10;0;1;112;0;0;-1;0
109;10;9;0;0;0;0;-1;0
109;10;0;1;111;0;0;-1;0
110;10;10;0;0;0;0;-1;0
110;10;0;0;112;0;0;-1;0
111;10;9;0;0;0;0;-1;0
111;10;0;1;112;0;0;-1;0
112;10;10;0;0;0;0;-1;0
112;10;0;1;112;0;0;-1;0
113;10;10;0;0;0;0;-1;0
113;10;0;1;111;0;0;-1;0
114;10;10;0;0;0;0;-1;0
114;10;0;0;125;0;0;-1;0
115;10;10;0;0;0;0;-1;0
115;10;0;0;111;0;0;-1;0
116;10;10;0;0;0;0;-1;0
116;10;0;0;111;0;0;-1;0
117;10;10;0;0;0;0;-1;0
117;10;0;0;112;0;0;-1;0
118;10;9;0;0;0;0;-1;0
118;10;0;1;112;0;0;-1;0
119;36;9;0;0;0;0;-1;0
119;36;0;2;111;0;0;-1;0
120;36;9;0;0;0;0;-1;0
120;36;0;1;111;0;0;-1;0
121;36;9;0;0;0;0;-1;0
121;36;0;1;112;0;0;-1;0
122;36;9;0;0;0;0;-1;0
122;36;0;1;111;0;0;-1;0
123;36;9;0;0;0;0;-1;0
123;36;0;1;111;0;0;-1;0
124;36;10;0;0;0;0;-1;0
124;36;0;0;111;0;0;-1;0
125;36;10;0;0;0;0;-1;0
125;36;0;0;111;0;0;-1;0
126;36;10;0;0;0;0;-1;0
126;36;0;0;111;0;0;-1;0
127;36;9;0;0;0;0;-1;0
127;36;0;1;117;0;0;-1;0
128;36;9;0;0;0;0;-1;0
128;36;0;0;111;0;0;-1;0
129;36;9;0;0;0;0;-1;0
129;36;0;1;111;0;0;-1;0
130;36;9;0;0;0;0;-1;0
130;36;0;1;111;0;0;-1;0
131;36;9;0;0;0;0;-1;0
131;36;0;1;111;0;0;-1;0
132;36;9;0;0;0;0;-1;0
132;36;0;0;113;0;0;-1;0
133;36;10;0;0;0;0;-1;0
133;36;0;0;111;0;0;-1;0
134;36;10;0;0;0;0;-1;0
134;36;0;1;111;0;0;-1;0
135;2;9;0;0;0;0;-1;0
135;2;0;11;111;0;0;-1;0
136;2;9;0;0;0;0;-1;0
136;2;0;8;111;0;0;-1;0
137;2;9;0;0;0;0;-1;0
137;2;0;7;-1;1;0;0;0
138;2;9;0;0;0;0;-1;0
138;2;0;8;111;0;0;-1;0
139;2;9;0;0;0;0;-1;0
139;2;0;2;110;0;0;-1;0
140;2;10;0;0;0;0;-1;0
140;2;0;0;112;0;0;-1;0
141;2;9;0;0;0;0;-1;0
141;2;0;0;114;0;0;-1;0
142;2;9;0;0;0;0;-1;0
142;2;0;9;116;0;0;-1;0
143;2;9;0;0;0;0;-1;0
143;2;0;9;117;0;0;-1;0
144;2;10;0;0;0;0;-1;0
144;2;0;9;119;0;0;-1;0
145;2;9;0;0;0;0;-1;0
145;2;0;9;119;0;0;-1;0
146;2;10;0;0;0;0;-1;0
146;2;0;9;-1;1;0;0;0
147;2;9;0;0;0;0;-1;0
147;2;0;9;118;0;0;-1;0
148;2;10;0;0;0;0;-1;0
148;2;0;1;118;0;0;-1;0
149;2;10;0;0;0;0;-1;0
149;2;0;0;121;0;0;-1;0
150;2;9;0;0;0;0;-1;0
150;2;0;1;-1;1;0;0;0
151;2;10;0;0;0;0;-1;0
151;2;0;1;118;0;0;-1;0
152;2;9;0;0;0;0;-1;0
152;2;0;1;119;0;0;-1;0
153;2;9;0;0;0;0;-1;0
153;2;0;1;120;0;0;-1;0
154;2;10;0;0;0;0;-1;0
154;2;0;0;119;0;0;-1;0
155;2;9;0;0;0;0;-1;0
155;2;0;1;117;0;0;-1;0
156;24;10;0;0;0;0;-1;0
156;24;0;1;119;0;0;-1;0
157;24;32;0;0;0;0;-1;0
157;24;0;1;117;0;0;-1;0
158;24;9;0;0;0;0;-1;0
158;24;0;1;112;0;0;-1;0
