mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;10;26;0;0;0;0;-1;0
1;10;0;51;135;0;0;-1;0
2;10;22;0;0;0;0;-1;0
2;10;0;1;132;0;0;-1;0
3;10;14;0;0;0;0;-1;0
3;10;0;1;135;0;0;-1;0
4;10;14;0;0;0;0;-1;0
4;10;0;1;173;0;0;-1;0
5;10;13;0;0;0;0;-1;0
5;10;0;1;120;0;0;-1;0
6;10;11;0;0;0;0;-1;0
6;10;0;1;116;0;0;-1;0
7;10;12;0;0;0;0;-1;0
7;10;0;1;114;0;0;-1;0
8;10;12;0;0;0;0;-1;0
8;10;0;1;126;0;0;-1;0
9;10;12;0;0;0;0;-1;0
9;10;0;0;114;0;0;-1;0
10;10;11;0;0;0;0;-1;0
10;10;0;1;115;0;0;-1;0
11;10;11;0;0;0;0;-1;0
11;10;0;1;114;0;0;-1;0
12;10;11;0;0;0;0;-1;0
12;10;0;1;115;0;0;-1;0
13;10;16;0;0;0;0;-1;0
13;10;0;1;118;0;0;-1;0
14;10;13;0;0;0;0;-1;0
14;10;0;0;123;0;0;-1;0
15;10;15;0;0;0;0;-1;0
15;10;0;0;121;0;0;-1;0
16;10;12;0;0;0;0;-1;0
16;10;0;1;121;0;0;-1;0
17;36;12;0;0;0;0;-1;0
17;36;0;13;114;0;0;-1;0
18;36;11;0;0;0;0;-1;0
18;36;0;1;114;0;0;-1;0
19;36;10;0;0;0;0;-1;0
19;36;0;1;114;0;0;-1;0
20;2;12;0;0;0;0;-1;0
20;2;0;11;-1;1;0;0;0
21;2;12;0;0;0;0;-1;0
21;2;0;8;113;0;0;-1;0
22;2;11;0;0;0;0;-1;0
22;2;0;8;113;0;0;-1;0
23;24;11;0;0;0;0;-1;0
23;24;0;1;113;0;0;-1;0
24;1;11;0;0;0;0;-1;0
24;1;0;1;113;0;0;-1;0
25;1;11;0;0;0;0;-1;0
25;1;0;0;121;0;0;-1;0
26;3;11;0;0;0;0;-1;0
26;3;0;1;113;0;0;-1;0
27;3;10;0;0;0;0;-1;0
27;3;0;1;112;0;0;-1;0
28;38;12;0;0;0;0;-1;0
28;38;0;1;113;0;0;-1;0
29;38;11;0;0;0;0;-1;0
29;38;0;1;113;0;0;-1;0
30;25;11;0;0;0;0;-1;0
30;25;0;1;114;0;0;-1;0
31;16;11;0;0;0;0;-1;0
31;16;0;8;113;0;0;-1;0
32;5;11;0;0;0;0;-1;0
32;5;0;2;112;0;0;-1;0
33;31;11;0;0;0;0;-1;0
33;31;0;7;119;0;0;-1;0
34;31;11;0;0;0;0;-1;0
34;31;0;1;118;0;0;-1;0
35;31;11;0;0;0;0;-1;0
35;31;0;1;120;0;0;-1;0
36;31;12;0;0;0;0;-1;0
36;31;0;1;122;0;0;-1;0
37;31;11;0;0;0;0;-1;0
37;31;0;1;121;0;0;-1;0
38;31;11;0;0;0;0;-1;0
38;31;0;1;120;0;0;-1;0
39;31;11;0;0;0;0;-1;0
39;31;0;1;122;0;0;-1;0
40;31;11;0;0;0;0;-1;0
40;31;0;6;120;0;0;-1;0
41;31;12;0;0;0;0;-1;0
41;31;0;6;129;0;0;-1;0
42;7;11;0;0;0;0;-1;0
42;7;0;9;113;0;0;-1;0
43;7;10;0;0;0;0;-1;0
43;7;0;6;114;0;0;-1;0
44;7;11;0;0;0;0;-1;0
44;7;0;8;114;0;0;-1;0
45;37;13;0;0;0;0;-1;0
45;37;0;7;116;0;0;-1;0
46;4;16;0;0;0;0;-1;0
46;4;0;7;114;0;0;-1;0
47;4;11;0;0;0;0;-1;0
47;4;0;8;121;0;0;-1;0
48;4;10;0;0;0;0;-1;0
48;4;0;8;114;0;0;-1;0
49;18;10;0;0;0;0;-1;0
49;18;0;7;115;0;0;-1;0
50;26;9;0;0;0;0;-1;0
50;26;0;8;114;0;0;-1;0
51;26;10;0;0;0;0;-1;0
51;26;0;7;113;0;0;-1;0
52;26;10;0;0;0;0;-1;0
52;26;0;6;112;0;0;-1;0
53;26;10;0;0;0;0;-1;0
53;26;0;6;112;0;0;-1;0
54;26;9;0;0;0;0;-1;0
54;26;0;6;112;0;0;-1;0
