mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;9;37;0;0;0;0;-1;0
1;9;0;2;143;0;0;-1;0
2;22;24;0;0;0;0;-1;0
2;22;0;2;142;0;0;-1;0
3;23;21;0;0;0;0;-1;0
3;23;0;4;133;0;0;-1;0
4;29;19;0;0;0;0;-1;0
4;29;0;4;117;0;0;-1;0
5;1;18;0;0;0;0;-1;0
5;1;0;1;119;0;0;-1;0
6;5;18;0;0;0;0;-1;0
6;5;0;11;125;0;0;-1;0
7;31;18;0;0;0;0;-1;0
7;31;0;2;118;0;0;-1;0
8;4;18;0;0;0;0;-1;0
8;4;0;2;117;0;0;-1;0
9;8;23;0;0;0;0;-1;0
9;8;0;9;132;0;0;-1;0
10;38;23;0;0;0;0;-1;0
10;38;0;2;127;0;0;-1;0
11;2;18;0;0;0;0;-1;0
11;2;0;3;-1;1;0;0;0
12;32;18;0;0;0;0;-1;0
12;32;0;5;118;0;0;-1;0
13;10;18;0;0;0;0;-1;0
13;10;0;2;117;0;0;-1;0
14;16;18;0;0;0;0;-1;0
14;16;0;1;118;0;0;-1;0
15;26;17;0;0;0;0;-1;0
15;26;0;4;117;0;0;-1;0
16;3;17;0;0;0;0;-1;0
16;3;0;1;118;0;0;-1;0
17;7;16;0;0;0;0;-1;0
17;7;0;9;126;0;0;-1;0
18;27;16;0;0;0;0;-1;0
18;27;0;3;123;0;0;-1;0
19;6;17;0;0;0;0;-1;0
19;6;0;2;117;0;0;-1;0
20;36;17;0;0;0;0;-1;0
20;36;0;1;118;0;0;-1;0
21;9;22;0;0;0;0;-1;0
21;9;0;6;-1;1;0;0;0
22;9;18;0;0;0;0;-1;0
22;9;0;0;131;0;0;-1;0
23;9;18;0;0;0;0;-1;0
23;9;0;1;129;0;0;-1;0
24;9;18;0;0;0;0;-1;0
24;9;0;1;130;0;0;-1;0
25;9;19;0;0;0;0;-1;0
25;9;0;1;126;0;0;-1;0
26;9;19;0;0;0;0;-1;0
26;9;0;1;125;0;0;-1;0
27;9;17;0;0;0;0;-1;0
27;9;0;1;126;0;0;-1;0
28;9;37;0;0;0;0;-1;0
28;9;0;0;118;0;0;-1;0
29;9;16;0;0;0;0;-1;0
29;9;0;0;115;0;0;-1;0
30;9;16;0;0;0;0;-1;0
30;9;0;1;116;0;0;-1;0
31;9;15;0;0;0;0;-1;0
31;9;0;1;117;0;0;-1;0
32;9;23;0;0;0;0;-1;0
32;9;0;0;124;0;0;-1;0
33;9;15;0;0;0;0;-1;0
33;9;0;1;117;0;0;-1;0
34;9;16;0;0;0;0;-1;0
34;9;0;1;125;0;0;-1;0
35;9;18;0;0;0;0;-1;0
35;9;0;1;116;0;0;-1;0
36;9;15;0;0;0;0;-1;0
36;9;0;1;116;0;0;-1;0
37;9;14;0;0;0;0;-1;0
37;9;0;1;127;0;0;-1;0
38;9;15;0;0;0;0;-1;0
38;9;0;0;129;0;0;-1;0
39;9;14;0;0;0;0;-1;0
39;9;0;1;116;0;0;-1;0
40;9;15;0;0;0;0;-1;0
40;9;0;0;116;0;0;-1;0
41;9;15;0;0;0;0;-1;0
41;9;0;0;116;0;0;-1;0
42;9;14;0;0;0;0;-1;0
42;9;0;1;116;0;0;-1;0
43;9;18;0;0;0;0;-1;0
43;9;0;1;116;0;0;-1;0
44;22;15;0;0;0;0;-1;0
44;22;0;1;-1;1;0;0;0
45;22;18;0;0;0;0;-1;0
45;22;0;1;116;0;0;-1;0
46;22;15;0;0;0;0;-1;0
46;22;0;2;116;0;0;-1;0
47;22;14;0;0;0;0;-1;0
47;22;0;2;116;0;0;-1;0
48;22;15;0;0;0;0;-1;0
48;22;0;1;116;0;0;-1;0
49;22;15;0;0;0;0;-1;0
49;22;0;1;119;0;0;-1;0
50;22;15;0;0;0;0;-1;0
50;22;0;2;124;0;0;-1;0
51;22;16;0;0;0;0;-1;0
51;22;0;1;126;0;0;-1;0
52;22;15;0;0;0;0;-1;0
52;22;0;2;126;0;0;-1;0
53;22;16;0;0;0;0;-1;0
53;22;0;1;126;0;0;-1;0
54;22;16;0;0;0;0;-1;0
54;22;0;1;126;0;0;-1;0
55;22;15;0;0;0;0;-1;0
55;22;0;2;125;0;0;-1;0
56;22;38;0;0;0;0;-1;0
56;22;0;1;123;0;0;-1;0
57;22;15;0;0;0;0;-1;0
57;22;0;1;116;0;0;-1;0
58;22;14;0;0;0;0;-1;0
58;22;0;2;117;0;0;-1;0
59;22;14;0;0;0;0;-1;0
59;22;0;2;116;0;0;-1;0
60;22;15;0;0;0;0;-1;0
60;22;0;1;116;0;0;-1;0
61;22;15;0;0;0;0;-1;0
61;22;0;2;115;0;0;-1;0
62;22;16;0;0;0;0;-1;0
62;22;0;1;119;0;0;-1;0
63;22;16;0;0;0;0;-1;0
63;22;0;1;117;0;0;-1;0
64;22;16;0;0;0;0;-1;0
64;22;0;1;119;0;0;-1;0
65;22;14;0;0;0;0;-1;0
65;22;0;2;116;0;0;-1;0
66;22;15;0;0;0;0;-1;0
66;22;0;1;117;0;0;-1;0
67;22;14;0;0;0;0;-1;0
67;22;0;2;116;0;0;-1;0
68;22;15;0;0;0;0;-1;0
68;22;0;1;126;0;0;-1;0
69;22;18;0;0;0;0;-1;0
69;22;0;2;161;0;0;-1;0
70;22;18;0;0;0;0;-1;0
70;22;0;1;136;0;0;-1;0
71;22;14;0;0;0;0;-1;0
71;22;0;2;115;0;0;-1;0
72;22;15;0;0;0;0;-1;0
72;22;0;1;115;0;0;-1;0
73;22;14;0;0;0;0;-1;0
73;22;0;1;146;0;0;-1;0
74;22;15;0;0;0;0;-1;0
74;22;0;1;117;0;0;-1;0
75;22;15;0;0;0;0;-1;0
75;22;0;2;122;0;0;-1;0
76;22;16;0;0;0;0;-1;0
76;22;0;1;117;0;0;-1;0
77;22;15;0;0;0;0;-1;0
77;22;0;2;117;0;0;-1;0
78;22;15;0;0;0;0;-1;0
78;22;0;1;117;0;0;-1;0
79;22;15;0;0;0;0;-1;0
79;22;0;1;116;0;0;-1;0
80;22;14;0;0;0;0;-1;0
80;22;0;2;116;0;0;-1;0
81;22;14;0;0;0;0;-1;0
81;22;0;2;116;0;0;-1;0
82;22;14;0;0;0;0;-1;0
82;22;0;2;115;0;0;-1;0
83;22;15;0;0;0;0;-1;0
83;22;0;2;117;0;0;-1;0
84;22;14;0;0;0;0;-1;0
84;22;0;1;116;0;0;-1;0
85;22;15;0;0;0;0;-1;0
85;22;0;1;116;0;0;-1;0
86;22;14;0;0;0;0;-1;0
86;22;0;2;115;0;0;-1;0
87;22;15;0;0;0;0;-1;0
87;22;0;2;116;0;0;-1;0
88;22;14;0;0;0;0;-1;0
88;22;0;2;116;0;0;-1;0
89;22;15;0;0;0;0;-1;0
89;22;0;1;118;0;0;-1;0
90;22;14;0;0;0;0;-1;0
90;22;0;2;119;0;0;-1;0
91;22;15;0;0;0;0;-1;0
91;22;0;1;125;0;0;-1;0
92;22;16;0;0;0;0;-1;0
92;22;0;1;127;0;0;-1;0
93;22;16;0;0;0;0;-1;0
93;22;0;1;128;0;0;-1;0
94;22;16;0;0;0;0;-1;0
94;22;0;1;126;0;0;-1;0
95;22;16;0;0;0;0;-1;0
95;22;0;1;126;0;0;-1;0
96;22;16;0;0;0;0;-1;0
96;22;0;1;126;0;0;-1;0
97;22;16;0;0;0;0;-1;0
97;22;0;1;126;0;0;-1;0
98;22;15;0;0;0;0;-1;0
98;22;0;2;126;0;0;-1;0
99;22;15;0;0;0;0;-1;0
99;22;0;2;126;0;0;-1;0
100;22;16;0;0;0;0;-1;0
100;22;0;1;143;0;0;-1;0
101;22;14;0;0;0;0;-1;0
101;22;0;2;116;0;0;-1;0
102;22;15;0;0;0;0;-1;0
102;22;0;1;125;0;0;-1;0
103;22;15;0;0;0;0;-1;0
103;22;0;2;121;0;0;-1;0
104;22;17;0;0;0;0;-1;0
104;22;0;2;126;0;0;-1;0
105;22;14;0;0;0;0;-1;0
105;22;0;2;116;0;0;-1;0
106;22;16;0;0;0;0;-1;0
106;22;0;1;117;0;0;-1;0
107;22;15;0;0;0;0;-1;0
107;22;0;1;119;0;0;-1;0
108;22;15;0;0;0;0;-1;0
108;22;0;1;116;0;0;-1;0
109;22;15;0;0;0;0;-1;0
109;22;0;2;117;0;0;-1;0
110;22;15;0;0;0;0;-1;0
110;22;0;2;116;0;0;-1;0
111;22;15;0;0;0;0;-1;0
111;22;0;2;118;0;0;-1;0
112;22;14;0;0;0;0;-1;0
112;22;0;2;153;0;0;-1;0
113;22;21;0;0;0;0;-1;0
113;22;0;1;125;0;0;-1;0
114;22;16;0;0;0;0;-1;0
114;22;0;1;131;0;0;-1;0
115;22;16;0;0;0;0;-1;0
115;22;0;1;125;0;0;-1;0
116;22;16;0;0;0;0;-1;0
116;22;0;1;128;0;0;-1;0
117;22;14;0;0;0;0;-1;0
117;22;0;1;117;0;0;-1;0
118;22;14;0;0;0;0;-1;0
118;22;0;2;116;0;0;-1;0
119;22;14;0;0;0;0;-1;0
119;22;0;2;115;0;0;-1;0
120;22;15;0;0;0;0;-1;0
120;22;0;1;116;0;0;-1;0
121;22;15;0;0;0;0;-1;0
121;22;0;1;116;0;0;-1;0
122;22;15;0;0;0;0;-1;0
122;22;0;1;117;0;0;-1;0
123;22;15;0;0;0;0;-1;0
123;22;0;2;117;0;0;-1;0
124;22;15;0;0;0;0;-1;0
124;22;0;1;117;0;0;-1;0
125;22;15;0;0;0;0;-1;0
125;22;0;1;117;0;0;-1;0
126;22;15;0;0;0;0;-1;0
126;22;0;2;116;0;0;-1;0
127;22;15;0;0;0;0;-1;0
127;22;0;1;145;0;0;-1;0
128;22;14;0;0;0;0;-1;0
128;22;0;2;117;0;0;-1;0
129;22;14;0;0;0;0;-1;0
129;22;0;2;115;0;0;-1;0
130;22;15;0;0;0;0;-1;0
130;22;0;1;116;0;0;-1;0
131;22;15;0;0;0;0;-1;0
131;22;0;1;116;0;0;-1;0
132;22;14;0;0;0;0;-1;0
132;22;0;2;118;0;0;-1;0
133;22;15;0;0;0;0;-1;0
133;22;0;2;119;0;0;-1;0
134;22;15;0;0;0;0;-1;0
134;22;0;1;117;0;0;-1;0
135;22;15;0;0;0;0;-1;0
135;22;0;2;118;0;0;-1;0
136;22;15;0;0;0;0;-1;0
136;22;0;2;116;0;0;-1;0
137;22;14;0;0;0;0;-1;0
137;22;0;2;118;0;0;-1;0
138;22;14;0;0;0;0;-1;0
138;22;0;2;115;0;0;-1;0
139;22;16;0;0;0;0;-1;0
139;22;0;1;117;0;0;-1;0
140;22;14;0;0;0;0;-1;0
140;22;0;1;116;0;0;-1;0
141;22;14;0;0;0;0;-1;0
141;22;0;1;117;0;0;-1;0
142;22;15;0;0;0;0;-1;0
142;22;0;0;118;0;0;-1;0
143;22;14;0;0;0;0;-1;0
143;22;0;1;116;0;0;-1;0
144;22;15;0;0;0;0;-1;0
144;22;0;1;121;0;0;-1;0
145;22;16;0;0;0;0;-1;0
145;22;0;0;116;0;0;-1;0
146;22;14;0;0;0;0;-1;0
146;22;0;1;127;0;0;-1;0
147;22;15;0;0;0;0;-1;0
147;22;0;1;116;0;0;-1;0
148;22;15;0;0;0;0;-1;0
148;22;0;0;117;0;0;-1;0
149;22;15;0;0;0;0;-1;0
149;22;0;0;117;0;0;-1;0
150;22;14;0;0;0;0;-1;0
150;22;0;1;116;0;0;-1;0
151;22;14;0;0;0;0;-1;0
151;22;0;1;116;0;0;-1;0
152;22;15;0;0;0;0;-1;0
152;22;0;0;117;0;0;-1;0
153;22;39;0;0;0;0;-1;0
153;22;0;1;115;0;0;-1;0
154;22;14;0;0;0;0;-1;0
154;22;0;1;116;0;0;-1;0
155;22;15;0;0;0;0;-1;0
155;22;0;1;116;0;0;-1;0
156;22;15;0;0;0;0;-1;0
156;22;0;0;117;0;0;-1;0
157;22;15;0;0;0;0;-1;0
157;22;0;1;116;0;0;-1;0
158;22;15;0;0;0;0;-1;0
158;22;0;1;117;0;0;-1;0
159;22;14;0;0;0;0;-1;0
159;22;0;3;117;0;0;-1;0
160;22;15;0;0;0;0;-1;0
160;22;0;2;116;0;0;-1;0
161;22;15;0;0;0;0;-1;0
161;22;0;2;116;0;0;-1;0
162;22;14;0;0;0;0;-1;0
162;22;0;3;116;0;0;-1;0
163;22;15;0;0;0;0;-1;0
163;22;0;2;117;0;0;-1;0
164;22;15;0;0;0;0;-1;0
164;22;0;3;116;0;0;-1;0
165;22;15;0;0;0;0;-1;0
165;22;0;2;117;0;0;-1;0
166;22;15;0;0;0;0;-1;0
166;22;0;3;116;0;0;-1;0
167;22;15;0;0;0;0;-1;0
167;22;0;3;117;0;0;-1;0
168;22;15;0;0;0;0;-1;0
168;22;0;2;116;0;0;-1;0
169;22;14;0;0;0;0;-1;0
169;22;0;3;115;0;0;-1;0
170;22;15;0;0;0;0;-1;0
170;22;0;3;115;0;0;-1;0
171;22;15;0;0;0;0;-1;0
171;22;0;3;-1;0;1;170;0
172;22;15;0;0;0;0;-1;0
172;22;0;2;116;0;0;-1;0
173;22;14;0;0;0;0;-1;0
173;22;0;3;116;0;0;-1;0
174;22;15;0;0;0;0;-1;0
174;22;0;2;117;0;0;-1;0
175;22;15;0;0;0;0;-1;0
175;22;0;3;117;0;0;-1;0
176;22;14;0;0;0;0;-1;0
176;22;0;4;139;0;0;-1;0
177;22;15;0;0;0;0;-1;0
177;22;0;2;147;0;0;-1;0
178;22;15;0;0;0;0;-1;0
178;22;0;3;115;0;0;-1;0
179;22;14;0;0;0;0;-1;0
179;22;0;2;117;0;0;-1;0
180;22;15;0;0;0;0;-1;0
180;22;0;2;117;0;0;-1;0
181;22;15;0;0;0;0;-1;0
181;22;0;2;116;0;0;-1;0
182;22;14;0;0;0;0;-1;0
182;22;0;3;116;0;0;-1;0
