mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;9;38;0;0;0;0;-1;0
1;9;0;2;157;0;0;-1;0
2;9;24;0;0;0;0;-1;0
2;9;0;0;161;0;0;-1;0
3;9;20;0;0;0;0;-1;0
3;9;0;0;175;0;0;-1;0
4;9;18;0;0;0;0;-1;0
4;9;0;1;140;0;0;-1;0
5;9;19;0;0;0;0;-1;0
5;9;0;1;128;0;0;-1;0
6;9;19;0;0;0;0;-1;0
6;9;0;1;126;0;0;-1;0
7;9;22;0;0;0;0;-1;0
7;9;0;1;118;0;0;-1;0
8;9;21;0;0;0;0;-1;0
8;9;0;1;118;0;0;-1;0
9;9;19;0;0;0;0;-1;0
9;9;0;0;127;0;0;-1;0
10;9;18;0;0;0;0;-1;0
10;9;0;1;128;0;0;-1;0
11;9;17;0;0;0;0;-1;0
11;9;0;1;132;0;0;-1;0
12;9;20;0;0;0;0;-1;0
12;9;0;0;117;0;0;-1;0
13;9;17;0;0;0;0;-1;0
13;9;0;0;118;0;0;-1;0
14;9;17;0;0;0;0;-1;0
14;9;0;0;117;0;0;-1;0
15;9;18;0;0;0;0;-1;0
15;9;0;0;118;0;0;-1;0
16;9;17;0;0;0;0;-1;0
16;9;0;1;123;0;0;-1;0
17;9;16;0;0;0;0;-1;0
17;9;0;0;117;0;0;-1;0
18;9;17;0;0;0;0;-1;0
18;9;0;0;118;0;0;-1;0
19;9;17;0;0;0;0;-1;0
19;9;0;0;117;0;0;-1;0
20;9;18;0;0;0;0;-1;0
20;9;0;0;117;0;0;-1;0
21;9;17;0;0;0;0;-1;0
21;9;0;0;117;0;0;-1;0
22;9;16;0;0;0;0;-1;0
22;9;0;0;125;0;0;-1;0
23;9;17;0;0;0;0;-1;0
23;9;0;0;127;0;0;-1;0
24;22;17;0;0;0;0;-1;0
24;22;0;2;127;0;0;-1;0
25;22;17;0;0;0;0;-1;0
25;22;0;1;127;0;0;-1;0
26;22;18;0;0;0;0;-1;0
26;22;0;1;127;0;0;-1;0
27;22;17;0;0;0;0;-1;0
27;22;0;2;131;0;0;-1;0
28;22;17;0;0;0;0;-1;0
28;22;0;2;116;0;0;-1;0
29;22;16;0;0;0;0;-1;0
29;22;0;1;118;0;0;-1;0
30;22;16;0;0;0;0;-1;0
30;22;0;1;117;0;0;-1;0
31;22;15;0;0;0;0;-1;0
31;22;0;2;117;0;0;-1;0
32;22;18;0;0;0;0;-1;0
32;22;0;2;116;0;0;-1;0
33;22;16;0;0;0;0;-1;0
33;22;0;1;126;0;0;-1;0
34;22;15;0;0;0;0;-1;0
34;22;0;1;117;0;0;-1;0
35;22;16;0;0;0;0;-1;0
35;22;0;1;117;0;0;-1;0
36;22;16;0;0;0;0;-1;0
36;22;0;2;118;0;0;-1;0
37;22;15;0;0;0;0;-1;0
37;22;0;2;125;0;0;-1;0
38;22;15;0;0;0;0;-1;0
38;22;0;1;117;0;0;-1;0
39;22;15;0;0;0;0;-1;0
39;22;0;2;116;0;0;-1;0
40;22;16;0;0;0;0;-1;0
40;22;0;1;118;0;0;-1;0
41;22;15;0;0;0;0;-1;0
41;22;0;1;117;0;0;-1;0
42;22;15;0;0;0;0;-1;0
42;22;0;1;117;0;0;-1;0
43;22;15;0;0;0;0;-1;0
43;22;0;1;117;0;0;-1;0
44;22;15;0;0;0;0;-1;0
44;22;0;1;118;0;0;-1;0
45;22;15;0;0;0;0;-1;0
45;22;0;1;117;0;0;-1;0
46;22;15;0;0;0;0;-1;0
46;22;0;2;116;0;0;-1;0
47;22;15;0;0;0;0;-1;0
47;22;0;2;116;0;0;-1;0
48;22;16;0;0;0;0;-1;0
48;22;0;1;120;0;0;-1;0
49;22;15;0;0;0;0;-1;0
49;22;0;2;124;0;0;-1;0
50;22;16;0;0;0;0;-1;0
50;22;0;2;126;0;0;-1;0
51;22;16;0;0;0;0;-1;0
51;22;0;1;127;0;0;-1;0
52;22;16;0;0;0;0;-1;0
52;22;0;1;126;0;0;-1;0
53;22;16;0;0;0;0;-1;0
53;22;0;1;126;0;0;-1;0
54;22;16;0;0;0;0;-1;0
54;22;0;2;141;0;0;-1;0
55;22;17;0;0;0;0;-1;0
55;22;0;1;117;0;0;-1;0
56;22;15;0;0;0;0;-1;0
56;22;0;2;116;0;0;-1;0
57;22;15;0;0;0;0;-1;0
57;22;0;2;116;0;0;-1;0
58;22;15;0;0;0;0;-1;0
58;22;0;2;116;0;0;-1;0
59;22;15;0;0;0;0;-1;0
