mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;9;38;0;0;0;0;-1;0
1;9;0;2;155;0;0;-1;0
2;9;24;0;0;0;0;-1;0
2;9;0;0;153;0;0;-1;0
3;9;20;0;0;0;0;-1;0
3;9;0;1;164;0;0;-1;0
4;9;20;0;0;0;0;-1;0
4;9;0;0;142;0;0;-1;0
5;9;20;0;0;0;0;-1;0
5;9;0;0;144;0;0;-1;0
6;9;18;0;0;0;0;-1;0
6;9;0;1;150;0;0;-1;0
7;9;20;0;0;0;0;-1;0
7;9;0;0;123;0;0;-1;0
8;9;18;0;0;0;0;-1;0
8;9;0;1;125;0;0;-1;0
9;9;19;0;0;0;0;-1;0
9;9;0;0;134;0;0;-1;0
10;9;20;0;0;0;0;-1;0
10;9;0;1;133;0;0;-1;0
11;9;19;0;0;0;0;-1;0
11;9;0;1;137;0;0;-1;0
12;9;18;0;0;0;0;-1;0
12;9;0;1;124;0;0;-1;0
13;9;19;0;0;0;0;-1;0
13;9;0;0;122;0;0;-1;0
14;9;18;0;0;0;0;-1;0
14;9;0;1;122;0;0;-1;0
15;9;19;0;0;0;0;-1;0
15;9;0;0;122;0;0;-1;0
16;9;18;0;0;0;0;-1;0
16;9;0;1;129;0;0;-1;0
17;9;18;0;0;0;0;-1;0
17;9;0;0;122;0;0;-1;0
18;9;18;0;0;0;0;-1;0
18;9;0;1;122;0;0;-1;0
19;9;19;0;0;0;0;-1;0
19;9;0;0;123;0;0;-1;0
20;9;18;0;0;0;0;-1;0
20;9;0;1;122;0;0;-1;0
21;9;18;0;0;0;0;-1;0
21;9;0;0;123;0;0;-1;0
22;9;20;0;0;0;0;-1;0
22;9;0;0;130;0;0;-1;0
23;22;18;0;0;0;0;-1;0
23;22;0;2;133;0;0;-1;0
24;22;19;0;0;0;0;-1;0
24;22;0;1;141;0;0;-1;0
25;22;19;0;0;0;0;-1;0
25;22;0;4;132;0;0;-1;0
26;22;19;0;0;0;0;-1;0
26;22;0;1;131;0;0;-1;0
27;22;19;0;0;0;0;-1;0
27;22;0;1;147;0;0;-1;0
28;22;18;0;0;0;0;-1;0
28;22;0;2;123;0;0;-1;0
29;22;19;0;0;0;0;-1;0
29;22;0;2;121;0;0;-1;0
30;22;17;0;0;0;0;-1;0
30;22;0;2;122;0;0;-1;0
31;22;17;0;0;0;0;-1;0
31;22;0;1;122;0;0;-1;0
32;22;19;0;0;0;0;-1;0
32;22;0;1;122;0;0;-1;0
33;22;17;0;0;0;0;-1;0
33;22;0;2;121;0;0;-1;0
34;22;17;0;0;0;0;-1;0
34;22;0;3;121;0;0;-1;0
35;22;17;0;0;0;0;-1;0
35;22;0;3;122;0;0;-1;0
36;22;18;0;0;0;0;-1;0
36;22;0;1;122;0;0;-1;0
37;22;16;0;0;0;0;-1;0
37;22;0;1;136;0;0;-1;0
38;22;17;0;0;0;0;-1;0
38;22;0;2;122;0;0;-1;0
39;22;15;0;0;0;0;-1;0
39;22;0;1;121;0;0;-1;0
40;22;16;0;0;0;0;-1;0
40;22;0;2;121;0;0;-1;0
41;22;15;0;0;0;0;-1;0
41;22;0;1;122;0;0;-1;0
42;22;15;0;0;0;0;-1;0
42;22;0;3;121;0;0;-1;0
43;22;16;0;0;0;0;-1;0
43;22;0;2;121;0;0;-1;0
44;22;15;0;0;0;0;-1;0
44;22;0;2;122;0;0;-1;0
45;22;15;0;0;0;0;-1;0
45;22;0;3;124;0;0;-1;0
46;22;15;0;0;0;0;-1;0
46;22;0;2;122;0;0;-1;0
47;22;15;0;0;0;0;-1;0
47;22;0;2;122;0;0;-1;0
48;22;15;0;0;0;0;-1;0
48;22;0;3;124;0;0;-1;0
49;22;15;0;0;0;0;-1;0
49;22;0;2;130;0;0;-1;0
50;22;16;0;0;0;0;-1;0
50;22;0;1;131;0;0;-1;0
51;22;16;0;0;0;0;-1;0
51;22;0;2;131;0;0;-1;0
52;22;16;0;0;0;0;-1;0
52;22;0;1;132;0;0;-1;0
53;22;16;0;0;0;0;-1;0
53;22;0;3;132;0;0;-1;0
54;22;16;0;0;0;0;-1;0
54;22;0;3;157;0;0;-1;0
55;22;15;0;0;0;0;-1;0
55;22;0;3;121;0;0;-1;0
56;22;16;0;0;0;0;-1;0
56;22;0;1;121;0;0;-1;0
57;22;15;0;0;0;0;-1;0
57;22;0;2;121;0;0;-1;0
58;22;16;0;0;0;0;-1;0
58;22;0;1;131;0;0;-1;0
59;22;15;0;0;0;0;-1;0
59;22;0;1;121;0;0;-1;0
60;22;16;0;0;0;0;-1;0
60;22;0;1;122;0;0;-1;0
61;22;15;0;0;0;0;-1;0
61;22;0;1;121;0;0;-1;0
62;22;16;0;0;0;0;-1;0
62;22;0;1;122;0;0;-1;0
63;22;16;0;0;0;0;-1;0
63;22;0;2;122;0;0;-1;0
64;22;15;0;0;0;0;-1;0
64;22;0;2;122;0;0;-1;0
65;22;15;0;0;0;0;-1;0
65;22;0;2;122;0;0;-1;0
66;22;15;0;0;0;0;-1;0
66;22;0;3;122;0;0;-1;0
67;22;15;0;0;0;0;-1;0
67;22;0;2;123;0;0;-1;0
68;22;16;0;0;0;0;-1;0
68;22;0;2;122;0;0;-1;0
69;22;17;0;0;0;0;-1;0
69;22;0;3;122;0;0;-1;0
70;22;15;0;0;0;0;-1;0
70;22;0;3;123;0;0;-1;0
71;22;15;0;0;0;0;-1;0
71;22;0;2;141;0;0;-1;0
72;22;15;0;0;0;0;-1;0
72;22;0;2;122;0;0;-1;0
73;22;15;0;0;0;0;-1;0
73;22;0;2;123;0;0;-1;0
74;22;22;0;0;0;0;-1;0
74;22;0;2;147;0;0;-1;0
75;22;16;0;0;0;0;-1;0
75;22;0;0;122;0;0;-1;0
76;22;15;0;0;0;0;-1;0
76;22;0;1;122;0;0;-1;0
77;22;15;0;0;0;0;-1;0
77;22;0;2;122;0;0;-1;0
78;22;16;0;0;0;0;-1;0
78;22;0;1;123;0;0;-1;0
79;22;15;0;0;0;0;-1;0
79;22;0;3;122;0;0;-1;0
80;22;15;0;0;0;0;-1;0
80;22;0;2;121;0;0;-1;0
81;22;15;0;0;0;0;-1;0
81;22;0;1;122;0;0;-1;0
82;22;15;0;0;0;0;-1;0
82;22;0;1;122;0;0;-1;0
83;22;15;0;0;0;0;-1;0
83;22;0;1;122;0;0;-1;0
84;22;15;0;0;0;0;-1;0
84;22;0;1;122;0;0;-1;0
85;22;15;0;0;0;0;-1;0
85;22;0;2;121;0;0;-1;0
86;22;15;0;0;0;0;-1;0
86;22;0;3;121;0;0;-1;0
87;22;15;0;0;0;0;-1;0
87;22;0;3;124;0;0;-1;0
88;22;16;0;0;0;0;-1;0
88;22;0;3;123;0;0;-1;0
89;22;15;0;0;0;0;-1;0
89;22;0;1;130;0;0;-1;0
90;22;15;0;0;0;0;-1;0
90;22;0;2;132;0;0;-1;0
91;22;16;0;0;0;0;-1;0
91;22;0;2;132;0;0;-1;0
92;22;16;0;0;0;0;-1;0
92;22;0;2;132;0;0;-1;0
93;22;16;0;0;0;0;-1;0
93;22;0;3;131;0;0;-1;0
94;22;24;0;0;0;0;-1;0
94;22;0;2;131;0;0;-1;0
95;22;16;0;0;0;0;-1;0
95;22;0;3;131;0;0;-1;0
96;22;16;0;0;0;0;-1;0
96;22;0;1;132;0;0;-1;0
97;22;15;0;0;0;0;-1;0
97;22;0;2;132;0;0;-1;0
98;22;16;0;0;0;0;-1;0
98;22;0;3;150;0;0;-1;0
99;22;15;0;0;0;0;-1;0
99;22;0;1;122;0;0;-1;0
100;22;15;0;0;0;0;-1;0
100;22;0;1;121;0;0;-1;0
101;22;15;0;0;0;0;-1;0
101;22;0;2;121;0;0;-1;0
102;22;15;0;0;0;0;-1;0
102;22;0;2;121;0;0;-1;0
103;22;15;0;0;0;0;-1;0
103;22;0;1;121;0;0;-1;0
104;22;15;0;0;0;0;-1;0
104;22;0;2;121;0;0;-1;0
105;22;15;0;0;0;0;-1;0
105;22;0;2;121;0;0;-1;0
106;22;15;0;0;0;0;-1;0
106;22;0;2;121;0;0;-1;0
107;22;15;0;0;0;0;-1;0
107;22;0;3;122;0;0;-1;0
108;22;15;0;0;0;0;-1;0
108;22;0;2;122;0;0;-1;0
109;22;15;0;0;0;0;-1;0
109;22;0;1;121;0;0;-1;0
110;22;16;0;0;0;0;-1;0
110;22;0;1;121;0;0;-1;0
111;22;16;0;0;0;0;-1;0
111;22;0;2;123;0;0;-1;0
112;22;15;0;0;0;0;-1;0
112;22;0;2;122;0;0;-1;0
113;22;15;0;0;0;0;-1;0
113;22;0;3;122;0;0;-1;0
114;22;15;0;0;0;0;-1;0
114;22;0;1;122;0;0;-1;0
115;22;15;0;0;0;0;-1;0
115;22;0;1;121;0;0;-1;0
116;22;15;0;0;0;0;-1;0
116;22;0;1;122;0;0;-1;0
117;22;16;0;0;0;0;-1;0
117;22;0;1;122;0;0;-1;0
118;22;16;0;0;0;0;-1;0
118;22;0;2;122;0;0;-1;0
119;22;16;0;0;0;0;-1;0
119;22;0;1;122;0;0;-1;0
120;22;16;0;0;0;0;-1;0
120;22;0;2;123;0;0;-1;0
121;22;16;0;0;0;0;-1;0
121;22;0;1;123;0;0;-1;0
122;22;15;0;0;0;0;-1;0
122;22;0;3;122;0;0;-1;0
123;22;15;0;0;0;0;-1;0
123;22;0;2;122;0;0;-1;0
124;22;15;0;0;0;0;-1;0
124;22;0;1;144;0;0;-1;0
125;22;15;0;0;0;0;-1;0
125;22;0;1;121;0;0;-1;0
126;22;16;0;0;0;0;-1;0
126;22;0;1;121;0;0;-1;0
127;22;15;0;0;0;0;-1;0
127;22;0;3;121;0;0;-1;0
128;22;16;0;0;0;0;-1;0
128;22;0;0;122;0;0;-1;0
129;22;15;0;0;0;0;-1;0
129;22;0;1;122;0;0;-1;0
130;22;15;0;0;0;0;-1;0
130;22;0;2;123;0;0;-1;0
131;22;15;0;0;0;0;-1;0
131;22;0;1;122;0;0;-1;0
132;22;15;0;0;0;0;-1;0
132;22;0;1;122;0;0;-1;0
133;22;15;0;0;0;0;-1;0
133;22;0;1;122;0;0;-1;0
134;22;15;0;0;0;0;-1;0
134;22;0;1;122;0;0;-1;0
135;22;15;0;0;0;0;-1;0
135;22;0;3;121;0;0;-1;0
136;22;15;0;0;0;0;-1;0
136;22;0;1;121;0;0;-1;0
137;22;15;0;0;0;0;-1;0
137;22;0;2;121;0;0;-1;0
138;22;15;0;0;0;0;-1;0
138;22;0;1;122;0;0;-1;0
139;22;15;0;0;0;0;-1;0
139;22;0;1;122;0;0;-1;0
140;22;15;0;0;0;0;-1;0
140;22;0;1;123;0;0;-1;0
141;22;15;0;0;0;0;-1;0
141;22;0;2;122;0;0;-1;0
142;22;15;0;0;0;0;-1;0
142;22;0;1;121;0;0;-1;0
143;22;15;0;0;0;0;-1;0
143;22;0;1;126;0;0;-1;0
144;22;15;0;0;0;0;-1;0
144;22;0;3;121;0;0;-1;0
145;22;15;0;0;0;0;-1;0
145;22;0;3;121;0;0;-1;0
146;22;15;0;0;0;0;-1;0
146;22;0;2;126;0;0;-1;0
147;22;15;0;0;0;0;-1;0
147;22;0;1;122;0;0;-1;0
148;22;15;0;0;0;0;-1;0
148;22;0;2;120;0;0;-1;0
149;22;15;0;0;0;0;-1;0
149;22;0;1;121;0;0;-1;0
150;22;15;0;0;0;0;-1;0
150;22;0;2;121;0;0;-1;0
151;22;15;0;0;0;0;-1;0
151;22;0;1;143;0;0;-1;0
152;22;14;0;0;0;0;-1;0
152;22;0;3;-1;0;1;86;0
153;22;15;0;0;0;0;-1;0
153;22;0;1;122;0;0;-1;0
154;22;15;0;0;0;0;-1;0
154;22;0;2;121;0;0;-1;0
155;22;15;0;0;0;0;-1;0
155;22;0;1;121;0;0;-1;0
156;22;15;0;0;0;0;-1;0
156;22;0;1;121;0;0;-1;0
157;22;14;0;0;0;0;-1;0
157;22;0;3;121;0;0;-1;0
158;22;15;0;0;0;0;-1;0
158;22;0;1;121;0;0;-1;0
159;22;15;0;0;0;0;-1;0
159;22;0;1;121;0;0;-1;0
160;22;15;0;0;0;0;-1;0
160;22;0;1;121;0;0;-1;0
161;22;15;0;0;0;0;-1;0
161;22;0;1;121;0;0;-1;0
162;22;15;0;0;0;0;-1;0
162;22;0;2;120;0;0;-1;0
163;22;15;0;0;0;0;-1;0
163;22;0;3;121;0;0;-1;0
164;22;15;0;0;0;0;-1;0
164;22;0;1;121;0;0;-1;0
165;22;15;0;0;0;0;-1;0
165;22;0;1;121;0;0;-1;0
166;22;15;0;0;0;0;-1;0
166;22;0;1;121;0;0;-1;0
167;22;15;0;0;0;0;-1;0
167;22;0;2;121;0;0;-1;0
168;22;15;0;0;0;0;-1;0
168;22;0;2;121;0;0;-1;0
169;22;15;0;0;0;0;-1;0
169;22;0;0;121;0;0;-1;0
170;22;15;0;0;0;0;-1;0
170;22;0;1;121;0;0;-1;0
171;22;14;0;0;0;0;-1;0
171;22;0;1;121;0;0;-1;0
172;22;15;0;0;0;0;-1;0
172;22;0;2;121;0;0;-1;0
173;22;15;0;0;0;0;-1;0
173;22;0;2;121;0;0;-1;0
174;22;15;0;0;0;0;-1;0
174;22;0;2;121;0;0;-1;0
175;22;15;0;0;0;0;-1;0
175;22;0;1;121;0;0;-1;0
176;22;15;0;0;0;0;-1;0
176;22;0;1;121;0;0;-1;0
177;22;15;0;0;0;0;-1;0
177;22;0;1;140;0;0;-1;0
178;22;15;0;0;0;0;-1;0
178;22;0;1;121;0;0;-1;0
179;22;15;0;0;0;0;-1;0
179;22;0;3;120;0;0;-1;0
180;22;14;0;0;0;0;-1;0
180;22;0;2;121;0;0;-1;0
181;22;15;0;0;0;0;-1;0
181;22;0;1;122;0;0;-1;0
182;22;16;0;0;0;0;-1;0
182;22;0;1;124;0;0;-1;0
183;22;15;0;0;0;0;-1;0
183;22;0;3;123;0;0;-1;0
184;22;15;0;0;0;0;-1;0
184;22;0;2;123;0;0;-1;0
185;22;15;0;0;0;0;-1;0
185;22;0;1;121;0;0;-1;0
186;22;15;0;0;0;0;-1;0
186;22;0;2;121;0;0;-1;0
187;22;15;0;0;0;0;-1;0
187;22;0;1;121;0;0;-1;0
188;22;15;0;0;0;0;-1;0
188;22;0;1;121;0;0;-1;0
189;22;15;0;0;0;0;-1;0
189;22;0;1;121;0;0;-1;0
190;22;16;0;0;0;0;-1;0
190;22;0;1;121;0;0;-1;0
191;22;15;0;0;0;0;-1;0
191;22;0;1;121;0;0;-1;0
192;22;16;0;0;0;0;-1;0
192;22;0;0;122;0;0;-1;0
193;22;14;0;0;0;0;-1;0
193;22;0;2;120;0;0;-1;0
194;22;15;0;0;0;0;-1;0
194;22;0;2;121;0;0;-1;0
195;22;15;0;0;0;0;-1;0
195;22;0;2;122;0;0;-1;0
196;22;14;0;0;0;0;-1;0
196;22;0;2;121;0;0;-1;0
197;22;16;0;0;0;0;-1;0
197;22;0;2;122;0;0;-1;0
198;22;16;0;0;0;0;-1;0
198;22;0;1;122;0;0;-1;0
199;22;15;0;0;0;0;-1;0
199;22;0;2;122;0;0;-1;0
200;22;15;0;0;0;0;-1;0
200;22;0;1;122;0;0;-1;0
201;22;15;0;0;0;0;-1;0
201;22;0;1;128;0;0;-1;0
202;22;16;0;0;0;0;-1;0
202;22;0;1;178;0;0;-1;0
203;22;16;0;0;0;0;-1;0
203;22;0;2;123;0;0;-1;0
204;22;16;0;0;0;0;-1;0
204;22;0;1;125;0;0;-1;0
205;22;15;0;0;0;0;-1;0
205;22;0;1;122;0;0;-1;0
206;22;16;0;0;0;0;-1;0
206;22;0;2;124;0;0;-1;0
207;22;15;0;0;0;0;-1;0
207;22;0;1;122;0;0;-1;0
208;22;15;0;0;0;0;-1;0
208;22;0;1;121;0;0;-1;0
209;22;15;0;0;0;0;-1;0
209;22;0;2;121;0;0;-1;0
210;22;16;0;0;0;0;-1;0
210;22;0;1;121;0;0;-1;0
211;22;15;0;0;0;0;-1;0
211;22;0;1;121;0;0;-1;0
212;22;16;0;0;0;0;-1;0
212;22;0;1;121;0;0;-1;0
213;22;16;0;0;0;0;-1;0
213;22;0;1;126;0;0;-1;0
214;22;15;0;0;0;0;-1;0
214;22;0;3;121;0;0;-1;0
215;22;15;0;0;0;0;-1;0
215;22;0;4;121;0;0;-1;0
216;22;16;0;0;0;0;-1;0
216;22;0;1;122;0;0;-1;0
217;22;15;0;0;0;0;-1;0
217;22;0;2;121;0;0;-1;0
218;22;15;0;0;0;0;-1;0
218;22;0;1;121;0;0;-1;0
219;22;15;0;0;0;0;-1;0
219;22;0;2;126;0;0;-1;0
220;22;15;0;0;0;0;-1;0
220;22;0;1;122;0;0;-1;0
221;22;15;0;0;0;0;-1;0
221;22;0;2;121;0;0;-1;0
222;22;15;0;0;0;0;-1;0
222;22;0;2;121;0;0;-1;0
223;22;15;0;0;0;0;-1;0
223;22;0;3;125;0;0;-1;0
224;22;16;0;0;0;0;-1;0
224;22;0;1;121;0;0;-1;0
225;22;15;0;0;0;0;-1;0
225;22;0;2;120;0;0;-1;0
226;22;15;0;0;0;0;-1;0
226;22;0;3;139;0;0;-1;0
227;22;15;0;0;0;0;-1;0
227;22;0;2;122;0;0;-1;0
228;22;15;0;0;0;0;-1;0
228;22;0;1;121;0;0;-1;0
229;22;15;0;0;0;0;-1;0
229;22;0;1;120;0;0;-1;0
230;22;15;0;0;0;0;-1;0
230;22;0;1;127;0;0;-1;0
231;22;15;0;0;0;0;-1;0
231;22;0;1;121;0;0;-1;0
232;22;17;0;0;0;0;-1;0
232;22;0;3;123;0;0;-1;0
233;22;15;0;0;0;0;-1;0
233;22;0;2;122;0;0;-1;0
234;22;15;0;0;0;0;-1;0
