mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;9;37;0;0;0;0;-1;0
1;9;0;3;421;0;0;-1;0
2;9;24;0;0;0;0;-1;0
2;9;0;0;136;0;0;-1;0
3;9;23;0;0;0;0;-1;0
3;9;0;0;182;0;0;-1;0
4;9;19;0;0;0;0;-1;0
4;9;0;0;127;0;0;-1;0
5;9;19;0;0;0;0;-1;0
5;9;0;1;121;0;0;-1;0
6;22;19;0;0;0;0;-1;0
6;22;0;3;131;0;0;-1;0
7;22;19;0;0;0;0;-1;0
7;22;0;3;119;0;0;-1;0
8;22;19;0;0;0;0;-1;0
8;22;0;1;120;0;0;-1;0
9;22;18;0;0;0;0;-1;0
9;22;0;3;129;0;0;-1;0
10;22;19;0;0;0;0;-1;0
10;22;0;1;128;0;0;-1;0
11;22;17;0;0;0;0;-1;0
11;22;0;2;136;0;0;-1;0
12;22;19;0;0;0;0;-1;0
12;22;0;2;118;0;0;-1;0
13;22;17;0;0;0;0;-1;0
13;22;0;1;118;0;0;-1;0
14;22;17;0;0;0;0;-1;0
14;22;0;1;117;0;0;-1;0
15;22;18;0;0;0;0;-1;0
15;22;0;0;117;0;0;-1;0
16;22;18;0;0;0;0;-1;0
16;22;0;1;123;0;0;-1;0
17;22;17;0;0;0;0;-1;0
17;22;0;1;118;0;0;-1;0
18;22;17;0;0;0;0;-1;0
18;22;0;1;117;0;0;-1;0
19;22;16;0;0;0;0;-1;0
19;22;0;1;117;0;0;-1;0
20;22;17;0;0;0;0;-1;0
20;22;0;3;116;0;0;-1;0
21;22;18;0;0;0;0;-1;0
21;22;0;1;117;0;0;-1;0
22;22;17;0;0;0;0;-1;0
22;22;0;3;124;0;0;-1;0
23;22;17;0;0;0;0;-1;0
23;22;0;2;126;0;0;-1;0
24;22;18;0;0;0;0;-1;0
24;22;0;3;128;0;0;-1;0
25;22;18;0;0;0;0;-1;0
25;22;0;2;128;0;0;-1;0
26;22;17;0;0;0;0;-1;0
26;22;0;1;128;0;0;-1;0
27;22;29;0;0;0;0;-1;0
27;22;0;3;130;0;0;-1;0
28;22;18;0;0;0;0;-1;0
28;22;0;1;118;0;0;-1;0
29;22;16;0;0;0;0;-1;0
29;22;0;1;117;0;0;-1;0
30;22;16;0;0;0;0;-1;0
30;22;0;1;117;0;0;-1;0
31;22;15;0;0;0;0;-1;0
31;22;0;3;117;0;0;-1;0
32;22;17;0;0;0;0;-1;0
32;22;0;2;117;0;0;-1;0
33;22;15;0;0;0;0;-1;0
33;22;0;2;117;0;0;-1;0
34;22;16;0;0;0;0;-1;0
34;22;0;0;117;0;0;-1;0
35;22;16;0;0;0;0;-1;0
35;22;0;1;118;0;0;-1;0
36;22;17;0;0;0;0;-1;0
36;22;0;2;117;0;0;-1;0
37;22;15;0;0;0;0;-1;0
37;22;0;3;126;0;0;-1;0
38;22;14;0;0;0;0;-1;0
38;22;0;2;117;0;0;-1;0
39;22;14;0;0;0;0;-1;0
39;22;0;2;117;0;0;-1;0
40;22;15;0;0;0;0;-1;0
40;22;0;1;117;0;0;-1;0
41;22;14;0;0;0;0;-1;0
41;22;0;1;117;0;0;-1;0
42;22;15;0;0;0;0;-1;0
42;22;0;1;116;0;0;-1;0
43;22;16;0;0;0;0;-1;0
43;22;0;3;117;0;0;-1;0
44;22;15;0;0;0;0;-1;0
44;22;0;1;117;0;0;-1;0
45;22;15;0;0;0;0;-1;0
45;22;0;3;117;0;0;-1;0
46;22;15;0;0;0;0;-1;0
46;22;0;1;116;0;0;-1;0
47;22;15;0;0;0;0;-1;0
47;22;0;3;116;0;0;-1;0
48;22;15;0;0;0;0;-1;0
48;22;0;3;120;0;0;-1;0
49;22;15;0;0;0;0;-1;0
49;22;0;3;126;0;0;-1;0
50;22;15;0;0;0;0;-1;0
50;22;0;3;127;0;0;-1;0
51;22;15;0;0;0;0;-1;0
51;22;0;1;127;0;0;-1;0
52;22;16;0;0;0;0;-1;0
52;22;0;3;-1;0;1;31;0
53;22;16;0;0;0;0;-1;0
53;22;0;1;127;0;0;-1;0
54;22;15;0;0;0;0;-1;0
54;22;0;2;140;0;0;-1;0
55;22;14;0;0;0;0;-1;0
55;22;0;2;117;0;0;-1;0
56;22;15;0;0;0;0;-1;0
56;22;0;2;117;0;0;-1;0
57;22;15;0;0;0;0;-1;0
57;22;0;1;119;0;0;-1;0
58;22;14;0;0;0;0;-1;0
58;22;0;1;117;0;0;-1;0
59;22;15;0;0;0;0;-1;0
59;22;0;3;116;0;0;-1;0
60;22;15;0;0;0;0;-1;0
60;22;0;2;117;0;0;-1;0
61;22;15;0;0;0;0;-1;0
61;22;0;1;118;0;0;-1;0
62;22;15;0;0;0;0;-1;0
62;22;0;2;117;0;0;-1;0
63;22;17;0;0;0;0;-1;0
63;22;0;1;133;0;0;-1;0
64;22;16;0;0;0;0;-1;0
64;22;0;3;117;0;0;-1;0
65;22;16;0;0;0;0;-1;0
65;22;0;3;117;0;0;-1;0
66;22;14;0;0;0;0;-1;0
66;22;0;3;117;0;0;-1;0
67;22;14;0;0;0;0;-1;0
67;22;0;2;116;0;0;-1;0
68;22;15;0;0;0;0;-1;0
68;22;0;3;118;0;0;-1;0
69;22;15;0;0;0;0;-1;0
69;22;0;1;118;0;0;-1;0
70;22;15;0;0;0;0;-1;0
70;22;0;3;116;0;0;-1;0
71;22;15;0;0;0;0;-1;0
71;22;0;1;134;0;0;-1;0
72;22;14;0;0;0;0;-1;0
72;22;0;3;117;0;0;-1;0
73;22;14;0;0;0;0;-1;0
73;22;0;2;116;0;0;-1;0
74;22;15;0;0;0;0;-1;0
74;22;0;2;116;0;0;-1;0
75;22;15;0;0;0;0;-1;0
75;22;0;1;116;0;0;-1;0
76;22;15;0;0;0;0;-1;0
76;22;0;2;116;0;0;-1;0
77;22;15;0;0;0;0;-1;0
77;22;0;2;116;0;0;-1;0
78;22;15;0;0;0;0;-1;0
78;22;0;1;117;0;0;-1;0
79;22;14;0;0;0;0;-1;0
79;22;0;2;117;0;0;-1;0
80;22;14;0;0;0;0;-1;0
80;22;0;3;117;0;0;-1;0
81;22;14;0;0;0;0;-1;0
81;22;0;3;117;0;0;-1;0
82;22;14;0;0;0;0;-1;0
82;22;0;2;117;0;0;-1;0
83;22;14;0;0;0;0;-1;0
83;22;0;1;116;0;0;-1;0
84;22;15;0;0;0;0;-1;0
84;22;0;1;117;0;0;-1;0
85;22;15;0;0;0;0;-1;0
85;22;0;2;118;0;0;-1;0
86;22;15;0;0;0;0;-1;0
86;22;0;2;117;0;0;-1;0
87;22;15;0;0;0;0;-1;0
87;22;0;2;118;0;0;-1;0
88;22;15;0;0;0;0;-1;0
88;22;0;1;118;0;0;-1;0
89;22;16;0;0;0;0;-1;0
89;22;0;1;124;0;0;-1;0
90;22;15;0;0;0;0;-1;0
90;22;0;2;126;0;0;-1;0
91;22;16;0;0;0;0;-1;0
91;22;0;2;126;0;0;-1;0
92;22;15;0;0;0;0;-1;0
92;22;0;3;126;0;0;-1;0
93;22;16;0;0;0;0;-1;0
93;22;0;1;126;0;0;-1;0
94;22;16;0;0;0;0;-1;0
94;22;0;1;126;0;0;-1;0
95;22;16;0;0;0;0;-1;0
95;22;0;2;126;0;0;-1;0
96;22;16;0;0;0;0;-1;0
96;22;0;1;126;0;0;-1;0
97;22;15;0;0;0;0;-1;0
97;22;0;3;126;0;0;-1;0
98;22;16;0;0;0;0;-1;0
98;22;0;2;145;0;0;-1;0
99;22;15;0;0;0;0;-1;0
99;22;0;1;123;0;0;-1;0
100;22;15;0;0;0;0;-1;0
100;22;0;3;116;0;0;-1;0
101;22;15;0;0;0;0;-1;0
101;22;0;3;116;0;0;-1;0
102;22;16;0;0;0;0;-1;0
102;22;0;1;117;0;0;-1;0
103;22;15;0;0;0;0;-1;0
103;22;0;2;117;0;0;-1;0
104;22;15;0;0;0;0;-1;0
104;22;0;2;116;0;0;-1;0
105;22;15;0;0;0;0;-1;0
105;22;0;1;116;0;0;-1;0
106;22;15;0;0;0;0;-1;0
106;22;0;3;116;0;0;-1;0
107;22;14;0;0;0;0;-1;0
107;22;0;2;116;0;0;-1;0
108;22;15;0;0;0;0;-1;0
108;22;0;3;118;0;0;-1;0
109;22;15;0;0;0;0;-1;0
109;22;0;1;117;0;0;-1;0
110;22;15;0;0;0;0;-1;0
110;22;0;1;116;0;0;-1;0
111;22;15;0;0;0;0;-1;0
111;22;0;2;116;0;0;-1;0
112;22;15;0;0;0;0;-1;0
112;22;0;1;117;0;0;-1;0
113;22;14;0;0;0;0;-1;0
113;22;0;3;116;0;0;-1;0
114;22;15;0;0;0;0;-1;0
114;22;0;0;117;0;0;-1;0
115;22;15;0;0;0;0;-1;0
115;22;0;1;117;0;0;-1;0
116;22;16;0;0;0;0;-1;0
116;22;0;1;119;0;0;-1;0
117;22;15;0;0;0;0;-1;0
117;22;0;1;118;0;0;-1;0
118;22;15;0;0;0;0;-1;0
118;22;0;3;117;0;0;-1;0
119;22;15;0;0;0;0;-1;0
119;22;0;3;118;0;0;-1;0
120;22;15;0;0;0;0;-1;0
120;22;0;1;120;0;0;-1;0
121;22;15;0;0;0;0;-1;0
121;22;0;1;117;0;0;-1;0
122;22;15;0;0;0;0;-1;0
122;22;0;1;119;0;0;-1;0
123;22;15;0;0;0;0;-1;0
123;22;0;1;118;0;0;-1;0
124;22;15;0;0;0;0;-1;0
124;22;0;2;138;0;0;-1;0
125;22;15;0;0;0;0;-1;0
125;22;0;2;119;0;0;-1;0
126;22;15;0;0;0;0;-1;0
126;22;0;2;117;0;0;-1;0
127;22;15;0;0;0;0;-1;0
127;22;0;3;118;0;0;-1;0
128;22;15;0;0;0;0;-1;0
128;22;0;2;117;0;0;-1;0
129;22;15;0;0;0;0;-1;0
129;22;0;1;117;0;0;-1;0
130;22;15;0;0;0;0;-1;0
130;22;0;3;118;0;0;-1;0
131;22;15;0;0;0;0;-1;0
131;22;0;2;119;0;0;-1;0
132;22;15;0;0;0;0;-1;0
132;22;0;2;117;0;0;-1;0
133;22;15;0;0;0;0;-1;0
133;22;0;1;117;0;0;-1;0
134;22;15;0;0;0;0;-1;0
134;22;0;1;117;0;0;-1;0
135;22;15;0;0;0;0;-1;0
135;22;0;2;118;0;0;-1;0
136;22;15;0;0;0;0;-1;0
136;22;0;1;125;0;0;-1;0
137;22;17;0;0;0;0;-1;0
137;22;0;3;117;0;0;-1;0
138;22;16;0;0;0;0;-1;0
138;22;0;1;118;0;0;-1;0
139;22;15;0;0;0;0;-1;0
139;22;0;1;118;0;0;-1;0
140;22;15;0;0;0;0;-1;0
140;22;0;3;118;0;0;-1;0
141;22;15;0;0;0;0;-1;0
141;22;0;1;119;0;0;-1;0
142;22;15;0;0;0;0;-1;0
142;22;0;1;117;0;0;-1;0
143;22;15;0;0;0;0;-1;0
