mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;22;64;0;0;0;0;-1;0
1;22;0;4;416;0;0;-1;0
2;9;39;0;0;0;0;-1;0
2;9;0;2;382;0;0;-1;0
3;32;35;0;0;0;0;-1;0
3;32;0;25;397;0;0;-1;0
4;23;36;0;0;0;0;-1;0
4;23;0;3;381;0;0;-1;0
5;10;34;0;0;0;0;-1;0
5;10;0;2;380;0;0;-1;0
6;6;33;0;0;0;0;-1;0
6;6;0;1;384;0;0;-1;0
7;36;33;0;0;0;0;-1;0
7;36;0;1;400;0;0;-1;0
8;25;33;0;0;0;0;-1;0
8;25;0;13;411;0;0;-1;0
9;29;32;0;0;0;0;-1;0
9;29;0;1;378;0;0;-1;0
10;2;34;0;0;0;0;-1;0
10;2;0;1;-1;1;0;0;0
11;3;35;0;0;0;0;-1;0
11;3;0;2;379;0;0;-1;0
12;27;31;0;0;0;0;-1;0
12;27;0;1;378;0;0;-1;0
13;8;29;0;0;0;0;-1;0
13;8;0;1;392;0;0;-1;0
14;37;30;0;0;0;0;-1;0
14;37;0;2;377;0;0;-1;0
15;7;29;0;0;0;0;-1;0
15;7;0;2;381;0;0;-1;0
16;26;29;0;0;0;0;-1;0
16;26;0;2;379;0;0;-1;0
17;5;29;0;0;0;0;-1;0
17;5;0;1;379;0;0;-1;0
18;33;28;0;0;0;0;-1;0
18;33;0;10;385;0;0;-1;0
19;31;28;0;0;0;0;-1;0
19;31;0;2;395;0;0;-1;0
20;4;29;0;0;0;0;-1;0
20;4;0;2;399;0;0;-1;0
21;1;30;0;0;0;0;-1;0
21;1;0;1;556;0;0;-1;0
22;24;29;0;0;0;0;-1;0
22;24;0;12;378;0;0;-1;0
23;38;28;0;0;0;0;-1;0
23;38;0;2;376;0;0;-1;0
24;32;29;0;0;0;0;-1;0
24;32;0;11;-1;1;0;0;0
25;32;29;0;0;0;0;-1;0
25;32;0;12;376;0;0;-1;0
26;32;29;0;0;0;0;-1;0
26;32;0;2;378;0;0;-1;0
27;32;29;0;0;0;0;-1;0
27;32;0;2;379;0;0;-1;0
28;32;29;0;0;0;0;-1;0
28;32;0;2;378;0;0;-1;0
29;32;29;0;0;0;0;-1;0
29;32;0;3;390;0;0;-1;0
30;32;29;0;0;0;0;-1;0
30;32;0;6;376;0;0;-1;0
31;32;29;0;0;0;0;-1;0
31;32;0;6;376;0;0;-1;0
32;32;28;0;0;0;0;-1;0
32;32;0;0;379;0;0;-1;0
33;32;30;0;0;0;0;-1;0
33;32;0;9;378;0;0;-1;0
34;32;29;0;0;0;0;-1;0
34;32;0;10;378;0;0;-1;0
35;32;29;0;0;0;0;-1;0
35;32;0;10;378;0;0;-1;0
36;32;28;0;0;0;0;-1;0
36;32;0;1;377;0;0;-1;0
37;32;29;0;0;0;0;-1;0
37;32;0;1;393;0;0;-1;0
38;32;30;0;0;0;0;-1;0
38;32;0;3;397;0;0;-1;0
39;32;31;0;0;0;0;-1;0
39;32;0;7;397;0;0;-1;0
40;32;30;0;0;0;0;-1;0
40;32;0;7;413;0;0;-1;0
41;32;28;0;0;0;0;-1;0
41;32;0;7;377;0;0;-1;0
42;32;28;0;0;0;0;-1;0
42;32;0;7;377;0;0;-1;0
43;32;29;0;0;0;0;-1;0
43;32;0;6;377;0;0;-1;0
44;32;29;0;0;0;0;-1;0
44;32;0;7;378;0;0;-1;0
45;32;29;0;0;0;0;-1;0
45;32;0;7;376;0;0;-1;0
46;32;29;0;0;0;0;-1;0
46;32;0;7;377;0;0;-1;0
47;32;29;0;0;0;0;-1;0
47;32;0;7;376;0;0;-1;0
48;32;29;0;0;0;0;-1;0
48;32;0;7;376;0;0;-1;0
49;32;29;0;0;0;0;-1;0
49;32;0;1;376;0;0;-1;0
50;32;29;0;0;0;0;-1;0
50;32;0;1;378;0;0;-1;0
51;32;29;0;0;0;0;-1;0
51;32;0;1;377;0;0;-1;0
52;32;29;0;0;0;0;-1;0
52;32;0;24;401;0;0;-1;0
53;32;35;0;0;0;0;-1;0
53;32;0;24;380;0;0;-1;0
54;32;28;0;0;0;0;-1;0
54;32;0;24;382;0;0;-1;0
55;32;29;0;0;0;0;-1;0
55;32;0;23;379;0;0;-1;0
56;32;29;0;0;0;0;-1;0
56;32;0;23;384;0;0;-1;0
57;32;28;0;0;0;0;-1;0
57;32;0;24;377;0;0;-1;0
58;32;29;0;0;0;0;-1;0
58;32;0;23;377;0;0;-1;0
59;23;29;0;0;0;0;-1;0
59;23;0;1;-1;1;0;0;0
60;23;28;0;0;0;0;-1;0
60;23;0;2;377;0;0;-1;0
61;23;29;0;0;0;0;-1;0
61;23;0;7;377;0;0;-1;0
62;23;29;0;0;0;0;-1;0
62;23;0;7;377;0;0;-1;0
63;23;28;0;0;0;0;-1;0
63;23;0;9;382;0;0;-1;0
64;23;52;0;0;0;0;-1;0
64;23;0;8;382;0;0;-1;0
65;23;29;0;0;0;0;-1;0
65;23;0;8;382;0;0;-1;0
66;23;29;0;0;0;0;-1;0
66;23;0;9;379;0;0;-1;0
67;23;28;0;0;0;0;-1;0
67;23;0;9;378;0;0;-1;0
68;23;29;0;0;0;0;-1;0
68;23;0;8;383;0;0;-1;0
69;23;29;0;0;0;0;-1;0
69;23;0;9;376;0;0;-1;0
70;23;29;0;0;0;0;-1;0
70;23;0;9;379;0;0;-1;0
71;23;28;0;0;0;0;-1;0
71;23;0;2;379;0;0;-1;0
72;23;29;0;0;0;0;-1;0
72;23;0;2;378;0;0;-1;0
73;23;29;0;0;0;0;-1;0
73;23;0;2;379;0;0;-1;0
74;23;29;0;0;0;0;-1;0
74;23;0;2;379;0;0;-1;0
75;23;28;0;0;0;0;-1;0
75;23;0;2;395;0;0;-1;0
76;23;29;0;0;0;0;-1;0
76;23;0;1;377;0;0;-1;0
77;23;28;0;0;0;0;-1;0
77;23;0;1;376;0;0;-1;0
78;23;29;0;0;0;0;-1;0
78;23;0;4;377;0;0;-1;0
79;23;29;0;0;0;0;-1;0
79;23;0;3;377;0;0;-1;0
80;23;29;0;0;0;0;-1;0
80;23;0;3;385;0;0;-1;0
81;23;29;0;0;0;0;-1;0
81;23;0;1;377;0;0;-1;0
82;23;29;0;0;0;0;-1;0
82;23;0;3;377;0;0;-1;0
83;23;29;0;0;0;0;-1;0
83;23;0;23;377;0;0;-1;0
84;23;28;0;0;0;0;-1;0
84;23;0;24;377;0;0;-1;0
85;23;28;0;0;0;0;-1;0
85;23;0;24;377;0;0;-1;0
86;23;29;0;0;0;0;-1;0
86;23;0;23;381;0;0;-1;0
87;23;29;0;0;0;0;-1;0
87;23;0;23;408;0;0;-1;0
88;23;29;0;0;0;0;-1;0
88;23;0;23;378;0;0;-1;0
89;23;29;0;0;0;0;-1;0
89;23;0;23;378;0;0;-1;0
90;23;29;0;0;0;0;-1;0
90;23;0;23;377;0;0;-1;0
91;23;29;0;0;0;0;-1;0
91;23;0;23;377;0;0;-1;0
92;23;28;0;0;0;0;-1;0
92;23;0;23;385;0;0;-1;0
93;23;28;0;0;0;0;-1;0
93;23;0;23;380;0;0;-1;0
94;23;30;0;0;0;0;-1;0
94;23;0;23;377;0;0;-1;0
95;23;29;0;0;0;0;-1;0
95;23;0;23;378;0;0;-1;0
96;23;29;0;0;0;0;-1;0
96;23;0;23;379;0;0;-1;0
97;23;29;0;0;0;0;-1;0
97;23;0;23;380;0;0;-1;0
98;23;29;0;0;0;0;-1;0
98;23;0;23;379;0;0;-1;0
99;23;28;0;0;0;0;-1;0
99;23;0;23;404;0;0;-1;0
100;23;29;0;0;0;0;-1;0
100;23;0;23;380;0;0;-1;0
101;23;28;0;0;0;0;-1;0
101;23;0;23;388;0;0;-1;0
102;23;29;0;0;0;0;-1;0
102;23;0;23;378;0;0;-1;0
103;23;29;0;0;0;0;-1;0
103;23;0;23;387;0;0;-1;0
104;23;28;0;0;0;0;-1;0
104;23;0;24;378;0;0;-1;0
105;23;28;0;0;0;0;-1;0
105;23;0;23;377;0;0;-1;0
106;23;29;0;0;0;0;-1;0
106;23;0;23;377;0;0;-1;0
107;23;28;0;0;0;0;-1;0
107;23;0;23;377;0;0;-1;0
108;23;28;0;0;0;0;-1;0
108;23;0;23;377;0;0;-1;0
109;23;29;0;0;0;0;-1;0
109;23;0;23;377;0;0;-1;0
110;23;29;0;0;0;0;-1;0
110;23;0;1;379;0;0;-1;0
111;23;28;0;0;0;0;-1;0
111;23;0;2;403;0;0;-1;0
112;23;28;0;0;0;0;-1;0
112;23;0;2;383;0;0;-1;0
113;6;29;0;0;0;0;-1;0
113;6;0;0;-1;1;0;0;0
114;6;29;0;0;0;0;-1;0
114;6;0;1;377;0;0;-1;0
115;6;29;0;0;0;0;-1;0
115;6;0;0;379;0;0;-1;0
116;6;29;0;0;0;0;-1;0
116;6;0;0;378;0;0;-1;0
117;6;29;0;0;0;0;-1;0
117;6;0;0;381;0;0;-1;0
118;6;28;0;0;0;0;-1;0
118;6;0;8;379;0;0;-1;0
119;6;29;0;0;0;0;-1;0
119;6;0;7;377;0;0;-1;0
120;6;28;0;0;0;0;-1;0
120;6;0;7;376;0;0;-1;0
121;6;29;0;0;0;0;-1;0
121;6;0;7;378;0;0;-1;0
122;6;28;0;0;0;0;-1;0
122;6;0;8;377;0;0;-1;0
123;6;28;0;0;0;0;-1;0
123;6;0;7;405;0;0;-1;0
124;6;29;0;0;0;0;-1;0
124;6;0;0;381;0;0;-1;0
125;6;29;0;0;0;0;-1;0
125;6;0;9;380;0;0;-1;0
126;6;29;0;0;0;0;-1;0
126;6;0;8;382;0;0;-1;0
127;6;30;0;0;0;0;-1;0
127;6;0;2;390;0;0;-1;0
128;6;29;0;0;0;0;-1;0
128;6;0;0;387;0;0;-1;0
