mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;32;60;0;0;0;0;-1;0
1;32;0;27;398;0;0;-1;0
2;32;39;0;0;0;0;-1;0
2;32;0;14;367;0;0;-1;0
3;32;35;0;0;0;0;-1;0
3;32;0;1;411;0;0;-1;0
4;32;35;0;0;0;0;-1;0
4;32;0;1;367;0;0;-1;0
5;32;34;0;0;0;0;-1;0
5;32;0;2;364;0;0;-1;0
6;32;34;0;0;0;0;-1;0
6;32;0;3;366;0;0;-1;0
7;32;33;0;0;0;0;-1;0
7;32;0;5;386;0;0;-1;0
8;32;33;0;0;0;0;-1;0
8;32;0;6;546;0;0;-1;0
9;32;31;0;0;0;0;-1;0
9;32;0;1;371;0;0;-1;0
10;32;34;0;0;0;0;-1;0
10;32;0;10;363;0;0;-1;0
11;32;34;0;0;0;0;-1;0
11;32;0;10;364;0;0;-1;0
12;32;31;0;0;0;0;-1;0
12;32;0;10;365;0;0;-1;0
13;32;28;0;0;0;0;-1;0
13;32;0;1;375;0;0;-1;0
14;32;30;0;0;0;0;-1;0
14;32;0;1;371;0;0;-1;0
15;32;28;0;0;0;0;-1;0
15;32;0;2;365;0;0;-1;0
16;32;29;0;0;0;0;-1;0
16;32;0;8;365;0;0;-1;0
17;32;28;0;0;0;0;-1;0
17;32;0;8;363;0;0;-1;0
18;32;29;0;0;0;0;-1;0
18;32;0;7;366;0;0;-1;0
19;32;31;0;0;0;0;-1;0
19;32;0;7;377;0;0;-1;0
20;32;31;0;0;0;0;-1;0
20;32;0;7;385;0;0;-1;0
21;32;30;0;0;0;0;-1;0
21;32;0;8;379;0;0;-1;0
22;32;29;0;0;0;0;-1;0
22;32;0;8;362;0;0;-1;0
23;32;29;0;0;0;0;-1;0
23;32;0;7;363;0;0;-1;0
24;32;28;0;0;0;0;-1;0
24;32;0;7;363;0;0;-1;0
25;32;29;0;0;0;0;-1;0
25;32;0;7;363;0;0;-1;0
26;32;29;0;0;0;0;-1;0
26;32;0;1;363;0;0;-1;0
27;32;29;0;0;0;0;-1;0
27;32;0;1;363;0;0;-1;0
28;32;29;0;0;0;0;-1;0
28;32;0;1;382;0;0;-1;0
29;32;29;0;0;0;0;-1;0
29;32;0;24;363;0;0;-1;0
30;32;29;0;0;0;0;-1;0
30;32;0;24;366;0;0;-1;0
31;32;29;0;0;0;0;-1;0
31;32;0;24;371;0;0;-1;0
32;32;29;0;0;0;0;-1;0
32;32;0;24;362;0;0;-1;0
33;32;29;0;0;0;0;-1;0
33;32;0;23;364;0;0;-1;0
34;32;29;0;0;0;0;-1;0
34;32;0;23;371;0;0;-1;0
35;32;29;0;0;0;0;-1;0
35;32;0;23;365;0;0;-1;0
36;23;29;0;0;0;0;-1;0
36;23;0;2;386;0;0;-1;0
37;23;30;0;0;0;0;-1;0
37;23;0;2;386;0;0;-1;0
38;23;31;0;0;0;0;-1;0
38;23;0;7;396;0;0;-1;0
39;23;31;0;0;0;0;-1;0
39;23;0;8;388;0;0;-1;0
40;23;29;0;0;0;0;-1;0
40;23;0;9;363;0;0;-1;0
41;23;29;0;0;0;0;-1;0
41;23;0;8;365;0;0;-1;0
42;23;29;0;0;0;0;-1;0
42;23;0;8;364;0;0;-1;0
43;23;30;0;0;0;0;-1;0
43;23;0;8;367;0;0;-1;0
44;23;29;0;0;0;0;-1;0
44;23;0;10;364;0;0;-1;0
45;23;29;0;0;0;0;-1;0
45;23;0;8;365;0;0;-1;0
46;23;29;0;0;0;0;-1;0
46;23;0;8;364;0;0;-1;0
47;23;28;0;0;0;0;-1;0
47;23;0;8;367;0;0;-1;0
48;23;29;0;0;0;0;-1;0
48;23;0;1;363;0;0;-1;0
49;23;30;0;0;0;0;-1;0
49;23;0;2;363;0;0;-1;0
50;23;29;0;0;0;0;-1;0
50;23;0;2;382;0;0;-1;0
51;23;29;0;0;0;0;-1;0
51;23;0;3;363;0;0;-1;0
52;23;29;0;0;0;0;-1;0
52;23;0;2;363;0;0;-1;0
53;23;29;0;0;0;0;-1;0
53;23;0;1;364;0;0;-1;0
54;23;29;0;0;0;0;-1;0
54;23;0;1;363;0;0;-1;0
55;23;30;0;0;0;0;-1;0
55;23;0;3;363;0;0;-1;0
56;23;29;0;0;0;0;-1;0
56;23;0;4;363;0;0;-1;0
57;23;30;0;0;0;0;-1;0
57;23;0;3;363;0;0;-1;0
58;23;29;0;0;0;0;-1;0
58;23;0;1;363;0;0;-1;0
59;23;29;0;0;0;0;-1;0
59;23;0;3;363;0;0;-1;0
60;23;29;0;0;0;0;-1;0
60;23;0;23;364;0;0;-1;0
61;23;29;0;0;0;0;-1;0
61;23;0;25;380;0;0;-1;0
62;23;31;0;0;0;0;-1;0
62;23;0;24;388;0;0;-1;0
63;23;29;0;0;0;0;-1;0
63;23;0;23;363;0;0;-1;0
64;23;29;0;0;0;0;-1;0
64;23;0;23;368;0;0;-1;0
65;23;30;0;0;0;0;-1;0
65;23;0;23;364;0;0;-1;0
66;23;29;0;0;0;0;-1;0
66;23;0;23;364;0;0;-1;0
67;23;29;0;0;0;0;-1;0
67;23;0;23;369;0;0;-1;0
68;23;29;0;0;0;0;-1;0
68;23;0;22;366;0;0;-1;0
69;23;29;0;0;0;0;-1;0
69;23;0;23;364;0;0;-1;0
70;23;29;0;0;0;0;-1;0
70;23;0;23;363;0;0;-1;0
71;23;30;0;0;0;0;-1;0
71;23;0;23;366;0;0;-1;0
72;23;29;0;0;0;0;-1;0
72;23;0;23;368;0;0;-1;0
73;23;29;0;0;0;0;-1;0
73;23;0;23;380;0;0;-1;0
74;23;29;0;0;0;0;-1;0
74;23;0;22;363;0;0;-1;0
75;23;29;0;0;0;0;-1;0
75;23;0;23;363;0;0;-1;0
76;23;29;0;0;0;0;-1;0
76;23;0;23;363;0;0;-1;0
77;23;29;0;0;0;0;-1;0
77;23;0;23;363;0;0;-1;0
78;23;28;0;0;0;0;-1;0
78;23;0;23;366;0;0;-1;0
79;23;29;0;0;0;0;-1;0
79;23;0;23;366;0;0;-1;0
80;23;29;0;0;0;0;-1;0
80;23;0;22;365;0;0;-1;0
81;23;30;0;0;0;0;-1;0
81;23;0;23;364;0;0;-1;0
82;23;30;0;0;0;0;-1;0
82;23;0;22;368;0;0;-1;0
83;23;29;0;0;0;0;-1;0
83;23;0;23;363;0;0;-1;0
84;23;29;0;0;0;0;-1;0
84;23;0;23;363;0;0;-1;0
85;23;29;0;0;0;0;-1;0
85;23;0;23;385;0;0;-1;0
86;23;29;0;0;0;0;-1;0
86;23;0;25;364;0;0;-1;0
87;23;29;0;0;0;0;-1;0
87;23;0;1;364;0;0;-1;0
88;23;28;0;0;0;0;-1;0
88;23;0;2;365;0;0;-1;0
89;23;29;0;0;0;0;-1;0
89;23;0;1;364;0;0;-1;0
90;6;29;0;0;0;0;-1;0
90;6;0;1;364;0;0;-1;0
91;6;29;0;0;0;0;-1;0
91;6;0;0;365;0;0;-1;0
92;6;29;0;0;0;0;-1;0
92;6;0;0;364;0;0;-1;0
93;6;29;0;0;0;0;-1;0
93;6;0;1;364;0;0;-1;0
94;6;29;0;0;0;0;-1;0
94;6;0;1;366;0;0;-1;0
95;6;31;0;0;0;0;-1;0
95;6;0;8;367;0;0;-1;0
96;6;29;0;0;0;0;-1;0
96;6;0;7;365;0;0;-1;0
97;6;28;0;0;0;0;-1;0
97;6;0;7;384;0;0;-1;0
98;6;28;0;0;0;0;-1;0
98;6;0;8;363;0;0;-1;0
99;6;28;0;0;0;0;-1;0
99;6;0;7;363;0;0;-1;0
100;6;29;0;0;0;0;-1;0
100;6;0;7;363;0;0;-1;0
101;6;28;0;0;0;0;-1;0
101;6;0;1;363;0;0;-1;0
102;6;29;0;0;0;0;-1;0
102;6;0;8;363;0;0;-1;0
103;6;29;0;0;0;0;-1;0
103;6;0;8;362;0;0;-1;0
104;6;29;0;0;0;0;-1;0
104;6;0;1;362;0;0;-1;0
105;6;29;0;0;0;0;-1;0
105;6;0;1;370;0;0;-1;0
106;6;28;0;0;0;0;-1;0
106;6;0;1;365;0;0;-1;0
107;6;29;0;0;0;0;-1;0
107;6;0;0;368;0;0;-1;0
108;6;31;0;0;0;0;-1;0
108;6;0;0;368;0;0;-1;0
109;6;30;0;0;0;0;-1;0
109;6;0;0;364;0;0;-1;0
110;6;30;0;0;0;0;-1;0
110;6;0;0;390;0;0;-1;0
111;6;30;0;0;0;0;-1;0
111;6;0;1;368;0;0;-1;0
112;6;29;0;0;0;0;-1;0
112;6;0;2;372;0;0;-1;0
113;6;30;0;0;0;0;-1;0
113;6;0;2;370;0;0;-1;0
114;6;30;0;0;0;0;-1;0
114;6;0;3;365;0;0;-1;0
115;6;29;0;0;0;0;-1;0
115;6;0;3;364;0;0;-1;0
116;6;29;0;0;0;0;-1;0
116;6;0;1;364;0;0;-1;0
117;6;29;0;0;0;0;-1;0
117;6;0;3;366;0;0;-1;0
118;6;30;0;0;0;0;-1;0
118;6;0;0;367;0;0;-1;0
119;2;29;0;0;0;0;-1;0
119;2;0;1;-1;1;0;0;0
120;2;29;0;0;0;0;-1;0
120;2;0;0;-1;1;0;0;0
121;2;29;0;0;0;0;-1;0
121;2;0;0;-1;1;0;0;0
122;2;29;0;0;0;0;-1;0
122;2;0;0;-1;1;0;0;0
123;2;29;0;0;0;0;-1;0
123;2;0;1;-1;1;0;0;0
124;2;28;0;0;0;0;-1;0
124;2;0;8;364;0;0;-1;0
125;2;29;0;0;0;0;-1;0
125;2;0;7;365;0;0;-1;0
126;2;28;0;0;0;0;-1;0
126;2;0;8;363;0;0;-1;0
127;2;29;0;0;0;0;-1;0
127;2;0;7;366;0;0;-1;0
128;2;28;0;0;0;0;-1;0
128;2;0;7;363;0;0;-1;0
129;2;29;0;0;0;0;-1;0
129;2;0;7;363;0;0;-1;0
130;2;29;0;0;0;0;-1;0
130;2;0;0;369;0;0;-1;0
131;2;29;0;0;0;0;-1;0
131;2;0;8;363;0;0;-1;0
132;2;28;0;0;0;0;-1;0
132;2;0;9;364;0;0;-1;0
133;2;28;0;0;0;0;-1;0
133;2;0;2;363;0;0;-1;0
134;2;29;0;0;0;0;-1;0
134;2;0;1;-1;1;0;0;0
135;2;29;0;0;0;0;-1;0
135;2;0;2;364;0;0;-1;0
136;2;29;0;0;0;0;-1;0
136;2;0;0;363;0;0;-1;0
137;2;29;0;0;0;0;-1;0
137;2;0;0;-1;1;0;0;0
138;2;30;0;0;0;0;-1;0
138;2;0;0;365;0;0;-1;0
139;2;28;0;0;0;0;-1;0
139;2;0;1;-1;1;0;0;0
140;2;29;0;0;0;0;-1;0
140;2;0;1;363;0;0;-1;0
141;2;29;0;0;0;0;-1;0
141;2;0;2;363;0;0;-1;0
142;2;29;0;0;0;0;-1;0
142;2;0;1;369;0;0;-1;0
143;2;28;0;0;0;0;-1;0
143;2;0;4;-1;1;0;0;0
144;2;29;0;0;0;0;-1;0
144;2;0;3;363;0;0;-1;0
145;2;29;0;0;0;0;-1;0
145;2;0;0;-1;1;0;0;0
146;2;30;0;0;0;0;-1;0
146;2;0;4;361;0;0;-1;0
147;2;29;0;0;0;0;-1;0
147;2;0;1;-1;1;0;0;0
148;27;29;0;0;0;0;-1;0
148;27;0;1;364;0;0;-1;0
149;27;29;0;0;0;0;-1;0
149;27;0;0;362;0;0;-1;0
150;27;29;0;0;0;0;-1;0
150;27;0;0;363;0;0;-1;0
151;27;28;0;0;0;0;-1;0
151;27;0;2;362;0;0;-1;0
152;27;29;0;0;0;0;-1;0
152;27;0;1;363;0;0;-1;0
153;27;29;0;0;0;0;-1;0
153;27;0;2;363;0;0;-1;0
154;27;28;0;0;0;0;-1;0
154;27;0;2;363;0;0;-1;0
155;27;29;0;0;0;0;-1;0
155;27;0;2;371;0;0;-1;0
156;27;29;0;0;0;0;-1;0
156;27;0;2;364;0;0;-1;0
157;27;29;0;0;0;0;-1;0
157;27;0;2;364;0;0;-1;0
158;27;29;0;0;0;0;-1;0
158;27;0;2;367;0;0;-1;0
159;27;30;0;0;0;0;-1;0
159;27;0;2;381;0;0;-1;0
160;27;30;0;0;0;0;-1;0
160;27;0;2;364;0;0;-1;0
161;27;29;0;0;0;0;-1;0
161;27;0;2;364;0;0;-1;0
162;27;29;0;0;0;0;-1;0
162;27;0;2;365;0;0;-1;0
163;27;30;0;0;0;0;-1;0
163;27;0;2;370;0;0;-1;0
164;27;29;0;0;0;0;-1;0
164;27;0;1;364;0;0;-1;0
165;27;29;0;0;0;0;-1;0
165;27;0;2;362;0;0;-1;0
166;27;29;0;0;0;0;-1;0
166;27;0;0;362;0;0;-1;0
167;27;29;0;0;0;0;-1;0
167;27;0;0;367;0;0;-1;0
168;27;28;0;0;0;0;-1;0
168;27;0;1;362;0;0;-1;0
169;27;29;0;0;0;0;-1;0
169;27;0;1;362;0;0;-1;0
170;27;29;0;0;0;0;-1;0
170;27;0;1;362;0;0;-1;0
171;27;29;0;0;0;0;-1;0
171;27;0;1;387;0;0;-1;0
172;27;29;0;0;0;0;-1;0
172;27;0;1;362;0;0;-1;0
173;27;29;0;0;0;0;-1;0
173;27;0;1;370;0;0;-1;0
174;27;29;0;0;0;0;-1;0
174;27;0;1;363;0;0;-1;0
175;27;29;0;0;0;0;-1;0
175;27;0;1;364;0;0;-1;0
176;27;30;0;0;0;0;-1;0
176;27;0;1;361;0;0;-1;0
177;27;30;0;0;0;0;-1;0
177;27;0;3;363;0;0;-1;0
178;27;31;0;0;0;0;-1;0
178;27;0;2;364;0;0;-1;0
179;27;28;0;0;0;0;-1;0
179;27;0;3;365;0;0;-1;0
180;27;30;0;0;0;0;-1;0
180;27;0;1;368;0;0;-1;0
181;27;29;0;0;0;0;-1;0
181;27;0;2;363;0;0;-1;0
182;27;29;0;0;0;0;-1;0
182;27;0;1;363;0;0;-1;0
183;27;29;0;0;0;0;-1;0
183;27;0;1;386;0;0;-1;0
184;27;30;0;0;0;0;-1;0
184;27;0;1;365;0;0;-1;0
185;27;29;0;0;0;0;-1;0
185;27;0;1;366;0;0;-1;0
186;27;30;0;0;0;0;-1;0
186;27;0;1;364;0;0;-1;0
187;27;30;0;0;0;0;-1;0
187;27;0;0;363;0;0;-1;0
188;27;30;0;0;0;0;-1;0
188;27;0;1;363;0;0;-1;0
189;27;29;0;0;0;0;-1;0
189;27;0;1;364;0;0;-1;0
190;27;30;0;0;0;0;-1;0
190;27;0;7;365;0;0;-1;0
191;27;29;0;0;0;0;-1;0
191;27;0;7;365;0;0;-1;0
192;27;29;0;0;0;0;-1;0
192;27;0;8;364;0;0;-1;0
193;27;29;0;0;0;0;-1;0
193;27;0;8;363;0;0;-1;0
194;27;29;0;0;0;0;-1;0
194;27;0;2;362;0;0;-1;0
195;27;29;0;0;0;0;-1;0
195;27;0;2;383;0;0;-1;0
196;27;28;0;0;0;0;-1;0
196;27;0;2;364;0;0;-1;0
197;27;30;0;0;0;0;-1;0
197;27;0;2;364;0;0;-1;0
198;27;30;0;0;0;0;-1;0
198;27;0;2;366;0;0;-1;0
199;27;29;0;0;0;0;-1;0
199;27;0;2;362;0;0;-1;0
200;27;29;0;0;0;0;-1;0
200;27;0;1;362;0;0;-1;0
201;27;29;0;0;0;0;-1;0
201;27;0;1;361;0;0;-1;0
202;27;30;0;0;0;0;-1;0
202;27;0;0;362;0;0;-1;0
203;27;29;0;0;0;0;-1;0
203;27;0;1;363;0;0;-1;0
204;27;28;0;0;0;0;-1;0
204;27;0;1;363;0;0;-1;0
205;27;29;0;0;0;0;-1;0
205;27;0;1;363;0;0;-1;0
206;27;28;0;0;0;0;-1;0
206;27;0;9;364;0;0;-1;0
207;27;29;0;0;0;0;-1;0
207;27;0;8;383;0;0;-1;0
208;27;29;0;0;0;0;-1;0
208;27;0;9;367;0;0;-1;0
209;27;29;0;0;0;0;-1;0
209;27;0;8;366;0;0;-1;0
210;27;29;0;0;0;0;-1;0
210;27;0;8;363;0;0;-1;0
211;27;29;0;0;0;0;-1;0
211;27;0;8;363;0;0;-1;0
212;27;28;0;0;0;0;-1;0
212;27;0;8;362;0;0;-1;0
213;27;28;0;0;0;0;-1;0
213;27;0;8;364;0;0;-1;0
214;27;29;0;0;0;0;-1;0
214;27;0;8;364;0;0;-1;0
215;27;28;0;0;0;0;-1;0
215;27;0;8;363;0;0;-1;0
216;27;29;0;0;0;0;-1;0
216;27;0;2;361;0;0;-1;0
217;27;29;0;0;0;0;-1;0
217;27;0;2;362;0;0;-1;0
218;27;29;0;0;0;0;-1;0
218;27;0;0;366;0;0;-1;0
219;27;29;0;0;0;0;-1;0
219;27;0;1;382;0;0;-1;0
220;27;29;0;0;0;0;-1;0
220;27;0;1;365;0;0;-1;0
221;27;29;0;0;0;0;-1;0
221;27;0;1;367;0;0;-1;0
222;27;29;0;0;0;0;-1;0
222;27;0;1;369;0;0;-1;0
223;27;29;0;0;0;0;-1;0
223;27;0;2;369;0;0;-1;0
224;27;31;0;0;0;0;-1;0
224;27;0;2;372;0;0;-1;0
225;27;31;0;0;0;0;-1;0
225;27;0;0;373;0;0;-1;0
226;27;29;0;0;0;0;-1;0
226;27;0;1;363;0;0;-1;0
227;27;29;0;0;0;0;-1;0
227;27;0;1;364;0;0;-1;0
228;27;29;0;0;0;0;-1;0
228;27;0;1;365;0;0;-1;0
229;27;29;0;0;0;0;-1;0
229;27;0;1;363;0;0;-1;0
230;27;29;0;0;0;0;-1;0
230;27;0;0;362;0;0;-1;0
231;27;29;0;0;0;0;-1;0
231;27;0;1;389;0;0;-1;0
232;27;29;0;0;0;0;-1;0
232;27;0;0;363;0;0;-1;0
233;27;29;0;0;0;0;-1;0
233;27;0;1;363;0;0;-1;0
234;27;29;0;0;0;0;-1;0
234;27;0;0;363;0;0;-1;0
235;27;29;0;0;0;0;-1;0
235;27;0;0;363;0;0;-1;0
236;27;29;0;0;0;0;-1;0
236;27;0;1;362;0;0;-1;0
237;27;29;0;0;0;0;-1;0
237;27;0;1;362;0;0;-1;0
238;27;29;0;0;0;0;-1;0
238;27;0;3;368;0;0;-1;0
239;27;29;0;0;0;0;-1;0
239;27;0;4;363;0;0;-1;0
240;27;29;0;0;0;0;-1;0
240;27;0;4;363;0;0;-1;0
241;27;29;0;0;0;0;-1;0
241;27;0;4;365;0;0;-1;0
242;27;29;0;0;0;0;-1;0
242;27;0;1;366;0;0;-1;0
243;27;28;0;0;0;0;-1;0
243;27;0;2;385;0;0;-1;0
244;27;29;0;0;0;0;-1;0
244;27;0;2;364;0;0;-1;0
245;27;29;0;0;0;0;-1;0
245;27;0;1;364;0;0;-1;0
246;27;28;0;0;0;0;-1;0
246;27;0;2;361;0;0;-1;0
247;27;29;0;0;0;0;-1;0
247;27;0;1;363;0;0;-1;0
248;27;28;0;0;0;0;-1;0
248;27;0;1;363;0;0;-1;0
249;27;29;0;0;0;0;-1;0
249;27;0;1;364;0;0;-1;0
250;27;29;0;0;0;0;-1;0
250;27;0;1;364;0;0;-1;0
251;27;28;0;0;0;0;-1;0
251;27;0;1;363;0;0;-1;0
252;27;29;0;0;0;0;-1;0
252;27;0;1;364;0;0;-1;0
253;27;31;0;0;0;0;-1;0
253;27;0;3;365;0;0;-1;0
254;27;28;0;0;0;0;-1;0
254;27;0;3;363;0;0;-1;0
255;27;29;0;0;0;0;-1;0
255;27;0;4;386;0;0;-1;0
256;27;36;0;0;0;0;-1;0
256;27;0;3;364;0;0;-1;0
257;27;29;0;0;0;0;-1;0
257;27;0;3;365;0;0;-1;0
258;27;28;0;0;0;0;-1;0
258;27;0;4;365;0;0;-1;0
259;27;28;0;0;0;0;-1;0
259;27;0;4;363;0;0;-1;0
260;27;29;0;0;0;0;-1;0
260;27;0;4;366;0;0;-1;0
261;27;29;0;0;0;0;-1;0
261;27;0;3;368;0;0;-1;0
262;27;30;0;0;0;0;-1;0
262;27;0;4;366;0;0;-1;0
263;27;29;0;0;0;0;-1;0
263;27;0;4;363;0;0;-1;0
264;27;29;0;0;0;0;-1;0
264;27;0;4;364;0;0;-1;0
265;27;29;0;0;0;0;-1;0
265;27;0;3;365;0;0;-1;0
266;27;29;0;0;0;0;-1;0
266;27;0;3;384;0;0;-1;0
267;27;29;0;0;0;0;-1;0
267;27;0;3;363;0;0;-1;0
268;27;29;0;0;0;0;-1;0
268;27;0;3;364;0;0;-1;0
269;27;29;0;0;0;0;-1;0
269;27;0;4;363;0;0;-1;0
270;27;30;0;0;0;0;-1;0
270;27;0;3;363;0;0;-1;0
271;27;29;0;0;0;0;-1;0
271;27;0;4;363;0;0;-1;0
272;27;29;0;0;0;0;-1;0
272;27;0;1;363;0;0;-1;0
273;27;29;0;0;0;0;-1;0
273;27;0;1;362;0;0;-1;0
274;27;29;0;0;0;0;-1;0
274;27;0;1;362;0;0;-1;0
275;27;29;0;0;0;0;-1;0
275;27;0;0;362;0;0;-1;0
276;8;29;0;0;0;0;-1;0
276;8;0;2;363;0;0;-1;0
277;37;30;0;0;0;0;-1;0
277;37;0;1;363;0;0;-1;0
278;37;29;0;0;0;0;-1;0
278;37;0;9;384;0;0;-1;0
279;37;29;0;0;0;0;-1;0
279;37;0;9;363;0;0;-1;0
280;37;29;0;0;0;0;-1;0
280;37;0;9;363;0;0;-1;0
281;37;30;0;0;0;0;-1;0
281;37;0;9;367;0;0;-1;0
282;37;30;0;0;0;0;-1;0
282;37;0;9;362;0;0;-1;0
283;37;30;0;0;0;0;-1;0
283;37;0;8;363;0;0;-1;0
284;37;29;0;0;0;0;-1;0
284;37;0;9;367;0;0;-1;0
285;37;28;0;0;0;0;-1;0
285;37;0;9;363;0;0;-1;0
286;37;28;0;0;0;0;-1;0
286;37;0;9;362;0;0;-1;0
287;37;28;0;0;0;0;-1;0
287;37;0;9;362;0;0;-1;0
288;37;28;0;0;0;0;-1;0
288;37;0;9;363;0;0;-1;0
289;37;29;0;0;0;0;-1;0
289;37;0;6;383;0;0;-1;0
290;37;29;0;0;0;0;-1;0
290;37;0;23;363;0;0;-1;0
291;33;29;0;0;0;0;-1;0
291;33;0;8;365;0;0;-1;0
292;33;29;0;0;0;0;-1;0
292;33;0;8;367;0;0;-1;0
293;33;31;0;0;0;0;-1;0
293;33;0;8;363;0;0;-1;0
294;33;29;0;0;0;0;-1;0
294;33;0;8;364;0;0;-1;0
295;33;29;0;0;0;0;-1;0
295;33;0;9;366;0;0;-1;0
296;33;30;0;0;0;0;-1;0
296;33;0;9;363;0;0;-1;0
297;33;29;0;0;0;0;-1;0
297;33;0;9;364;0;0;-1;0
298;33;29;0;0;0;0;-1;0
298;33;0;8;364;0;0;-1;0
299;33;29;0;0;0;0;-1;0
299;33;0;8;364;0;0;-1;0
300;33;29;0;0;0;0;-1;0
300;33;0;9;389;0;0;-1;0
301;33;29;0;0;0;0;-1;0
301;33;0;8;364;0;0;-1;0
302;33;29;0;0;0;0;-1;0
302;33;0;23;364;0;0;-1;0
303;1;29;0;0;0;0;-1;0
303;1;0;1;362;0;0;-1;0
304;1;29;0;0;0;0;-1;0
304;1;0;1;363;0;0;-1;0
305;1;29;0;0;0;0;-1;0
305;1;0;0;372;0;0;-1;0
306;1;29;0;0;0;0;-1;0
306;1;0;0;362;0;0;-1;0
307;1;29;0;0;0;0;-1;0
307;1;0;0;364;0;0;-1;0
308;1;28;0;0;0;0;-1;0
308;1;0;1;362;0;0;-1;0
309;1;29;0;0;0;0;-1;0
309;1;0;0;362;0;0;-1;0
310;1;29;0;0;0;0;-1;0
310;1;0;0;363;0;0;-1;0
311;1;29;0;0;0;0;-1;0
311;1;0;1;364;0;0;-1;0
