mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;32;60;0;0;0;0;-1;0
1;32;0;19;400;0;0;-1;0
2;32;40;0;0;0;0;-1;0
2;32;0;2;367;0;0;-1;0
3;32;37;0;0;0;0;-1;0
3;32;0;28;388;0;0;-1;0
4;32;37;0;0;0;0;-1;0
4;32;0;5;372;0;0;-1;0
5;32;34;0;0;0;0;-1;0
5;32;0;28;367;0;0;-1;0
6;32;36;0;0;0;0;-1;0
6;32;0;7;374;0;0;-1;0
7;32;35;0;0;0;0;-1;0
7;32;0;11;387;0;0;-1;0
8;32;34;0;0;0;0;-1;0
8;32;0;1;409;0;0;-1;0
9;32;33;0;0;0;0;-1;0
9;32;0;1;368;0;0;-1;0
10;32;34;0;0;0;0;-1;0
10;32;0;12;371;0;0;-1;0
11;32;36;0;0;0;0;-1;0
11;32;0;1;369;0;0;-1;0
12;32;32;0;0;0;0;-1;0
12;32;0;8;368;0;0;-1;0
13;32;29;0;0;0;0;-1;0
13;32;0;10;521;0;0;-1;0
14;32;29;0;0;0;0;-1;0
14;32;0;1;366;0;0;-1;0
15;32;30;0;0;0;0;-1;0
15;32;0;1;368;0;0;-1;0
16;32;29;0;0;0;0;-1;0
16;32;0;2;366;0;0;-1;0
17;32;31;0;0;0;0;-1;0
17;32;0;24;366;0;0;-1;0
18;32;30;0;0;0;0;-1;0
18;32;0;10;374;0;0;-1;0
19;32;30;0;0;0;0;-1;0
19;32;0;7;387;0;0;-1;0
20;32;30;0;0;0;0;-1;0
20;32;0;3;390;0;0;-1;0
21;32;31;0;0;0;0;-1;0
21;32;0;2;390;0;0;-1;0
22;32;30;0;0;0;0;-1;0
22;32;0;6;366;0;0;-1;0
23;32;29;0;0;0;0;-1;0
23;32;0;7;368;0;0;-1;0
24;32;30;0;0;0;0;-1;0
24;32;0;6;366;0;0;-1;0
25;32;29;0;0;0;0;-1;0
25;32;0;25;367;0;0;-1;0
26;32;30;0;0;0;0;-1;0
26;32;0;1;367;0;0;-1;0
27;32;30;0;0;0;0;-1;0
27;32;0;8;366;0;0;-1;0
28;32;29;0;0;0;0;-1;0
28;32;0;24;378;0;0;-1;0
29;32;30;0;0;0;0;-1;0
29;32;0;0;366;0;0;-1;0
30;32;30;0;0;0;0;-1;0
30;32;0;6;366;0;0;-1;0
31;32;29;0;0;0;0;-1;0
31;32;0;6;367;0;0;-1;0
32;32;30;0;0;0;0;-1;0
32;32;0;4;366;0;0;-1;0
33;32;30;0;0;0;0;-1;0
33;32;0;6;367;0;0;-1;0
34;23;30;0;0;0;0;-1;0
34;23;0;9;369;0;0;-1;0
35;23;30;0;0;0;0;-1;0
35;23;0;25;368;0;0;-1;0
36;23;29;0;0;0;0;-1;0
36;23;0;25;374;0;0;-1;0
37;23;29;0;0;0;0;-1;0
37;23;0;25;386;0;0;-1;0
38;23;29;0;0;0;0;-1;0
38;23;0;9;386;0;0;-1;0
39;23;30;0;0;0;0;-1;0
39;23;0;26;401;0;0;-1;0
40;23;28;0;0;0;0;-1;0
40;23;0;25;364;0;0;-1;0
41;23;28;0;0;0;0;-1;0
41;23;0;4;365;0;0;-1;0
42;23;28;0;0;0;0;-1;0
42;23;0;1;366;0;0;-1;0
43;23;28;0;0;0;0;-1;0
43;23;0;3;367;0;0;-1;0
44;23;28;0;0;0;0;-1;0
44;23;0;8;365;0;0;-1;0
45;23;28;0;0;0;0;-1;0
45;23;0;4;367;0;0;-1;0
46;23;29;0;0;0;0;-1;0
46;23;0;2;366;0;0;-1;0
47;23;29;0;0;0;0;-1;0
47;23;0;24;368;0;0;-1;0
48;23;29;0;0;0;0;-1;0
48;23;0;8;366;0;0;-1;0
49;23;29;0;0;0;0;-1;0
49;23;0;9;365;0;0;-1;0
50;23;29;0;0;0;0;-1;0
50;23;0;24;368;0;0;-1;0
51;23;28;0;0;0;0;-1;0
51;23;0;26;368;0;0;-1;0
52;23;29;0;0;0;0;-1;0
52;23;0;24;366;0;0;-1;0
53;23;29;0;0;0;0;-1;0
53;23;0;24;366;0;0;-1;0
54;23;29;0;0;0;0;-1;0
54;23;0;1;368;0;0;-1;0
55;23;29;0;0;0;0;-1;0
55;23;0;1;368;0;0;-1;0
56;23;29;0;0;0;0;-1;0
56;23;0;23;367;0;0;-1;0
57;23;29;0;0;0;0;-1;0
57;23;0;24;366;0;0;-1;0
58;23;29;0;0;0;0;-1;0
58;23;0;2;367;0;0;-1;0
59;23;29;0;0;0;0;-1;0
59;23;0;23;368;0;0;-1;0
60;23;29;0;0;0;0;-1;0
60;23;0;24;366;0;0;-1;0
61;23;29;0;0;0;0;-1;0
61;23;0;8;367;0;0;-1;0
62;23;29;0;0;0;0;-1;0
62;23;0;8;402;0;0;-1;0
63;23;29;0;0;0;0;-1;0
63;23;0;23;368;0;0;-1;0
64;23;29;0;0;0;0;-1;0
64;23;0;8;368;0;0;-1;0
65;23;29;0;0;0;0;-1;0
65;23;0;24;369;0;0;-1;0
66;23;29;0;0;0;0;-1;0
66;23;0;23;369;0;0;-1;0
67;23;29;0;0;0;0;-1;0
67;23;0;7;367;0;0;-1;0
68;23;29;0;0;0;0;-1;0
68;23;0;24;367;0;0;-1;0
69;23;29;0;0;0;0;-1;0
69;23;0;4;368;0;0;-1;0
70;23;29;0;0;0;0;-1;0
70;23;0;7;368;0;0;-1;0
71;23;29;0;0;0;0;-1;0
71;23;0;23;366;0;0;-1;0
72;23;29;0;0;0;0;-1;0
72;23;0;1;366;0;0;-1;0
73;23;29;0;0;0;0;-1;0
73;23;0;3;365;0;0;-1;0
74;23;29;0;0;0;0;-1;0
74;23;0;24;395;0;0;-1;0
75;23;29;0;0;0;0;-1;0
75;23;0;1;366;0;0;-1;0
76;23;29;0;0;0;0;-1;0
76;23;0;2;366;0;0;-1;0
77;23;29;0;0;0;0;-1;0
77;23;0;24;366;0;0;-1;0
78;23;28;0;0;0;0;-1;0
78;23;0;24;365;0;0;-1;0
79;23;39;0;0;0;0;-1;0
79;23;0;23;365;0;0;-1;0
80;23;28;0;0;0;0;-1;0
80;23;0;24;363;0;0;-1;0
81;23;31;0;0;0;0;-1;0
81;23;0;23;366;0;0;-1;0
82;6;28;0;0;0;0;-1;0
82;6;0;8;366;0;0;-1;0
83;6;28;0;0;0;0;-1;0
83;6;0;2;365;0;0;-1;0
84;6;29;0;0;0;0;-1;0
84;6;0;0;365;0;0;-1;0
85;6;28;0;0;0;0;-1;0
85;6;0;2;364;0;0;-1;0
86;6;28;0;0;0;0;-1;0
86;6;0;8;383;0;0;-1;0
87;6;29;0;0;0;0;-1;0
87;6;0;8;365;0;0;-1;0
88;6;28;0;0;0;0;-1;0
88;6;0;1;364;0;0;-1;0
89;6;29;0;0;0;0;-1;0
89;6;0;0;365;0;0;-1;0
90;6;28;0;0;0;0;-1;0
90;6;0;7;365;0;0;-1;0
91;6;28;0;0;0;0;-1;0
91;6;0;1;365;0;0;-1;0
92;6;28;0;0;0;0;-1;0
92;6;0;1;365;0;0;-1;0
93;6;28;0;0;0;0;-1;0
93;6;0;1;366;0;0;-1;0
94;6;29;0;0;0;0;-1;0
94;6;0;3;365;0;0;-1;0
95;6;28;0;0;0;0;-1;0
95;6;0;1;368;0;0;-1;0
96;6;29;0;0;0;0;-1;0
96;6;0;1;366;0;0;-1;0
97;6;28;0;0;0;0;-1;0
97;6;0;1;366;0;0;-1;0
98;6;28;0;0;0;0;-1;0
98;6;0;1;396;0;0;-1;0
99;6;29;0;0;0;0;-1;0
99;6;0;7;365;0;0;-1;0
