mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;32;70;0;0;0;0;-1;0
1;32;0;26;411;0;0;-1;0
2;32;52;0;0;0;0;-1;0
2;32;0;33;366;0;0;-1;0
3;23;37;0;0;0;0;-1;0
3;23;0;9;390;0;0;-1;0
4;23;38;0;0;0;0;-1;0
4;23;0;1;389;0;0;-1;0
5;23;36;0;0;0;0;-1;0
5;23;0;1;370;0;0;-1;0
6;6;38;0;0;0;0;-1;0
6;6;0;1;369;0;0;-1;0
7;6;35;0;0;0;0;-1;0
7;6;0;0;389;0;0;-1;0
8;2;36;0;0;0;0;-1;0
8;2;0;1;-1;1;0;0;0
9;2;34;0;0;0;0;-1;0
9;2;0;1;-1;1;0;0;0
10;27;35;0;0;0;0;-1;0
10;27;0;2;364;0;0;-1;0
11;27;36;0;0;0;0;-1;0
11;27;0;3;370;0;0;-1;0
12;27;36;0;0;0;0;-1;0
12;27;0;1;366;0;0;-1;0
13;27;31;0;0;0;0;-1;0
13;27;0;1;373;0;0;-1;0
14;27;32;0;0;0;0;-1;0
14;27;0;2;367;0;0;-1;0
15;27;31;0;0;0;0;-1;0
15;27;0;1;367;0;0;-1;0
16;27;30;0;0;0;0;-1;0
16;27;0;1;363;0;0;-1;0
17;8;31;0;0;0;0;-1;0
17;8;0;1;366;0;0;-1;0
18;37;30;0;0;0;0;-1;0
18;37;0;2;372;0;0;-1;0
19;33;31;0;0;0;0;-1;0
19;33;0;10;382;0;0;-1;0
20;1;31;0;0;0;0;-1;0
20;1;0;1;398;0;0;-1;0
21;1;30;0;0;0;0;-1;0
21;1;0;1;369;0;0;-1;0
22;24;30;0;0;0;0;-1;0
22;24;0;12;367;0;0;-1;0
23;24;30;0;0;0;0;-1;0
23;24;0;28;366;0;0;-1;0
24;24;30;0;0;0;0;-1;0
24;24;0;2;364;0;0;-1;0
25;22;30;0;0;0;0;-1;0
25;22;0;3;367;0;0;-1;0
26;22;30;0;0;0;0;-1;0
26;22;0;2;365;0;0;-1;0
27;22;30;0;0;0;0;-1;0
27;22;0;4;365;0;0;-1;0
28;22;30;0;0;0;0;-1;0
28;22;0;0;383;0;0;-1;0
29;22;30;0;0;0;0;-1;0
29;22;0;1;364;0;0;-1;0
30;22;30;0;0;0;0;-1;0
30;22;0;2;364;0;0;-1;0
31;22;31;0;0;0;0;-1;0
31;22;0;3;364;0;0;-1;0
32;22;31;0;0;0;0;-1;0
32;22;0;0;366;0;0;-1;0
33;22;30;0;0;0;0;-1;0
33;22;0;1;367;0;0;-1;0
34;22;31;0;0;0;0;-1;0
34;22;0;1;364;0;0;-1;0
35;22;30;0;0;0;0;-1;0
35;22;0;3;366;0;0;-1;0
36;22;31;0;0;0;0;-1;0
36;22;0;1;387;0;0;-1;0
37;22;33;0;0;0;0;-1;0
37;22;0;2;385;0;0;-1;0
38;22;32;0;0;0;0;-1;0
38;22;0;1;385;0;0;-1;0
39;22;32;0;0;0;0;-1;0
39;22;0;3;388;0;0;-1;0
40;22;32;0;0;0;0;-1;0
40;22;0;1;366;0;0;-1;0
41;22;29;0;0;0;0;-1;0
41;22;0;1;363;0;0;-1;0
42;22;30;0;0;0;0;-1;0
42;22;0;2;365;0;0;-1;0
43;22;30;0;0;0;0;-1;0
43;22;0;3;366;0;0;-1;0
44;22;30;0;0;0;0;-1;0
44;22;0;3;366;0;0;-1;0
45;22;30;0;0;0;0;-1;0
45;22;0;4;363;0;0;-1;0
46;22;30;0;0;0;0;-1;0
46;22;0;2;364;0;0;-1;0
47;22;30;0;0;0;0;-1;0
47;22;0;3;362;0;0;-1;0
48;22;30;0;0;0;0;-1;0
48;22;0;3;362;0;0;-1;0
49;22;31;0;0;0;0;-1;0
49;22;0;0;383;0;0;-1;0
50;22;31;0;0;0;0;-1;0
50;22;0;2;364;0;0;-1;0
51;22;30;0;0;0;0;-1;0
51;22;0;1;364;0;0;-1;0
52;22;30;0;0;0;0;-1;0
52;22;0;3;364;0;0;-1;0
53;22;30;0;0;0;0;-1;0
53;22;0;3;381;0;0;-1;0
54;22;31;0;0;0;0;-1;0
54;22;0;1;363;0;0;-1;0
55;22;30;0;0;0;0;-1;0
55;22;0;1;368;0;0;-1;0
56;22;30;0;0;0;0;-1;0
56;22;0;3;362;0;0;-1;0
57;22;30;0;0;0;0;-1;0
57;22;0;4;363;0;0;-1;0
58;22;30;0;0;0;0;-1;0
58;22;0;4;364;0;0;-1;0
59;22;30;0;0;0;0;-1;0
59;22;0;3;363;0;0;-1;0
60;22;31;0;0;0;0;-1;0
60;22;0;2;364;0;0;-1;0
61;22;32;0;0;0;0;-1;0
61;22;0;2;406;0;0;-1;0
62;22;30;0;0;0;0;-1;0
62;22;0;1;364;0;0;-1;0
63;22;30;0;0;0;0;-1;0
63;22;0;3;363;0;0;-1;0
64;22;30;0;0;0;0;-1;0
64;22;0;1;364;0;0;-1;0
65;22;31;0;0;0;0;-1;0
65;22;0;2;363;0;0;-1;0
66;22;30;0;0;0;0;-1;0
66;22;0;0;364;0;0;-1;0
67;22;30;0;0;0;0;-1;0
67;22;0;3;363;0;0;-1;0
68;22;30;0;0;0;0;-1;0
68;22;0;1;363;0;0;-1;0
69;22;30;0;0;0;0;-1;0
69;22;0;2;364;0;0;-1;0
70;22;30;0;0;0;0;-1;0
70;22;0;2;366;0;0;-1;0
71;22;30;0;0;0;0;-1;0
71;22;0;1;366;0;0;-1;0
72;22;30;0;0;0;0;-1;0
72;22;0;2;366;0;0;-1;0
73;22;29;0;0;0;0;-1;0
73;22;0;3;382;0;0;-1;0
74;22;30;0;0;0;0;-1;0
74;22;0;2;363;0;0;-1;0
75;22;30;0;0;0;0;-1;0
75;22;0;2;365;0;0;-1;0
76;22;30;0;0;0;0;-1;0
76;22;0;1;364;0;0;-1;0
77;22;30;0;0;0;0;-1;0
77;22;0;0;364;0;0;-1;0
78;22;30;0;0;0;0;-1;0
78;22;0;1;362;0;0;-1;0
79;22;31;0;0;0;0;-1;0
79;22;0;1;362;0;0;-1;0
80;22;30;0;0;0;0;-1;0
80;22;0;3;363;0;0;-1;0
81;22;30;0;0;0;0;-1;0
81;22;0;1;364;0;0;-1;0
82;22;30;0;0;0;0;-1;0
82;22;0;1;367;0;0;-1;0
83;22;30;0;0;0;0;-1;0
83;22;0;1;362;0;0;-1;0
84;22;31;0;0;0;0;-1;0
84;22;0;1;362;0;0;-1;0
85;22;30;0;0;0;0;-1;0
85;22;0;3;392;0;0;-1;0
86;22;31;0;0;0;0;-1;0
86;22;0;1;367;0;0;-1;0
87;22;31;0;0;0;0;-1;0
87;22;0;3;366;0;0;-1;0
88;22;31;0;0;0;0;-1;0
88;22;0;1;369;0;0;-1;0
89;22;30;0;0;0;0;-1;0
89;22;0;1;365;0;0;-1;0
90;22;30;0;0;0;0;-1;0
90;22;0;2;364;0;0;-1;0
91;22;30;0;0;0;0;-1;0
91;22;0;2;362;0;0;-1;0
92;22;31;0;0;0;0;-1;0
92;22;0;1;362;0;0;-1;0
93;22;31;0;0;0;0;-1;0
93;22;0;2;363;0;0;-1;0
94;22;30;0;0;0;0;-1;0
94;22;0;0;363;0;0;-1;0
95;22;30;0;0;0;0;-1;0
95;22;0;3;363;0;0;-1;0
96;22;30;0;0;0;0;-1;0
96;22;0;2;363;0;0;-1;0
97;22;30;0;0;0;0;-1;0
97;22;0;3;382;0;0;-1;0
98;22;31;0;0;0;0;-1;0
98;22;0;3;364;0;0;-1;0
99;22;31;0;0;0;0;-1;0
99;22;0;1;363;0;0;-1;0
100;22;30;0;0;0;0;-1;0
100;22;0;2;364;0;0;-1;0
101;22;31;0;0;0;0;-1;0
101;22;0;1;364;0;0;-1;0
102;22;30;0;0;0;0;-1;0
102;22;0;3;363;0;0;-1;0
103;22;30;0;0;0;0;-1;0
103;22;0;3;362;0;0;-1;0
104;22;30;0;0;0;0;-1;0
104;22;0;2;363;0;0;-1;0
105;22;30;0;0;0;0;-1;0
105;22;0;1;364;0;0;-1;0
106;22;30;0;0;0;0;-1;0
106;22;0;0;363;0;0;-1;0
107;22;30;0;0;0;0;-1;0
107;22;0;2;363;0;0;-1;0
108;22;30;0;0;0;0;-1;0
108;22;0;3;362;0;0;-1;0
109;22;30;0;0;0;0;-1;0
109;22;0;3;383;0;0;-1;0
110;22;30;0;0;0;0;-1;0
110;22;0;1;364;0;0;-1;0
111;22;30;0;0;0;0;-1;0
111;22;0;1;366;0;0;-1;0
112;22;30;0;0;0;0;-1;0
112;22;0;1;364;0;0;-1;0
113;22;30;0;0;0;0;-1;0
113;22;0;2;362;0;0;-1;0
114;22;30;0;0;0;0;-1;0
114;22;0;0;364;0;0;-1;0
115;22;30;0;0;0;0;-1;0
115;22;0;0;364;0;0;-1;0
116;22;30;0;0;0;0;-1;0
116;22;0;2;363;0;0;-1;0
117;22;30;0;0;0;0;-1;0
117;22;0;3;363;0;0;-1;0
118;22;30;0;0;0;0;-1;0
118;22;0;1;361;0;0;-1;0
119;22;31;0;0;0;0;-1;0
119;22;0;2;363;0;0;-1;0
120;22;30;0;0;0;0;-1;0
120;22;0;2;364;0;0;-1;0
121;22;30;0;0;0;0;-1;0
121;22;0;1;363;0;0;-1;0
122;22;30;0;0;0;0;-1;0
122;22;0;1;400;0;0;-1;0
123;22;30;0;0;0;0;-1;0
123;22;0;3;364;0;0;-1;0
124;22;31;0;0;0;0;-1;0
124;22;0;2;367;0;0;-1;0
125;22;31;0;0;0;0;-1;0
125;22;0;0;364;0;0;-1;0
126;22;31;0;0;0;0;-1;0
126;22;0;2;364;0;0;-1;0
127;22;31;0;0;0;0;-1;0
127;22;0;1;364;0;0;-1;0
128;22;30;0;0;0;0;-1;0
128;22;0;1;365;0;0;-1;0
129;22;31;0;0;0;0;-1;0
129;22;0;1;366;0;0;-1;0
130;22;31;0;0;0;0;-1;0
130;22;0;3;-1;0;1;44;0
131;22;31;0;0;0;0;-1;0
131;22;0;2;364;0;0;-1;0
132;22;30;0;0;0;0;-1;0
132;22;0;1;369;0;0;-1;0
133;22;30;0;0;0;0;-1;0
133;22;0;2;-1;0;1;36;0
134;22;29;0;0;0;0;-1;0
134;22;0;3;386;0;0;-1;0
135;22;29;0;0;0;0;-1;0
135;22;0;1;362;0;0;-1;0
136;22;31;0;0;0;0;-1;0
136;22;0;2;368;0;0;-1;0
137;22;30;0;0;0;0;-1;0
137;22;0;3;366;0;0;-1;0
138;22;31;0;0;0;0;-1;0
138;22;0;1;363;0;0;-1;0
139;22;31;0;0;0;0;-1;0
139;22;0;0;366;0;0;-1;0
140;22;31;0;0;0;0;-1;0
140;22;0;2;367;0;0;-1;0
141;22;31;0;0;0;0;-1;0
141;22;0;2;364;0;0;-1;0
142;22;32;0;0;0;0;-1;0
142;22;0;2;365;0;0;-1;0
143;22;32;0;0;0;0;-1;0
143;22;0;0;365;0;0;-1;0
144;22;31;0;0;0;0;-1;0
144;22;0;3;365;0;0;-1;0
145;22;31;0;0;0;0;-1;0
145;22;0;2;369;0;0;-1;0
146;22;30;0;0;0;0;-1;0
146;22;0;2;387;0;0;-1;0
147;22;31;0;0;0;0;-1;0
147;22;0;1;363;0;0;-1;0
148;22;31;0;0;0;0;-1;0
148;22;0;0;364;0;0;-1;0
149;22;30;0;0;0;0;-1;0
149;22;0;2;365;0;0;-1;0
150;22;30;0;0;0;0;-1;0
150;22;0;2;364;0;0;-1;0
151;22;31;0;0;0;0;-1;0
151;22;0;0;364;0;0;-1;0
152;22;31;0;0;0;0;-1;0
152;22;0;3;362;0;0;-1;0
153;22;30;0;0;0;0;-1;0
153;22;0;3;363;0;0;-1;0
154;22;31;0;0;0;0;-1;0
154;22;0;1;363;0;0;-1;0
155;22;30;0;0;0;0;-1;0
155;22;0;2;364;0;0;-1;0
156;22;30;0;0;0;0;-1;0
156;22;0;3;367;0;0;-1;0
157;22;31;0;0;0;0;-1;0
157;22;0;2;364;0;0;-1;0
158;22;30;0;0;0;0;-1;0
158;22;0;2;385;0;0;-1;0
159;22;30;0;0;0;0;-1;0
159;22;0;2;363;0;0;-1;0
160;22;31;0;0;0;0;-1;0
160;22;0;0;362;0;0;-1;0
161;22;30;0;0;0;0;-1;0
161;22;0;2;362;0;0;-1;0
162;22;29;0;0;0;0;-1;0
162;22;0;1;363;0;0;-1;0
163;22;29;0;0;0;0;-1;0
163;22;0;2;362;0;0;-1;0
164;22;29;0;0;0;0;-1;0
164;22;0;3;362;0;0;-1;0
165;22;29;0;0;0;0;-1;0
165;22;0;3;362;0;0;-1;0
166;22;29;0;0;0;0;-1;0
166;22;0;1;363;0;0;-1;0
167;22;29;0;0;0;0;-1;0
167;22;0;2;363;0;0;-1;0
168;22;29;0;0;0;0;-1;0
168;22;0;2;362;0;0;-1;0
169;22;30;0;0;0;0;-1;0
169;22;0;1;361;0;0;-1;0
170;22;29;0;0;0;0;-1;0
170;22;0;3;390;0;0;-1;0
171;22;29;0;0;0;0;-1;0
171;22;0;1;364;0;0;-1;0
172;22;29;0;0;0;0;-1;0
172;22;0;2;362;0;0;-1;0
173;22;29;0;0;0;0;-1;0
173;22;0;1;364;0;0;-1;0
174;22;30;0;0;0;0;-1;0
174;22;0;2;365;0;0;-1;0
175;22;29;0;0;0;0;-1;0
175;22;0;2;366;0;0;-1;0
176;22;29;0;0;0;0;-1;0
176;22;0;0;362;0;0;-1;0
177;22;31;0;0;0;0;-1;0
177;22;0;1;364;0;0;-1;0
178;22;29;0;0;0;0;-1;0
178;22;0;1;363;0;0;-1;0
179;22;29;0;0;0;0;-1;0
179;22;0;1;364;0;0;-1;0
180;22;29;0;0;0;0;-1;0
180;22;0;2;363;0;0;-1;0
181;22;29;0;0;0;0;-1;0
181;22;0;3;363;0;0;-1;0
182;22;29;0;0;0;0;-1;0
182;22;0;2;382;0;0;-1;0
183;22;35;0;0;0;0;-1;0
183;22;0;2;364;0;0;-1;0
184;22;29;0;0;0;0;-1;0
184;22;0;1;367;0;0;-1;0
