mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;2;65;0;0;0;0;-1;0
1;2;0;2;-1;1;0;0;0
2;2;44;0;0;0;0;-1;0
2;2;0;2;375;0;0;-1;0
3;2;42;0;0;0;0;-1;0
3;2;0;1;404;0;0;-1;0
4;2;50;0;0;0;0;-1;0
4;2;0;1;362;0;0;-1;0
5;2;39;0;0;0;0;-1;0
5;2;0;1;361;0;0;-1;0
6;2;65;0;0;0;0;-1;0
6;2;0;1;359;0;0;-1;0
7;2;37;0;0;0;0;-1;0
7;2;0;0;-1;1;0;0;0
8;2;38;0;0;0;0;-1;0
8;2;0;2;372;0;0;-1;0
9;2;39;0;0;0;0;-1;0
9;2;0;1;383;0;0;-1;0
10;2;38;0;0;0;0;-1;0
10;2;0;1;-1;1;0;0;0
11;2;37;0;0;0;0;-1;0
11;2;0;1;360;0;0;-1;0
12;2;37;0;0;0;0;-1;0
12;2;0;5;356;0;0;-1;0
13;2;36;0;0;0;0;-1;0
13;2;0;2;356;0;0;-1;0
14;2;37;0;0;0;0;-1;0
14;2;0;3;356;0;0;-1;0
15;2;36;0;0;0;0;-1;0
15;2;0;1;375;0;0;-1;0
16;2;34;0;0;0;0;-1;0
16;2;0;1;356;0;0;-1;0
17;2;35;0;0;0;0;-1;0
17;2;0;1;355;0;0;-1;0
18;2;33;0;0;0;0;-1;0
18;2;0;1;357;0;0;-1;0
19;2;33;0;0;0;0;-1;0
19;2;0;0;-1;1;0;0;0
20;2;34;0;0;0;0;-1;0
20;2;0;1;379;0;0;-1;0
21;2;34;0;0;0;0;-1;0
21;2;0;2;379;0;0;-1;0
22;2;35;0;0;0;0;-1;0
22;2;0;1;386;0;0;-1;0
23;2;34;0;0;0;0;-1;0
23;2;0;1;362;0;0;-1;0
24;2;33;0;0;0;0;-1;0
24;2;0;1;-1;1;0;0;0
25;2;34;0;0;0;0;-1;0
25;2;0;1;358;0;0;-1;0
26;2;34;0;0;0;0;-1;0
26;2;0;2;361;0;0;-1;0
27;2;33;0;0;0;0;-1;0
27;2;0;2;356;0;0;-1;0
28;9;32;0;0;0;0;-1;0
28;9;0;2;355;0;0;-1;0
29;9;33;0;0;0;0;-1;0
29;9;0;0;375;0;0;-1;0
30;9;33;0;0;0;0;-1;0
30;9;0;0;355;0;0;-1;0
31;9;34;0;0;0;0;-1;0
31;9;0;1;355;0;0;-1;0
32;19;32;0;0;0;0;-1;0
32;19;0;3;357;0;0;-1;0
33;19;32;0;0;0;0;-1;0
33;19;0;4;357;0;0;-1;0
34;19;34;0;0;0;0;-1;0
34;19;0;3;357;0;0;-1;0
35;19;33;0;0;0;0;-1;0
35;19;0;3;358;0;0;-1;0
36;19;32;0;0;0;0;-1;0
36;19;0;4;357;0;0;-1;0
37;19;32;0;0;0;0;-1;0
37;19;0;2;374;0;0;-1;0
38;19;35;0;0;0;0;-1;0
38;19;0;4;379;0;0;-1;0
39;5;34;0;0;0;0;-1;0
39;5;0;13;382;0;0;-1;0
40;5;35;0;0;0;0;-1;0
40;5;0;1;380;0;0;-1;0
41;5;34;0;0;0;0;-1;0
41;5;0;1;384;0;0;-1;0
42;5;33;0;0;0;0;-1;0
42;5;0;0;358;0;0;-1;0
43;5;35;0;0;0;0;-1;0
43;5;0;0;357;0;0;-1;0
44;5;33;0;0;0;0;-1;0
44;5;0;1;356;0;0;-1;0
45;5;33;0;0;0;0;-1;0
45;5;0;1;354;0;0;-1;0
46;5;32;0;0;0;0;-1;0
46;5;0;1;355;0;0;-1;0
47;5;32;0;0;0;0;-1;0
47;5;0;1;354;0;0;-1;0
48;5;32;0;0;0;0;-1;0
48;5;0;1;356;0;0;-1;0
49;5;32;0;0;0;0;-1;0
49;5;0;1;354;0;0;-1;0
50;5;32;0;0;0;0;-1;0
50;5;0;1;354;0;0;-1;0
51;5;32;0;0;0;0;-1;0
51;5;0;1;355;0;0;-1;0
52;5;32;0;0;0;0;-1;0
52;5;0;1;375;0;0;-1;0
53;5;32;0;0;0;0;-1;0
53;5;0;1;355;0;0;-1;0
54;5;32;0;0;0;0;-1;0
54;5;0;1;355;0;0;-1;0
55;5;32;0;0;0;0;-1;0
55;5;0;0;356;0;0;-1;0
56;5;32;0;0;0;0;-1;0
56;5;0;1;354;0;0;-1;0
57;5;32;0;0;0;0;-1;0
57;5;0;1;355;0;0;-1;0
58;5;32;0;0;0;0;-1;0
58;5;0;1;354;0;0;-1;0
59;5;32;0;0;0;0;-1;0
59;5;0;1;357;0;0;-1;0
60;5;32;0;0;0;0;-1;0
60;5;0;1;355;0;0;-1;0
61;5;32;0;0;0;0;-1;0
61;5;0;1;356;0;0;-1;0
62;5;32;0;0;0;0;-1;0
62;5;0;1;356;0;0;-1;0
63;5;32;0;0;0;0;-1;0
63;5;0;1;355;0;0;-1;0
64;5;51;0;0;0;0;-1;0
64;5;0;1;356;0;0;-1;0
65;5;34;0;0;0;0;-1;0
65;5;0;1;360;0;0;-1;0
66;5;32;0;0;0;0;-1;0
66;5;0;1;359;0;0;-1;0
67;5;33;0;0;0;0;-1;0
67;5;0;1;357;0;0;-1;0
68;5;32;0;0;0;0;-1;0
68;5;0;1;355;0;0;-1;0
69;5;32;0;0;0;0;-1;0
69;5;0;1;355;0;0;-1;0
70;5;32;0;0;0;0;-1;0
70;5;0;1;355;0;0;-1;0
71;5;32;0;0;0;0;-1;0
71;5;0;1;356;0;0;-1;0
72;5;32;0;0;0;0;-1;0
72;5;0;1;355;0;0;-1;0
73;5;32;0;0;0;0;-1;0
73;5;0;1;355;0;0;-1;0
74;5;32;0;0;0;0;-1;0
74;5;0;1;356;0;0;-1;0
75;5;33;0;0;0;0;-1;0
75;5;0;0;374;0;0;-1;0
76;5;35;0;0;0;0;-1;0
76;5;0;0;355;0;0;-1;0
77;5;32;0;0;0;0;-1;0
77;5;0;1;354;0;0;-1;0
78;5;33;0;0;0;0;-1;0
78;5;0;0;354;0;0;-1;0
79;5;32;0;0;0;0;-1;0
79;5;0;1;354;0;0;-1;0
80;5;32;0;0;0;0;-1;0
80;5;0;1;364;0;0;-1;0
81;5;33;0;0;0;0;-1;0
81;5;0;0;355;0;0;-1;0
82;5;32;0;0;0;0;-1;0
82;5;0;1;355;0;0;-1;0
83;5;32;0;0;0;0;-1;0
83;5;0;1;356;0;0;-1;0
84;23;32;0;0;0;0;-1;0
84;23;0;2;356;0;0;-1;0
85;23;33;0;0;0;0;-1;0
85;23;0;2;357;0;0;-1;0
86;23;32;0;0;0;0;-1;0
86;23;0;1;376;0;0;-1;0
87;23;33;0;0;0;0;-1;0
87;23;0;2;358;0;0;-1;0
88;23;32;0;0;0;0;-1;0
88;23;0;1;357;0;0;-1;0
89;23;32;0;0;0;0;-1;0
89;23;0;1;356;0;0;-1;0
90;23;32;0;0;0;0;-1;0
90;23;0;2;355;0;0;-1;0
91;23;32;0;0;0;0;-1;0
91;23;0;2;356;0;0;-1;0
92;23;32;0;0;0;0;-1;0
92;23;0;2;356;0;0;-1;0
93;23;33;0;0;0;0;-1;0
93;23;0;1;355;0;0;-1;0
94;23;32;0;0;0;0;-1;0
94;23;0;3;356;0;0;-1;0
95;23;32;0;0;0;0;-1;0
95;23;0;2;355;0;0;-1;0
96;23;33;0;0;0;0;-1;0
96;23;0;2;355;0;0;-1;0
97;27;32;0;0;0;0;-1;0
97;27;0;2;375;0;0;-1;0
98;27;33;0;0;0;0;-1;0
98;27;0;1;356;0;0;-1;0
99;27;34;0;0;0;0;-1;0
99;27;0;1;374;0;0;-1;0
100;27;33;0;0;0;0;-1;0
100;27;0;1;357;0;0;-1;0
101;27;33;0;0;0;0;-1;0
101;27;0;1;358;0;0;-1;0
102;27;32;0;0;0;0;-1;0
102;27;0;3;354;0;0;-1;0
103;27;33;0;0;0;0;-1;0
103;27;0;1;356;0;0;-1;0
104;27;32;0;0;0;0;-1;0
104;27;0;1;354;0;0;-1;0
105;27;33;0;0;0;0;-1;0
105;27;0;1;359;0;0;-1;0
106;27;32;0;0;0;0;-1;0
106;27;0;2;356;0;0;-1;0
107;27;32;0;0;0;0;-1;0
107;27;0;1;374;0;0;-1;0
108;27;32;0;0;0;0;-1;0
108;27;0;2;358;0;0;-1;0
109;27;33;0;0;0;0;-1;0
109;27;0;2;355;0;0;-1;0
110;27;33;0;0;0;0;-1;0
110;27;0;1;358;0;0;-1;0
111;27;33;0;0;0;0;-1;0
111;27;0;1;357;0;0;-1;0
112;27;33;0;0;0;0;-1;0
112;27;0;1;360;0;0;-1;0
113;27;32;0;0;0;0;-1;0
113;27;0;2;355;0;0;-1;0
114;27;32;0;0;0;0;-1;0
114;27;0;1;355;0;0;-1;0
115;27;33;0;0;0;0;-1;0
115;27;0;1;355;0;0;-1;0
116;27;32;0;0;0;0;-1;0
116;27;0;1;355;0;0;-1;0
117;27;32;0;0;0;0;-1;0
117;27;0;2;372;0;0;-1;0
118;27;32;0;0;0;0;-1;0
118;27;0;1;355;0;0;-1;0
119;27;32;0;0;0;0;-1;0
119;27;0;3;354;0;0;-1;0
120;27;32;0;0;0;0;-1;0
120;27;0;3;354;0;0;-1;0
121;27;32;0;0;0;0;-1;0
121;27;0;1;355;0;0;-1;0
122;27;32;0;0;0;0;-1;0
122;27;0;4;354;0;0;-1;0
123;27;32;0;0;0;0;-1;0
123;27;0;1;355;0;0;-1;0
124;27;31;0;0;0;0;-1;0
124;27;0;1;355;0;0;-1;0
125;27;31;0;0;0;0;-1;0
125;27;0;1;362;0;0;-1;0
126;27;32;0;0;0;0;-1;0
126;27;0;1;356;0;0;-1;0
127;27;32;0;0;0;0;-1;0
127;27;0;2;371;0;0;-1;0
128;27;31;0;0;0;0;-1;0
128;27;0;1;356;0;0;-1;0
129;27;32;0;0;0;0;-1;0
129;27;0;2;355;0;0;-1;0
130;27;31;0;0;0;0;-1;0
130;27;0;1;356;0;0;-1;0
131;27;32;0;0;0;0;-1;0
131;27;0;1;357;0;0;-1;0
132;27;32;0;0;0;0;-1;0
132;27;0;1;354;0;0;-1;0
133;27;32;0;0;0;0;-1;0
133;27;0;1;354;0;0;-1;0
134;27;32;0;0;0;0;-1;0
134;27;0;2;355;0;0;-1;0
135;27;32;0;0;0;0;-1;0
135;27;0;1;354;0;0;-1;0
136;27;32;0;0;0;0;-1;0
136;27;0;2;370;0;0;-1;0
137;27;32;0;0;0;0;-1;0
137;27;0;1;360;0;0;-1;0
138;27;32;0;0;0;0;-1;0
138;27;0;1;355;0;0;-1;0
139;27;33;0;0;0;0;-1;0
139;27;0;1;356;0;0;-1;0
140;27;32;0;0;0;0;-1;0
140;27;0;1;354;0;0;-1;0
141;27;33;0;0;0;0;-1;0
141;27;0;0;355;0;0;-1;0
142;27;32;0;0;0;0;-1;0
142;27;0;1;355;0;0;-1;0
143;27;33;0;0;0;0;-1;0
143;27;0;1;354;0;0;-1;0
144;27;32;0;0;0;0;-1;0
144;27;0;1;370;0;0;-1;0
145;27;32;0;0;0;0;-1;0
145;27;0;1;357;0;0;-1;0
146;27;32;0;0;0;0;-1;0
146;27;0;2;355;0;0;-1;0
147;27;33;0;0;0;0;-1;0
147;27;0;1;355;0;0;-1;0
148;27;32;0;0;0;0;-1;0
148;27;0;1;355;0;0;-1;0
149;27;32;0;0;0;0;-1;0
149;27;0;1;354;0;0;-1;0
150;27;32;0;0;0;0;-1;0
150;27;0;1;357;0;0;-1;0
151;27;32;0;0;0;0;-1;0
151;27;0;1;354;0;0;-1;0
152;8;32;0;0;0;0;-1;0
152;8;0;2;369;0;0;-1;0
153;22;33;0;0;0;0;-1;0
