mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;2;62;0;0;0;0;-1;0
1;2;0;8;378;0;0;-1;0
2;2;40;0;0;0;0;-1;0
2;2;0;1;360;0;0;-1;0
3;2;38;0;0;0;0;-1;0
3;2;0;4;396;0;0;-1;0
4;9;39;0;0;0;0;-1;0
4;9;0;1;357;0;0;-1;0
5;19;39;0;0;0;0;-1;0
5;19;0;3;357;0;0;-1;0
6;5;36;0;0;0;0;-1;0
6;5;0;12;368;0;0;-1;0
7;5;38;0;0;0;0;-1;0
7;5;0;1;355;0;0;-1;0
8;5;36;0;0;0;0;-1;0
8;5;0;0;362;0;0;-1;0
9;5;37;0;0;0;0;-1;0
9;5;0;0;378;0;0;-1;0
10;5;38;0;0;0;0;-1;0
10;5;0;1;387;0;0;-1;0
11;23;37;0;0;0;0;-1;0
11;23;0;2;356;0;0;-1;0
12;23;37;0;0;0;0;-1;0
12;23;0;0;358;0;0;-1;0
13;27;36;0;0;0;0;-1;0
13;27;0;2;359;0;0;-1;0
14;27;36;0;0;0;0;-1;0
14;27;0;5;355;0;0;-1;0
15;27;35;0;0;0;0;-1;0
15;27;0;1;366;0;0;-1;0
16;27;33;0;0;0;0;-1;0
16;27;0;1;355;0;0;-1;0
17;27;34;0;0;0;0;-1;0
17;27;0;1;355;0;0;-1;0
18;27;33;0;0;0;0;-1;0
18;27;0;1;355;0;0;-1;0
19;8;33;0;0;0;0;-1;0
19;8;0;2;355;0;0;-1;0
20;22;33;0;0;0;0;-1;0
20;22;0;5;374;0;0;-1;0
21;22;34;0;0;0;0;-1;0
21;22;0;1;377;0;0;-1;0
22;22;34;0;0;0;0;-1;0
22;22;0;2;388;0;0;-1;0
23;22;33;0;0;0;0;-1;0
23;22;0;1;356;0;0;-1;0
24;22;33;0;0;0;0;-1;0
24;22;0;4;356;0;0;-1;0
25;22;33;0;0;0;0;-1;0
25;22;0;1;355;0;0;-1;0
26;22;32;0;0;0;0;-1;0
26;22;0;5;356;0;0;-1;0
27;22;33;0;0;0;0;-1;0
27;22;0;2;356;0;0;-1;0
28;22;33;0;0;0;0;-1;0
28;22;0;1;356;0;0;-1;0
29;22;33;0;0;0;0;-1;0
29;22;0;1;355;0;0;-1;0
30;22;33;0;0;0;0;-1;0
30;22;0;1;371;0;0;-1;0
31;22;34;0;0;0;0;-1;0
31;22;0;5;357;0;0;-1;0
32;22;33;0;0;0;0;-1;0
32;22;0;0;357;0;0;-1;0
33;22;36;0;0;0;0;-1;0
33;22;0;1;355;0;0;-1;0
34;22;32;0;0;0;0;-1;0
34;22;0;1;355;0;0;-1;0
35;22;33;0;0;0;0;-1;0
35;22;0;1;358;0;0;-1;0
36;22;33;0;0;0;0;-1;0
36;22;0;4;355;0;0;-1;0
37;22;33;0;0;0;0;-1;0
37;22;0;0;358;0;0;-1;0
38;22;34;0;0;0;0;-1;0
38;22;0;1;376;0;0;-1;0
39;22;35;0;0;0;0;-1;0
39;22;0;5;380;0;0;-1;0
40;22;35;0;0;0;0;-1;0
40;22;0;1;379;0;0;-1;0
41;22;35;0;0;0;0;-1;0
41;22;0;5;400;0;0;-1;0
42;22;33;0;0;0;0;-1;0
42;22;0;1;355;0;0;-1;0
43;22;34;0;0;0;0;-1;0
43;22;0;1;357;0;0;-1;0
44;22;33;0;0;0;0;-1;0
44;22;0;5;354;0;0;-1;0
45;22;32;0;0;0;0;-1;0
45;22;0;1;355;0;0;-1;0
46;22;32;0;0;0;0;-1;0
46;22;0;1;355;0;0;-1;0
47;22;33;0;0;0;0;-1;0
47;22;0;5;355;0;0;-1;0
48;22;34;0;0;0;0;-1;0
48;22;0;1;355;0;0;-1;0
49;22;33;0;0;0;0;-1;0
49;22;0;1;355;0;0;-1;0
50;22;32;0;0;0;0;-1;0
50;22;0;1;356;0;0;-1;0
51;22;33;0;0;0;0;-1;0
51;22;0;5;357;0;0;-1;0
52;22;33;0;0;0;0;-1;0
52;22;0;1;355;0;0;-1;0
53;22;32;0;0;0;0;-1;0
53;22;0;5;376;0;0;-1;0
54;22;32;0;0;0;0;-1;0
54;22;0;5;355;0;0;-1;0
55;22;32;0;0;0;0;-1;0
55;22;0;5;355;0;0;-1;0
56;22;32;0;0;0;0;-1;0
56;22;0;1;355;0;0;-1;0
57;22;33;0;0;0;0;-1;0
57;22;0;1;355;0;0;-1;0
58;22;32;0;0;0;0;-1;0
58;22;0;1;355;0;0;-1;0
59;22;32;0;0;0;0;-1;0
59;22;0;1;358;0;0;-1;0
60;22;32;0;0;0;0;-1;0
60;22;0;5;360;0;0;-1;0
61;22;33;0;0;0;0;-1;0
61;22;0;0;356;0;0;-1;0
62;22;33;0;0;0;0;-1;0
62;22;0;1;355;0;0;-1;0
63;22;33;0;0;0;0;-1;0
63;22;0;1;355;0;0;-1;0
64;22;33;0;0;0;0;-1;0
64;22;0;4;382;0;0;-1;0
65;22;33;0;0;0;0;-1;0
65;22;0;1;357;0;0;-1;0
66;22;33;0;0;0;0;-1;0
66;22;0;1;354;0;0;-1;0
67;22;33;0;0;0;0;-1;0
67;22;0;1;354;0;0;-1;0
68;22;32;0;0;0;0;-1;0
68;22;0;2;354;0;0;-1;0
69;22;33;0;0;0;0;-1;0
69;22;0;1;355;0;0;-1;0
70;22;33;0;0;0;0;-1;0
70;22;0;1;356;0;0;-1;0
71;22;33;0;0;0;0;-1;0
71;22;0;1;359;0;0;-1;0
72;22;33;0;0;0;0;-1;0
72;22;0;0;355;0;0;-1;0
73;22;34;0;0;0;0;-1;0
73;22;0;4;356;0;0;-1;0
74;22;33;0;0;0;0;-1;0
74;22;0;5;358;0;0;-1;0
75;22;33;0;0;0;0;-1;0
75;22;0;5;357;0;0;-1;0
76;22;32;0;0;0;0;-1;0
76;22;0;4;376;0;0;-1;0
77;22;33;0;0;0;0;-1;0
77;22;0;1;354;0;0;-1;0
78;22;33;0;0;0;0;-1;0
78;22;0;1;357;0;0;-1;0
79;22;33;0;0;0;0;-1;0
79;22;0;0;359;0;0;-1;0
80;22;32;0;0;0;0;-1;0
80;22;0;5;353;0;0;-1;0
81;22;33;0;0;0;0;-1;0
81;22;0;1;355;0;0;-1;0
82;22;32;0;0;0;0;-1;0
82;22;0;4;354;0;0;-1;0
83;22;35;0;0;0;0;-1;0
83;22;0;4;355;0;0;-1;0
84;22;32;0;0;0;0;-1;0
84;22;0;4;355;0;0;-1;0
85;22;32;0;0;0;0;-1;0
85;22;0;1;359;0;0;-1;0
86;22;32;0;0;0;0;-1;0
86;22;0;0;354;0;0;-1;0
87;22;32;0;0;0;0;-1;0
87;22;0;1;372;0;0;-1;0
88;22;32;0;0;0;0;-1;0
88;22;0;1;354;0;0;-1;0
89;22;32;0;0;0;0;-1;0
89;22;0;4;354;0;0;-1;0
90;22;32;0;0;0;0;-1;0
90;22;0;1;354;0;0;-1;0
91;22;33;0;0;0;0;-1;0
91;22;0;1;353;0;0;-1;0
92;22;32;0;0;0;0;-1;0
92;22;0;4;-1;0;1;20;0
93;22;33;0;0;0;0;-1;0
93;22;0;1;353;0;0;-1;0
