mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;1;45;0;0;0;0;-1;0
1;1;0;1;212;0;0;-1;0
2;36;24;0;0;0;0;-1;0
2;36;0;1;230;0;0;-1;0
3;5;21;0;0;0;0;-1;0
3;5;0;23;198;0;0;-1;0
4;29;18;0;0;0;0;-1;0
4;29;0;2;198;0;0;-1;0
5;33;17;0;0;0;0;-1;0
5;33;0;2;216;0;0;-1;0
6;7;18;0;0;0;0;-1;0
6;7;0;6;197;0;0;-1;0
7;37;17;0;0;0;0;-1;0
7;37;0;1;196;0;0;-1;0
8;26;16;0;0;0;0;-1;0
8;26;0;2;202;0;0;-1;0
9;3;17;0;0;0;0;-1;0
9;3;0;2;205;0;0;-1;0
10;31;17;0;0;0;0;-1;0
10;31;0;2;214;0;0;-1;0
11;9;15;0;0;0;0;-1;0
11;9;0;2;196;0;0;-1;0
12;22;15;0;0;0;0;-1;0
12;22;0;2;196;0;0;-1;0
13;38;16;0;0;0;0;-1;0
13;38;0;2;196;0;0;-1;0
14;8;15;0;0;0;0;-1;0
14;8;0;2;200;0;0;-1;0
15;2;15;0;0;0;0;-1;0
15;2;0;2;196;0;0;-1;0
16;27;15;0;0;0;0;-1;0
16;27;0;2;202;0;0;-1;0
17;4;15;0;0;0;0;-1;0
17;4;0;7;196;0;0;-1;0
18;10;15;0;0;0;0;-1;0
18;10;0;2;196;0;0;-1;0
19;6;16;0;0;0;0;-1;0
19;6;0;1;196;0;0;-1;0
20;23;15;0;0;0;0;-1;0
20;23;0;3;196;0;0;-1;0
21;32;15;0;0;0;0;-1;0
21;32;0;2;197;0;0;-1;0
22;1;16;0;0;0;0;-1;0
22;1;0;1;-1;1;0;0;0
23;1;16;0;0;0;0;-1;0
23;1;0;1;207;0;0;-1;0
24;1;16;0;0;0;0;-1;0
24;1;0;1;205;0;0;-1;0
25;1;16;0;0;0;0;-1;0
25;1;0;1;206;0;0;-1;0
26;1;16;0;0;0;0;-1;0
26;1;0;0;206;0;0;-1;0
27;1;14;0;0;0;0;-1;0
27;1;0;1;207;0;0;-1;0
28;1;14;0;0;0;0;-1;0
28;1;0;0;196;0;0;-1;0
29;1;13;0;0;0;0;-1;0
29;1;0;1;195;0;0;-1;0
30;1;14;0;0;0;0;-1;0
30;1;0;1;195;0;0;-1;0
31;36;13;0;0;0;0;-1;0
31;36;0;1;-1;1;0;0;0
32;36;13;0;0;0;0;-1;0
32;36;0;1;195;0;0;-1;0
33;36;14;0;0;0;0;-1;0
33;36;0;0;195;0;0;-1;0
34;36;14;0;0;0;0;-1;0
34;36;0;0;195;0;0;-1;0
35;36;13;0;0;0;0;-1;0
35;36;0;1;195;0;0;-1;0
36;36;13;0;0;0;0;-1;0
36;36;0;1;195;0;0;-1;0
37;36;13;0;0;0;0;-1;0
37;36;0;1;194;0;0;-1;0
38;36;14;0;0;0;0;-1;0
38;36;0;0;204;0;0;-1;0
39;36;14;0;0;0;0;-1;0
39;36;0;0;200;0;0;-1;0
40;36;13;0;0;0;0;-1;0
40;36;0;1;194;0;0;-1;0
41;36;14;0;0;0;0;-1;0
41;36;0;0;195;0;0;-1;0
42;36;14;0;0;0;0;-1;0
42;36;0;1;195;0;0;-1;0
43;36;13;0;0;0;0;-1;0
43;36;0;0;195;0;0;-1;0
44;36;14;0;0;0;0;-1;0
44;36;0;1;194;0;0;-1;0
45;36;14;0;0;0;0;-1;0
45;36;0;1;195;0;0;-1;0
46;5;13;0;0;0;0;-1;0
46;5;0;1;-1;1;0;0;0
47;5;13;0;0;0;0;-1;0
47;5;0;1;195;0;0;-1;0
48;5;13;0;0;0;0;-1;0
48;5;0;1;195;0;0;-1;0
49;5;13;0;0;0;0;-1;0
49;5;0;1;201;0;0;-1;0
50;5;14;0;0;0;0;-1;0
50;5;0;1;205;0;0;-1;0
51;5;14;0;0;0;0;-1;0
51;5;0;0;205;0;0;-1;0
52;29;14;0;0;0;0;-1;0
52;29;0;1;-1;1;0;0;0
53;29;14;0;0;0;0;-1;0
53;29;0;1;205;0;0;-1;0
54;29;14;0;0;0;0;-1;0
54;29;0;1;204;0;0;-1;0
55;29;14;0;0;0;0;-1;0
55;29;0;1;214;0;0;-1;0
56;29;13;0;0;0;0;-1;0
56;29;0;6;195;0;0;-1;0
57;29;14;0;0;0;0;-1;0
57;29;0;5;195;0;0;-1;0
58;29;13;0;0;0;0;-1;0
58;29;0;6;194;0;0;-1;0
59;29;14;0;0;0;0;-1;0
59;29;0;5;195;0;0;-1;0
60;29;13;0;0;0;0;-1;0
60;29;0;6;194;0;0;-1;0
61;29;14;0;0;0;0;-1;0
61;29;0;3;195;0;0;-1;0
62;29;13;0;0;0;0;-1;0
62;29;0;3;195;0;0;-1;0
63;33;14;0;0;0;0;-1;0
63;33;0;1;-1;1;0;0;0
64;33;13;0;0;0;0;-1;0
64;33;0;5;194;0;0;-1;0
65;7;14;0;0;0;0;-1;0
65;7;0;0;0;0;1;0;-1
