mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;1;34;0;0;0;0;-1;0
1;1;0;1;254;0;0;-1;0
2;1;22;0;0;0;0;-1;0
2;1;0;1;278;0;0;-1;0
3;1;21;0;0;0;0;-1;0
3;1;0;0;252;0;0;-1;0
4;1;17;0;0;0;0;-1;0
4;1;0;0;206;0;0;-1;0
5;1;20;0;0;0;0;-1;0
5;1;0;1;206;0;0;-1;0
6;1;16;0;0;0;0;-1;0
6;1;0;1;198;0;0;-1;0
7;1;17;0;0;0;0;-1;0
7;1;0;0;198;0;0;-1;0
8;1;17;0;0;0;0;-1;0
8;1;0;0;205;0;0;-1;0
9;1;17;0;0;0;0;-1;0
9;1;0;1;208;0;0;-1;0
10;36;18;0;0;0;0;-1;0
10;36;0;1;214;0;0;-1;0
11;36;17;0;0;0;0;-1;0
11;36;0;1;196;0;0;-1;0
12;36;17;0;0;0;0;-1;0
12;36;0;0;196;0;0;-1;0
13;36;16;0;0;0;0;-1;0
13;36;0;1;196;0;0;-1;0
14;36;16;0;0;0;0;-1;0
14;36;0;1;196;0;0;-1;0
15;36;16;0;0;0;0;-1;0
15;36;0;0;204;0;0;-1;0
16;36;15;0;0;0;0;-1;0
16;36;0;1;196;0;0;-1;0
17;36;15;0;0;0;0;-1;0
17;36;0;1;196;0;0;-1;0
18;36;15;0;0;0;0;-1;0
18;36;0;1;195;0;0;-1;0
19;36;16;0;0;0;0;-1;0
19;36;0;1;196;0;0;-1;0
20;36;15;0;0;0;0;-1;0
20;36;0;1;196;0;0;-1;0
21;36;16;0;0;0;0;-1;0
21;36;0;2;201;0;0;-1;0
22;36;16;0;0;0;0;-1;0
22;36;0;0;206;0;0;-1;0
23;36;16;0;0;0;0;-1;0
23;36;0;1;215;0;0;-1;0
24;36;16;0;0;0;0;-1;0
24;36;0;1;206;0;0;-1;0
25;5;16;0;0;0;0;-1;0
25;5;0;13;209;0;0;-1;0
26;5;16;0;0;0;0;-1;0
26;5;0;1;215;0;0;-1;0
27;5;16;0;0;0;0;-1;0
27;5;0;1;196;0;0;-1;0
28;5;16;0;0;0;0;-1;0
28;5;0;1;196;0;0;-1;0
29;5;16;0;0;0;0;-1;0
29;5;0;1;197;0;0;-1;0
30;5;15;0;0;0;0;-1;0
30;5;0;1;195;0;0;-1;0
31;29;16;0;0;0;0;-1;0
31;29;0;2;199;0;0;-1;0
32;29;17;0;0;0;0;-1;0
32;29;0;1;197;0;0;-1;0
33;29;17;0;0;0;0;-1;0
33;29;0;1;196;0;0;-1;0
34;29;15;0;0;0;0;-1;0
34;29;0;1;198;0;0;-1;0
35;29;14;0;0;0;0;-1;0
35;29;0;6;195;0;0;-1;0
36;29;15;0;0;0;0;-1;0
36;29;0;5;198;0;0;-1;0
37;29;24;0;0;0;0;-1;0
37;29;0;6;195;0;0;-1;0
38;29;15;0;0;0;0;-1;0
38;29;0;5;197;0;0;-1;0
39;29;14;0;0;0;0;-1;0
39;29;0;5;197;0;0;-1;0
40;29;14;0;0;0;0;-1;0
40;29;0;3;196;0;0;-1;0
41;29;15;0;0;0;0;-1;0
41;29;0;3;197;0;0;-1;0
42;33;15;0;0;0;0;-1;0
42;33;0;2;196;0;0;-1;0
43;33;14;0;0;0;0;-1;0
43;33;0;5;197;0;0;-1;0
44;7;14;0;0;0;0;-1;0
44;7;0;5;196;0;0;-1;0
45;7;14;0;0;0;0;-1;0
45;7;0;5;195;0;0;-1;0
46;7;14;0;0;0;0;-1;0
46;7;0;5;205;0;0;-1;0
47;7;14;0;0;0;0;-1;0
47;7;0;6;199;0;0;-1;0
48;7;15;0;0;0;0;-1;0
48;7;0;5;207;0;0;-1;0
49;7;15;0;0;0;0;-1;0
49;7;0;6;206;0;0;-1;0
50;37;15;0;0;0;0;-1;0
50;37;0;1;208;0;0;-1;0
