mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;5;52;0;0;0;0;-1;0
1;5;0;12;217;0;0;-1;0
2;4;34;0;0;0;0;-1;0
2;4;0;1;253;0;0;-1;0
3;27;31;0;0;0;0;-1;0
3;27;0;2;210;0;0;-1;0
4;23;30;0;0;0;0;-1;0
4;23;0;4;215;0;0;-1;0
5;33;29;0;0;0;0;-1;0
5;33;0;3;219;0;0;-1;0
6;3;29;0;0;0;0;-1;0
6;3;0;2;195;0;0;-1;0
7;2;26;0;0;0;0;-1;0
7;2;0;2;-1;1;0;0;0
8;26;27;0;0;0;0;-1;0
8;26;0;2;207;0;0;-1;0
9;13;26;0;0;0;0;-1;0
9;13;0;3;195;0;0;-1;0
10;1;26;0;0;0;0;-1;0
10;1;0;1;196;0;0;-1;0
11;22;28;0;0;0;0;-1;0
11;22;0;2;195;0;0;-1;0
12;31;28;0;0;0;0;-1;0
12;31;0;2;209;0;0;-1;0
13;6;27;0;0;0;0;-1;0
13;6;0;1;212;0;0;-1;0
14;36;28;0;0;0;0;-1;0
14;36;0;1;213;0;0;-1;0
15;9;27;0;0;0;0;-1;0
15;9;0;2;207;0;0;-1;0
16;37;24;0;0;0;0;-1;0
16;37;0;3;195;0;0;-1;0
17;38;25;0;0;0;0;-1;0
17;38;0;2;207;0;0;-1;0
18;17;28;0;0;0;0;-1;0
18;17;0;2;196;0;0;-1;0
19;7;26;0;0;0;0;-1;0
19;7;0;1;202;0;0;-1;0
20;8;24;0;0;0;0;-1;0
20;8;0;2;196;0;0;-1;0
21;29;24;0;0;0;0;-1;0
21;29;0;1;205;0;0;-1;0
22;10;25;0;0;0;0;-1;0
22;10;0;1;195;0;0;-1;0
23;20;24;0;0;0;0;-1;0
23;20;0;2;194;0;0;-1;0
24;32;25;0;0;0;0;-1;0
24;32;0;2;195;0;0;-1;0
25;5;24;0;0;0;0;-1;0
25;5;0;1;-1;1;0;0;0
26;5;24;0;0;0;0;-1;0
26;5;0;1;194;0;0;-1;0
27;5;24;0;0;0;0;-1;0
27;5;0;0;196;0;0;-1;0
28;5;25;0;0;0;0;-1;0
28;5;0;0;209;0;0;-1;0
29;5;25;0;0;0;0;-1;0
29;5;0;1;211;0;0;-1;0
30;5;25;0;0;0;0;-1;0
30;5;0;1;211;0;0;-1;0
31;5;25;0;0;0;0;-1;0
31;5;0;1;226;0;0;-1;0
32;5;24;0;0;0;0;-1;0
32;5;0;0;197;0;0;-1;0
33;5;24;0;0;0;0;-1;0
33;5;0;0;196;0;0;-1;0
34;5;24;0;0;0;0;-1;0
34;5;0;0;195;0;0;-1;0
35;5;24;0;0;0;0;-1;0
35;5;0;1;199;0;0;-1;0
36;5;24;0;0;0;0;-1;0
36;5;0;1;195;0;0;-1;0
37;5;24;0;0;0;0;-1;0
37;5;0;1;196;0;0;-1;0
38;4;24;0;0;0;0;-1;0
38;4;0;1;-1;1;0;0;0
39;4;26;0;0;0;0;-1;0
39;4;0;1;206;0;0;-1;0
40;4;24;0;0;0;0;-1;0
40;4;0;1;195;0;0;-1;0
41;4;25;0;0;0;0;-1;0
41;4;0;1;196;0;0;-1;0
42;4;26;0;0;0;0;-1;0
42;4;0;4;214;0;0;-1;0
43;4;24;0;0;0;0;-1;0
43;4;0;2;195;0;0;-1;0
44;4;24;0;0;0;0;-1;0
44;4;0;2;194;0;0;-1;0
45;4;23;0;0;0;0;-1;0
45;4;0;2;194;0;0;-1;0
46;4;24;0;0;0;0;-1;0
46;4;0;2;199;0;0;-1;0
47;4;24;0;0;0;0;-1;0
47;4;0;2;195;0;0;-1;0
48;4;24;0;0;0;0;-1;0
48;4;0;2;196;0;0;-1;0
49;4;25;0;0;0;0;-1;0
49;4;0;2;195;0;0;-1;0
50;4;24;0;0;0;0;-1;0
50;4;0;2;197;0;0;-1;0
51;4;24;0;0;0;0;-1;0
51;4;0;2;195;0;0;-1;0
52;4;24;0;0;0;0;-1;0
52;4;0;3;201;0;0;-1;0
53;4;24;0;0;0;0;-1;0
53;4;0;3;211;0;0;-1;0
54;4;25;0;0;0;0;-1;0
54;4;0;2;212;0;0;-1;0
55;4;25;0;0;0;0;-1;0
55;4;0;2;212;0;0;-1;0
56;4;25;0;0;0;0;-1;0
56;4;0;2;211;0;0;-1;0
57;4;25;0;0;0;0;-1;0
57;4;0;2;212;0;0;-1;0
58;4;25;0;0;0;0;-1;0
58;4;0;3;221;0;0;-1;0
59;4;24;0;0;0;0;-1;0
59;4;0;2;195;0;0;-1;0
60;4;24;0;0;0;0;-1;0
60;4;0;2;194;0;0;-1;0
61;4;24;0;0;0;0;-1;0
61;4;0;1;199;0;0;-1;0
62;4;24;0;0;0;0;-1;0
62;4;0;1;195;0;0;-1;0
63;4;24;0;0;0;0;-1;0
63;4;0;1;195;0;0;-1;0
64;4;24;0;0;0;0;-1;0
64;4;0;1;195;0;0;-1;0
65;4;24;0;0;0;0;-1;0
65;4;0;1;195;0;0;-1;0
66;4;24;0;0;0;0;-1;0
66;4;0;2;198;0;0;-1;0
67;4;23;0;0;0;0;-1;0
67;4;0;2;195;0;0;-1;0
68;4;24;0;0;0;0;-1;0
68;4;0;2;198;0;0;-1;0
69;27;24;0;0;0;0;-1;0
69;27;0;1;-1;1;0;0;0
70;27;24;0;0;0;0;-1;0
70;27;0;1;196;0;0;-1;0
71;27;24;0;0;0;0;-1;0
71;27;0;1;197;0;0;-1;0
72;27;24;0;0;0;0;-1;0
72;27;0;1;195;0;0;-1;0
73;27;23;0;0;0;0;-1;0
73;27;0;1;195;0;0;-1;0
74;27;24;0;0;0;0;-1;0
74;27;0;0;219;0;0;-1;0
75;27;24;0;0;0;0;-1;0
75;27;0;1;195;0;0;-1;0
76;27;24;0;0;0;0;-1;0
76;27;0;1;194;0;0;-1;0
77;27;24;0;0;0;0;-1;0
77;27;0;1;194;0;0;-1;0
78;27;24;0;0;0;0;-1;0
78;27;0;4;195;0;0;-1;0
79;27;24;0;0;0;0;-1;0
79;27;0;4;193;0;0;-1;0
80;27;24;0;0;0;0;-1;0
80;27;0;4;194;0;0;-1;0
81;27;23;0;0;0;0;-1;0
81;27;0;5;194;0;0;-1;0
82;27;24;0;0;0;0;-1;0
82;27;0;4;194;0;0;-1;0
83;27;24;0;0;0;0;-1;0
83;27;0;5;194;0;0;-1;0
84;27;24;0;0;0;0;-1;0
84;27;0;4;202;0;0;-1;0
85;27;24;0;0;0;0;-1;0
85;27;0;5;195;0;0;-1;0
86;27;24;0;0;0;0;-1;0
86;27;0;5;195;0;0;-1;0
87;27;24;0;0;0;0;-1;0
87;27;0;5;196;0;0;-1;0
88;27;24;0;0;0;0;-1;0
88;27;0;4;197;0;0;-1;0
89;27;24;0;0;0;0;-1;0
89;27;0;5;195;0;0;-1;0
90;27;25;0;0;0;0;-1;0
90;27;0;4;218;0;0;-1;0
91;27;24;0;0;0;0;-1;0
91;27;0;4;195;0;0;-1;0
92;27;24;0;0;0;0;-1;0
92;27;0;4;195;0;0;-1;0
93;27;24;0;0;0;0;-1;0
93;27;0;4;194;0;0;-1;0
94;27;24;0;0;0;0;-1;0
94;27;0;4;194;0;0;-1;0
95;27;24;0;0;0;0;-1;0
95;27;0;4;195;0;0;-1;0
96;27;24;0;0;0;0;-1;0
96;27;0;4;194;0;0;-1;0
97;27;24;0;0;0;0;-1;0
97;27;0;1;195;0;0;-1;0
98;27;24;0;0;0;0;-1;0
98;27;0;1;194;0;0;-1;0
99;27;24;0;0;0;0;-1;0
99;27;0;1;195;0;0;-1;0
100;27;24;0;0;0;0;-1;0
100;27;0;1;194;0;0;-1;0
101;27;24;0;0;0;0;-1;0
101;27;0;1;194;0;0;-1;0
102;27;24;0;0;0;0;-1;0
102;27;0;1;194;0;0;-1;0
103;27;24;0;0;0;0;-1;0
103;27;0;1;195;0;0;-1;0
104;27;24;0;0;0;0;-1;0
104;27;0;0;194;0;0;-1;0
105;27;24;0;0;0;0;-1;0
105;27;0;0;195;0;0;-1;0
106;27;24;0;0;0;0;-1;0
106;27;0;0;227;0;0;-1;0
107;27;24;0;0;0;0;-1;0
107;27;0;1;194;0;0;-1;0
108;27;24;0;0;0;0;-1;0
108;27;0;1;195;0;0;-1;0
109;27;24;0;0;0;0;-1;0
109;27;0;1;194;0;0;-1;0
110;27;24;0;0;0;0;-1;0
110;27;0;1;194;0;0;-1;0
111;27;24;0;0;0;0;-1;0
111;27;0;1;194;0;0;-1;0
112;27;24;0;0;0;0;-1;0
112;27;0;1;194;0;0;-1;0
113;27;24;0;0;0;0;-1;0
113;27;0;1;194;0;0;-1;0
114;27;24;0;0;0;0;-1;0
114;27;0;1;196;0;0;-1;0
115;27;24;0;0;0;0;-1;0
115;27;0;1;194;0;0;-1;0
116;27;24;0;0;0;0;-1;0
116;27;0;2;194;0;0;-1;0
117;27;24;0;0;0;0;-1;0
117;27;0;0;195;0;0;-1;0
118;27;24;0;0;0;0;-1;0
118;27;0;1;195;0;0;-1;0
119;27;24;0;0;0;0;-1;0
119;27;0;1;196;0;0;-1;0
120;27;24;0;0;0;0;-1;0
120;27;0;1;194;0;0;-1;0
121;27;24;0;0;0;0;-1;0
121;27;0;2;195;0;0;-1;0
122;27;24;0;0;0;0;-1;0
122;27;0;1;225;0;0;-1;0
123;27;24;0;0;0;0;-1;0
123;27;0;1;195;0;0;-1;0
124;27;24;0;0;0;0;-1;0
124;27;0;1;199;0;0;-1;0
125;27;25;0;0;0;0;-1;0
125;27;0;1;195;0;0;-1;0
126;27;24;0;0;0;0;-1;0
126;27;0;1;195;0;0;-1;0
127;27;24;0;0;0;0;-1;0
127;27;0;2;196;0;0;-1;0
128;27;25;0;0;0;0;-1;0
128;27;0;1;195;0;0;-1;0
129;27;24;0;0;0;0;-1;0
129;27;0;2;206;0;0;-1;0
130;27;25;0;0;0;0;-1;0
130;27;0;1;194;0;0;-1;0
131;27;24;0;0;0;0;-1;0
131;27;0;2;195;0;0;-1;0
132;27;24;0;0;0;0;-1;0
132;27;0;2;195;0;0;-1;0
133;27;24;0;0;0;0;-1;0
133;27;0;2;194;0;0;-1;0
134;27;24;0;0;0;0;-1;0
134;27;0;3;194;0;0;-1;0
135;27;24;0;0;0;0;-1;0
135;27;0;1;195;0;0;-1;0
136;27;24;0;0;0;0;-1;0
136;27;0;0;195;0;0;-1;0
137;27;24;0;0;0;0;-1;0
137;27;0;1;195;0;0;-1;0
138;27;24;0;0;0;0;-1;0
138;27;0;0;216;0;0;-1;0
139;27;24;0;0;0;0;-1;0
139;27;0;1;194;0;0;-1;0
140;27;24;0;0;0;0;-1;0
140;27;0;1;195;0;0;-1;0
141;27;24;0;0;0;0;-1;0
141;27;0;1;194;0;0;-1;0
142;27;24;0;0;0;0;-1;0
142;27;0;1;194;0;0;-1;0
143;27;25;0;0;0;0;-1;0
143;27;0;1;194;0;0;-1;0
144;27;24;0;0;0;0;-1;0
144;27;0;1;194;0;0;-1;0
145;27;24;0;0;0;0;-1;0
145;27;0;2;194;0;0;-1;0
146;27;24;0;0;0;0;-1;0
146;27;0;1;194;0;0;-1;0
147;27;25;0;0;0;0;-1;0
147;27;0;1;194;0;0;-1;0
148;27;24;0;0;0;0;-1;0
148;27;0;2;194;0;0;-1;0
149;27;24;0;0;0;0;-1;0
149;27;0;2;194;0;0;-1;0
150;27;24;0;0;0;0;-1;0
150;27;0;1;195;0;0;-1;0
151;27;24;0;0;0;0;-1;0
151;27;0;2;197;0;0;-1;0
152;27;24;0;0;0;0;-1;0
152;27;0;2;194;0;0;-1;0
153;27;24;0;0;0;0;-1;0
153;27;0;1;216;0;0;-1;0
154;27;24;0;0;0;0;-1;0
154;27;0;1;195;0;0;-1;0
155;27;24;0;0;0;0;-1;0
