mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;5;51;0;0;0;0;-1;0
1;5;0;12;198;0;0;-1;0
2;5;32;0;0;0;0;-1;0
2;5;0;1;210;0;0;-1;0
3;5;29;0;0;0;0;-1;0
3;5;0;1;194;0;0;-1;0
4;5;28;0;0;0;0;-1;0
4;5;0;0;203;0;0;-1;0
5;5;30;0;0;0;0;-1;0
5;5;0;0;223;0;0;-1;0
6;5;27;0;0;0;0;-1;0
6;5;0;1;193;0;0;-1;0
7;5;26;0;0;0;0;-1;0
7;5;0;1;194;0;0;-1;0
8;5;26;0;0;0;0;-1;0
8;5;0;0;193;0;0;-1;0
9;5;27;0;0;0;0;-1;0
9;5;0;0;205;0;0;-1;0
10;5;25;0;0;0;0;-1;0
10;5;0;1;195;0;0;-1;0
11;5;25;0;0;0;0;-1;0
11;5;0;1;195;0;0;-1;0
12;5;26;0;0;0;0;-1;0
12;5;0;1;196;0;0;-1;0
13;5;27;0;0;0;0;-1;0
13;5;0;1;208;0;0;-1;0
14;4;29;0;0;0;0;-1;0
14;4;0;1;209;0;0;-1;0
15;4;28;0;0;0;0;-1;0
15;4;0;1;207;0;0;-1;0
16;4;28;0;0;0;0;-1;0
16;4;0;1;207;0;0;-1;0
17;4;27;0;0;0;0;-1;0
17;4;0;1;193;0;0;-1;0
18;4;24;0;0;0;0;-1;0
18;4;0;6;193;0;0;-1;0
19;4;25;0;0;0;0;-1;0
19;4;0;1;195;0;0;-1;0
20;4;24;0;0;0;0;-1;0
20;4;0;1;200;0;0;-1;0
21;4;23;0;0;0;0;-1;0
21;4;0;1;192;0;0;-1;0
22;4;23;0;0;0;0;-1;0
22;4;0;1;205;0;0;-1;0
23;4;23;0;0;0;0;-1;0
23;4;0;1;194;0;0;-1;0
24;4;23;0;0;0;0;-1;0
24;4;0;1;193;0;0;-1;0
25;4;23;0;0;0;0;-1;0
25;4;0;2;193;0;0;-1;0
26;4;23;0;0;0;0;-1;0
26;4;0;2;194;0;0;-1;0
27;4;23;0;0;0;0;-1;0
27;4;0;2;192;0;0;-1;0
28;4;22;0;0;0;0;-1;0
28;4;0;3;191;0;0;-1;0
29;4;23;0;0;0;0;-1;0
29;4;0;3;195;0;0;-1;0
30;4;24;0;0;0;0;-1;0
30;4;0;2;206;0;0;-1;0
31;4;24;0;0;0;0;-1;0
31;4;0;2;209;0;0;-1;0
32;4;24;0;0;0;0;-1;0
32;4;0;2;208;0;0;-1;0
33;4;24;0;0;0;0;-1;0
33;4;0;3;223;0;0;-1;0
34;4;23;0;0;0;0;-1;0
34;4;0;2;193;0;0;-1;0
35;4;23;0;0;0;0;-1;0
35;4;0;2;195;0;0;-1;0
36;4;22;0;0;0;0;-1;0
36;4;0;3;192;0;0;-1;0
37;4;23;0;0;0;0;-1;0
37;4;0;0;195;0;0;-1;0
38;4;23;0;0;0;0;-1;0
38;4;0;1;192;0;0;-1;0
39;4;23;0;0;0;0;-1;0
39;4;0;1;192;0;0;-1;0
40;4;23;0;0;0;0;-1;0
40;4;0;1;193;0;0;-1;0
41;4;24;0;0;0;0;-1;0
41;4;0;1;194;0;0;-1;0
42;4;25;0;0;0;0;-1;0
42;4;0;2;198;0;0;-1;0
43;4;23;0;0;0;0;-1;0
43;4;0;2;193;0;0;-1;0
44;4;23;0;0;0;0;-1;0
44;4;0;2;209;0;0;-1;0
45;27;23;0;0;0;0;-1;0
45;27;0;2;194;0;0;-1;0
46;27;23;0;0;0;0;-1;0
46;27;0;1;192;0;0;-1;0
47;27;23;0;0;0;0;-1;0
47;27;0;2;193;0;0;-1;0
48;27;22;0;0;0;0;-1;0
48;27;0;2;191;0;0;-1;0
49;27;23;0;0;0;0;-1;0
49;27;0;1;192;0;0;-1;0
50;27;24;0;0;0;0;-1;0
50;27;0;1;192;0;0;-1;0
51;27;23;0;0;0;0;-1;0
51;27;0;1;192;0;0;-1;0
52;27;23;0;0;0;0;-1;0
52;27;0;1;193;0;0;-1;0
53;27;23;0;0;0;0;-1;0
53;27;0;1;192;0;0;-1;0
54;27;23;0;0;0;0;-1;0
54;27;0;4;194;0;0;-1;0
55;27;23;0;0;0;0;-1;0
55;27;0;4;197;0;0;-1;0
56;27;23;0;0;0;0;-1;0
56;27;0;4;208;0;0;-1;0
57;27;24;0;0;0;0;-1;0
57;27;0;5;208;0;0;-1;0
58;27;25;0;0;0;0;-1;0
58;27;0;4;209;0;0;-1;0
59;27;24;0;0;0;0;-1;0
59;27;0;4;209;0;0;-1;0
60;27;24;0;0;0;0;-1;0
60;27;0;5;208;0;0;-1;0
61;27;24;0;0;0;0;-1;0
61;27;0;5;226;0;0;-1;0
62;27;24;0;0;0;0;-1;0
62;27;0;4;195;0;0;-1;0
63;27;23;0;0;0;0;-1;0
63;27;0;4;195;0;0;-1;0
64;27;23;0;0;0;0;-1;0
64;27;0;4;192;0;0;-1;0
65;27;23;0;0;0;0;-1;0
65;27;0;4;193;0;0;-1;0
66;27;23;0;0;0;0;-1;0
66;27;0;4;192;0;0;-1;0
67;27;23;0;0;0;0;-1;0
67;27;0;4;193;0;0;-1;0
68;27;23;0;0;0;0;-1;0
68;27;0;4;192;0;0;-1;0
69;27;22;0;0;0;0;-1;0
69;27;0;5;191;0;0;-1;0
70;27;23;0;0;0;0;-1;0
70;27;0;4;192;0;0;-1;0
71;27;22;0;0;0;0;-1;0
71;27;0;5;192;0;0;-1;0
72;27;23;0;0;0;0;-1;0
72;27;0;4;191;0;0;-1;0
73;27;23;0;0;0;0;-1;0
73;27;0;1;191;0;0;-1;0
74;27;23;0;0;0;0;-1;0
74;27;0;1;192;0;0;-1;0
75;27;22;0;0;0;0;-1;0
75;27;0;1;192;0;0;-1;0
76;27;23;0;0;0;0;-1;0
76;27;0;1;192;0;0;-1;0
77;27;23;0;0;0;0;-1;0
77;27;0;1;192;0;0;-1;0
78;27;23;0;0;0;0;-1;0
78;27;0;1;213;0;0;-1;0
79;27;23;0;0;0;0;-1;0
79;27;0;0;193;0;0;-1;0
80;27;23;0;0;0;0;-1;0
80;27;0;0;193;0;0;-1;0
81;27;24;0;0;0;0;-1;0
81;27;0;1;194;0;0;-1;0
82;27;23;0;0;0;0;-1;0
82;27;0;1;199;0;0;-1;0
83;27;23;0;0;0;0;-1;0
83;27;0;0;193;0;0;-1;0
84;27;24;0;0;0;0;-1;0
84;27;0;0;194;0;0;-1;0
85;27;23;0;0;0;0;-1;0
85;27;0;1;194;0;0;-1;0
86;27;24;0;0;0;0;-1;0
86;27;0;1;194;0;0;-1;0
87;27;23;0;0;0;0;-1;0
87;27;0;1;194;0;0;-1;0
88;27;24;0;0;0;0;-1;0
88;27;0;1;193;0;0;-1;0
89;27;23;0;0;0;0;-1;0
89;27;0;1;194;0;0;-1;0
90;27;25;0;0;0;0;-1;0
90;27;0;1;192;0;0;-1;0
91;27;23;0;0;0;0;-1;0
91;27;0;1;192;0;0;-1;0
92;27;23;0;0;0;0;-1;0
92;27;0;1;192;0;0;-1;0
93;27;24;0;0;0;0;-1;0
93;27;0;0;192;0;0;-1;0
94;27;22;0;0;0;0;-1;0
