mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;5;65;0;0;0;0;-1;0
1;5;0;12;217;0;0;-1;0
2;5;31;0;0;0;0;-1;0
2;5;0;1;261;0;0;-1;0
3;5;30;0;0;0;0;-1;0
3;5;0;1;225;0;0;-1;0
4;5;30;0;0;0;0;-1;0
4;5;0;1;225;0;0;-1;0
5;5;31;0;0;0;0;-1;0
5;5;0;1;223;0;0;-1;0
6;5;29;0;0;0;0;-1;0
6;5;0;1;200;0;0;-1;0
7;5;27;0;0;0;0;-1;0
7;5;0;1;199;0;0;-1;0
8;5;27;0;0;0;0;-1;0
8;5;0;1;208;0;0;-1;0
9;5;28;0;0;0;0;-1;0
9;5;0;1;198;0;0;-1;0
10;5;27;0;0;0;0;-1;0
10;5;0;1;199;0;0;-1;0
11;5;27;0;0;0;0;-1;0
11;5;0;0;199;0;0;-1;0
12;5;26;0;0;0;0;-1;0
12;5;0;1;209;0;0;-1;0
13;5;27;0;0;0;0;-1;0
13;5;0;1;214;0;0;-1;0
14;4;27;0;0;0;0;-1;0
14;4;0;2;214;0;0;-1;0
15;4;27;0;0;0;0;-1;0
15;4;0;3;216;0;0;-1;0
16;4;26;0;0;0;0;-1;0
16;4;0;2;199;0;0;-1;0
17;4;25;0;0;0;0;-1;0
17;4;0;1;199;0;0;-1;0
18;4;25;0;0;0;0;-1;0
18;4;0;3;198;0;0;-1;0
19;4;26;0;0;0;0;-1;0
19;4;0;2;199;0;0;-1;0
20;4;24;0;0;0;0;-1;0
20;4;0;3;198;0;0;-1;0
21;4;24;0;0;0;0;-1;0
21;4;0;1;220;0;0;-1;0
22;4;25;0;0;0;0;-1;0
22;4;0;1;198;0;0;-1;0
23;4;26;0;0;0;0;-1;0
23;4;0;2;198;0;0;-1;0
24;4;23;0;0;0;0;-1;0
24;4;0;2;198;0;0;-1;0
25;4;23;0;0;0;0;-1;0
25;4;0;2;198;0;0;-1;0
26;4;23;0;0;0;0;-1;0
26;4;0;1;198;0;0;-1;0
27;4;23;0;0;0;0;-1;0
27;4;0;2;198;0;0;-1;0
28;4;23;0;0;0;0;-1;0
28;4;0;2;202;0;0;-1;0
29;4;23;0;0;0;0;-1;0
29;4;0;2;213;0;0;-1;0
30;4;25;0;0;0;0;-1;0
30;4;0;1;214;0;0;-1;0
31;4;25;0;0;0;0;-1;0
31;4;0;1;214;0;0;-1;0
32;4;24;0;0;0;0;-1;0
32;4;0;1;228;0;0;-1;0
33;4;23;0;0;0;0;-1;0
33;4;0;4;200;0;0;-1;0
34;4;23;0;0;0;0;-1;0
34;4;0;2;198;0;0;-1;0
35;4;24;0;0;0;0;-1;0
35;4;0;0;199;0;0;-1;0
36;4;23;0;0;0;0;-1;0
36;4;0;2;199;0;0;-1;0
37;4;24;0;0;0;0;-1;0
37;4;0;0;200;0;0;-1;0
38;4;23;0;0;0;0;-1;0
38;4;0;2;200;0;0;-1;0
39;4;24;0;0;0;0;-1;0
39;4;0;2;200;0;0;-1;0
40;4;24;0;0;0;0;-1;0
40;4;0;2;200;0;0;-1;0
41;4;24;0;0;0;0;-1;0
41;4;0;1;200;0;0;-1;0
42;4;25;0;0;0;0;-1;0
42;4;0;2;198;0;0;-1;0
43;27;23;0;0;0;0;-1;0
43;27;0;2;217;0;0;-1;0
44;27;23;0;0;0;0;-1;0
44;27;0;1;198;0;0;-1;0
45;27;23;0;0;0;0;-1;0
45;27;0;2;200;0;0;-1;0
46;27;22;0;0;0;0;-1;0
46;27;0;4;198;0;0;-1;0
47;27;23;0;0;0;0;-1;0
47;27;0;1;198;0;0;-1;0
48;27;23;0;0;0;0;-1;0
48;27;0;1;198;0;0;-1;0
49;27;23;0;0;0;0;-1;0
49;27;0;0;198;0;0;-1;0
50;27;23;0;0;0;0;-1;0
50;27;0;1;198;0;0;-1;0
51;27;23;0;0;0;0;-1;0
51;27;0;5;197;0;0;-1;0
52;27;23;0;0;0;0;-1;0
52;27;0;1;198;0;0;-1;0
53;27;23;0;0;0;0;-1;0
53;27;0;1;198;0;0;-1;0
54;27;23;0;0;0;0;-1;0
54;27;0;1;211;0;0;-1;0
55;27;24;0;0;0;0;-1;0
55;27;0;1;214;0;0;-1;0
56;27;24;0;0;0;0;-1;0
56;27;0;4;214;0;0;-1;0
57;27;24;0;0;0;0;-1;0
57;27;0;2;213;0;0;-1;0
58;27;24;0;0;0;0;-1;0
58;27;0;5;214;0;0;-1;0
59;27;24;0;0;0;0;-1;0
59;27;0;2;234;0;0;-1;0
60;27;23;0;0;0;0;-1;0
60;27;0;2;198;0;0;-1;0
61;27;23;0;0;0;0;-1;0
61;27;0;1;198;0;0;-1;0
62;27;24;0;0;0;0;-1;0
62;27;0;1;199;0;0;-1;0
63;27;23;0;0;0;0;-1;0
63;27;0;1;199;0;0;-1;0
64;27;23;0;0;0;0;-1;0
64;27;0;4;202;0;0;-1;0
65;27;23;0;0;0;0;-1;0
65;27;0;1;198;0;0;-1;0
66;27;23;0;0;0;0;-1;0
66;27;0;4;198;0;0;-1;0
67;27;24;0;0;0;0;-1;0
67;27;0;1;198;0;0;-1;0
68;27;23;0;0;0;0;-1;0
68;27;0;0;199;0;0;-1;0
69;27;23;0;0;0;0;-1;0
69;27;0;5;198;0;0;-1;0
70;27;23;0;0;0;0;-1;0
70;27;0;1;198;0;0;-1;0
71;27;23;0;0;0;0;-1;0
71;27;0;5;198;0;0;-1;0
72;27;23;0;0;0;0;-1;0
72;27;0;1;198;0;0;-1;0
73;27;24;0;0;0;0;-1;0
73;27;0;1;198;0;0;-1;0
74;27;23;0;0;0;0;-1;0
74;27;0;1;199;0;0;-1;0
75;27;23;0;0;0;0;-1;0
75;27;0;1;198;0;0;-1;0
76;27;24;0;0;0;0;-1;0
76;27;0;1;221;0;0;-1;0
77;27;24;0;0;0;0;-1;0
77;27;0;2;201;0;0;-1;0
78;27;23;0;0;0;0;-1;0
78;27;0;2;200;0;0;-1;0
79;27;25;0;0;0;0;-1;0
79;27;0;4;201;0;0;-1;0
80;27;23;0;0;0;0;-1;0
80;27;0;4;200;0;0;-1;0
81;27;23;0;0;0;0;-1;0
81;27;0;1;200;0;0;-1;0
82;27;23;0;0;0;0;-1;0
82;27;0;1;199;0;0;-1;0
83;27;23;0;0;0;0;-1;0
83;27;0;2;199;0;0;-1;0
84;27;23;0;0;0;0;-1;0
84;27;0;1;199;0;0;-1;0
85;27;23;0;0;0;0;-1;0
85;27;0;1;198;0;0;-1;0
86;27;24;0;0;0;0;-1;0
86;27;0;1;198;0;0;-1;0
87;27;25;0;0;0;0;-1;0
87;27;0;2;201;0;0;-1;0
88;27;23;0;0;0;0;-1;0
88;27;0;4;198;0;0;-1;0
89;27;23;0;0;0;0;-1;0
89;27;0;1;197;0;0;-1;0
90;27;23;0;0;0;0;-1;0
90;27;0;2;197;0;0;-1;0
91;27;25;0;0;0;0;-1;0
91;27;0;1;198;0;0;-1;0
92;27;23;0;0;0;0;-1;0
92;27;0;2;197;0;0;-1;0
93;27;24;0;0;0;0;-1;0
93;27;0;1;219;0;0;-1;0
94;27;24;0;0;0;0;-1;0
94;27;0;0;198;0;0;-1;0
95;27;23;0;0;0;0;-1;0
95;27;0;2;198;0;0;-1;0
96;27;23;0;0;0;0;-1;0
96;27;0;2;197;0;0;-1;0
97;27;24;0;0;0;0;-1;0
97;27;0;1;197;0;0;-1;0
98;27;24;0;0;0;0;-1;0
98;27;0;4;197;0;0;-1;0
99;27;24;0;0;0;0;-1;0
99;27;0;0;198;0;0;-1;0
100;27;23;0;0;0;0;-1;0
100;27;0;2;197;0;0;-1;0
101;27;23;0;0;0;0;-1;0
101;27;0;1;198;0;0;-1;0
102;27;23;0;0;0;0;-1;0
102;27;0;1;198;0;0;-1;0
103;27;23;0;0;0;0;-1;0
103;27;0;4;197;0;0;-1;0
104;27;23;0;0;0;0;-1;0
104;27;0;3;198;0;0;-1;0
105;27;23;0;0;0;0;-1;0
105;27;0;1;198;0;0;-1;0
106;27;23;0;0;0;0;-1;0
106;27;0;2;198;0;0;-1;0
107;27;23;0;0;0;0;-1;0
107;27;0;1;198;0;0;-1;0
108;27;24;0;0;0;0;-1;0
108;27;0;1;200;0;0;-1;0
109;27;23;0;0;0;0;-1;0
109;27;0;1;230;0;0;-1;0
110;27;24;0;0;0;0;-1;0
110;27;0;3;201;0;0;-1;0
111;27;23;0;0;0;0;-1;0
111;27;0;1;199;0;0;-1;0
112;27;25;0;0;0;0;-1;0
112;27;0;4;198;0;0;-1;0
113;27;24;0;0;0;0;-1;0
113;27;0;0;199;0;0;-1;0
114;27;24;0;0;0;0;-1;0
114;27;0;0;201;0;0;-1;0
115;27;23;0;0;0;0;-1;0
115;27;0;1;198;0;0;-1;0
116;27;24;0;0;0;0;-1;0
116;27;0;0;198;0;0;-1;0
117;27;23;0;0;0;0;-1;0
117;27;0;4;198;0;0;-1;0
118;27;23;0;0;0;0;-1;0
118;27;0;4;200;0;0;-1;0
119;27;23;0;0;0;0;-1;0
119;27;0;1;199;0;0;-1;0
120;27;24;0;0;0;0;-1;0
120;27;0;1;199;0;0;-1;0
121;27;24;0;0;0;0;-1;0
121;27;0;2;198;0;0;-1;0
122;27;23;0;0;0;0;-1;0
122;27;0;1;198;0;0;-1;0
123;27;23;0;0;0;0;-1;0
123;27;0;2;199;0;0;-1;0
124;27;23;0;0;0;0;-1;0
124;27;0;1;202;0;0;-1;0
125;27;23;0;0;0;0;-1;0
125;27;0;1;201;0;0;-1;0
126;27;23;0;0;0;0;-1;0
126;27;0;1;220;0;0;-1;0
127;27;23;0;0;0;0;-1;0
127;27;0;1;199;0;0;-1;0
128;27;23;0;0;0;0;-1;0
128;27;0;4;203;0;0;-1;0
129;27;23;0;0;0;0;-1;0
129;27;0;0;200;0;0;-1;0
130;27;24;0;0;0;0;-1;0
130;27;0;1;197;0;0;-1;0
131;23;24;0;0;0;0;-1;0
131;23;0;3;204;0;0;-1;0
132;23;23;0;0;0;0;-1;0
132;23;0;3;198;0;0;-1;0
133;26;23;0;0;0;0;-1;0
133;26;0;2;197;0;0;-1;0
134;26;24;0;0;0;0;-1;0
134;26;0;1;199;0;0;-1;0
135;26;23;0;0;0;0;-1;0
135;26;0;1;198;0;0;-1;0
136;26;24;0;0;0;0;-1;0
136;26;0;1;199;0;0;-1;0
137;26;23;0;0;0;0;-1;0
137;26;0;1;198;0;0;-1;0
138;26;23;0;0;0;0;-1;0
138;26;0;4;198;0;0;-1;0
139;26;23;0;0;0;0;-1;0
139;26;0;4;198;0;0;-1;0
140;26;23;0;0;0;0;-1;0
140;26;0;4;198;0;0;-1;0
141;26;24;0;0;0;0;-1;0
141;26;0;1;199;0;0;-1;0
142;26;23;0;0;0;0;-1;0
142;26;0;2;231;0;0;-1;0
143;26;23;0;0;0;0;-1;0
143;26;0;4;198;0;0;-1;0
144;26;24;0;0;0;0;-1;0
144;26;0;3;199;0;0;-1;0
145;26;24;0;0;0;0;-1;0
145;26;0;2;198;0;0;-1;0
146;26;23;0;0;0;0;-1;0
146;26;0;1;198;0;0;-1;0
147;26;24;0;0;0;0;-1;0
