mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;5;79;0;0;0;0;-1;0
1;5;0;18;229;0;0;-1;0
2;5;31;0;0;0;0;-1;0
2;5;0;1;241;0;0;-1;0
3;4;30;0;0;0;0;-1;0
3;4;0;1;200;0;0;-1;0
4;4;29;0;0;0;0;-1;0
4;4;0;1;210;0;0;-1;0
5;4;30;0;0;0;0;-1;0
5;4;0;1;219;0;0;-1;0
6;4;30;0;0;0;0;-1;0
6;4;0;4;201;0;0;-1;0
7;27;32;0;0;0;0;-1;0
7;27;0;7;197;0;0;-1;0
8;27;33;0;0;0;0;-1;0
8;27;0;1;202;0;0;-1;0
9;27;27;0;0;0;0;-1;0
9;27;0;0;195;0;0;-1;0
10;27;27;0;0;0;0;-1;0
10;27;0;4;196;0;0;-1;0
11;27;27;0;0;0;0;-1;0
11;27;0;5;198;0;0;-1;0
12;27;27;0;0;0;0;-1;0
12;27;0;5;206;0;0;-1;0
13;27;28;0;0;0;0;-1;0
13;27;0;1;214;0;0;-1;0
14;27;28;0;0;0;0;-1;0
14;27;0;2;213;0;0;-1;0
15;27;28;0;0;0;0;-1;0
15;27;0;1;211;0;0;-1;0
16;27;28;0;0;0;0;-1;0
16;27;0;1;196;0;0;-1;0
17;27;27;0;0;0;0;-1;0
17;27;0;1;214;0;0;-1;0
18;27;27;0;0;0;0;-1;0
18;27;0;1;194;0;0;-1;0
19;27;24;0;0;0;0;-1;0
19;27;0;1;197;0;0;-1;0
20;23;36;0;0;0;0;-1;0
20;23;0;15;195;0;0;-1;0
21;26;25;0;0;0;0;-1;0
21;26;0;2;203;0;0;-1;0
22;26;23;0;0;0;0;-1;0
22;26;0;1;195;0;0;-1;0
23;26;24;0;0;0;0;-1;0
23;26;0;1;195;0;0;-1;0
24;26;23;0;0;0;0;-1;0
24;26;0;1;194;0;0;-1;0
25;26;23;0;0;0;0;-1;0
25;26;0;1;195;0;0;-1;0
26;26;23;0;0;0;0;-1;0
26;26;0;1;193;0;0;-1;0
27;26;22;0;0;0;0;-1;0
27;26;0;4;194;0;0;-1;0
28;26;23;0;0;0;0;-1;0
28;26;0;1;200;0;0;-1;0
29;1;24;0;0;0;0;-1;0
29;1;0;1;211;0;0;-1;0
30;1;24;0;0;0;0;-1;0
30;1;0;1;211;0;0;-1;0
31;6;24;0;0;0;0;-1;0
31;6;0;1;211;0;0;-1;0
32;6;24;0;0;0;0;-1;0
32;6;0;1;218;0;0;-1;0
33;6;23;0;0;0;0;-1;0
33;6;0;0;203;0;0;-1;0
34;9;23;0;0;0;0;-1;0
34;9;0;1;194;0;0;-1;0
35;37;23;0;0;0;0;-1;0
35;37;0;3;194;0;0;-1;0
36;38;23;0;0;0;0;-1;0
36;38;0;1;194;0;0;-1;0
37;38;23;0;0;0;0;-1;0
37;38;0;1;194;0;0;-1;0
38;17;23;0;0;0;0;-1;0
38;17;0;2;203;0;0;-1;0
39;29;23;0;0;0;0;-1;0
39;29;0;1;194;0;0;-1;0
40;29;23;0;0;0;0;-1;0
40;29;0;1;196;0;0;-1;0
41;29;24;0;0;0;0;-1;0
41;29;0;1;195;0;0;-1;0
