mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;27;57;0;0;0;0;-1;0
1;27;0;7;250;0;0;-1;0
2;8;35;0;0;0;0;-1;0
2;8;0;5;231;0;0;-1;0
3;23;35;0;0;0;0;-1;0
3;23;0;4;246;0;0;-1;0
4;31;51;0;0;0;0;-1;0
4;31;0;5;227;0;0;-1;0
5;32;34;0;0;0;0;-1;0
5;32;0;29;228;0;0;-1;0
6;4;33;0;0;0;0;-1;0
6;4;0;2;236;0;0;-1;0
7;9;31;0;0;0;0;-1;0
7;9;0;2;227;0;0;-1;0
8;16;30;0;0;0;0;-1;0
8;16;0;5;227;0;0;-1;0
9;6;31;0;0;0;0;-1;0
9;6;0;4;230;0;0;-1;0
10;5;31;0;0;0;0;-1;0
10;5;0;2;242;0;0;-1;0
11;2;34;0;0;0;0;-1;0
11;2;0;5;244;0;0;-1;0
12;22;34;0;0;0;0;-1;0
12;22;0;2;246;0;0;-1;0
13;38;29;0;0;0;0;-1;0
13;38;0;2;227;0;0;-1;0
14;7;26;0;0;0;0;-1;0
14;7;0;2;226;0;0;-1;0
15;1;28;0;0;0;0;-1;0
15;1;0;1;226;0;0;-1;0
16;3;27;0;0;0;0;-1;0
16;3;0;1;225;0;0;-1;0
17;10;27;0;0;0;0;-1;0
17;10;0;2;226;0;0;-1;0
18;33;27;0;0;0;0;-1;0
18;33;0;5;239;0;0;-1;0
19;27;27;0;0;0;0;-1;0
19;27;0;4;-1;1;0;0;0
20;27;26;0;0;0;0;-1;0
20;27;0;4;226;0;0;-1;0
21;27;26;0;0;0;0;-1;0
21;27;0;5;225;0;0;-1;0
22;27;26;0;0;0;0;-1;0
22;27;0;4;226;0;0;-1;0
23;27;26;0;0;0;0;-1;0
23;27;0;5;231;0;0;-1;0
24;27;28;0;0;0;0;-1;0
24;27;0;4;245;0;0;-1;0
25;27;30;0;0;0;0;-1;0
25;27;0;4;245;0;0;-1;0
26;27;27;0;0;0;0;-1;0
26;27;0;5;244;0;0;-1;0
27;27;27;0;0;0;0;-1;0
27;27;0;4;246;0;0;-1;0
28;8;27;0;0;0;0;-1;0
28;8;0;1;-1;1;0;0;0
29;23;26;0;0;0;0;-1;0
29;23;0;3;-1;1;0;0;0
30;23;26;0;0;0;0;-1;0
30;23;0;3;225;0;0;-1;0
31;23;26;0;0;0;0;-1;0
31;23;0;2;225;0;0;-1;0
32;23;26;0;0;0;0;-1;0
32;23;0;4;224;0;0;-1;0
33;23;27;0;0;0;0;-1;0
33;23;0;3;225;0;0;-1;0
34;23;26;0;0;0;0;-1;0
34;23;0;4;224;0;0;-1;0
35;23;26;0;0;0;0;-1;0
35;23;0;2;225;0;0;-1;0
36;23;29;0;0;0;0;-1;0
36;23;0;1;240;0;0;-1;0
37;23;26;0;0;0;0;-1;0
37;23;0;2;224;0;0;-1;0
38;23;26;0;0;0;0;-1;0
38;23;0;3;228;0;0;-1;0
39;31;26;0;0;0;0;-1;0
39;31;0;4;-1;1;0;0;0
40;31;26;0;0;0;0;-1;0
40;31;0;8;224;0;0;-1;0
41;31;26;0;0;0;0;-1;0
41;31;0;4;225;0;0;-1;0
42;31;26;0;0;0;0;-1;0
42;31;0;5;224;0;0;-1;0
43;31;26;0;0;0;0;-1;0
43;31;0;5;224;0;0;-1;0
44;31;27;0;0;0;0;-1;0
44;31;0;4;225;0;0;-1;0
45;31;26;0;0;0;0;-1;0
45;31;0;4;233;0;0;-1;0
46;31;27;0;0;0;0;-1;0
46;31;0;5;252;0;0;-1;0
47;31;27;0;0;0;0;-1;0
47;31;0;4;245;0;0;-1;0
48;32;28;0;0;0;0;-1;0
48;32;0;4;-1;1;0;0;0
49;32;28;0;0;0;0;-1;0
49;32;0;2;244;0;0;-1;0
50;32;28;0;0;0;0;-1;0
50;32;0;4;256;0;0;-1;0
51;32;26;0;0;0;0;-1;0
51;32;0;3;225;0;0;-1;0
52;32;27;0;0;0;0;-1;0
52;32;0;1;226;0;0;-1;0
53;32;26;0;0;0;0;-1;0
53;32;0;6;225;0;0;-1;0
54;32;26;0;0;0;0;-1;0
54;32;0;4;225;0;0;-1;0
55;32;26;0;0;0;0;-1;0
55;32;0;4;225;0;0;-1;0
56;32;26;0;0;0;0;-1;0
56;32;0;3;226;0;0;-1;0
57;32;26;0;0;0;0;-1;0
57;32;0;4;226;0;0;-1;0
58;32;30;0;0;0;0;-1;0
58;32;0;3;225;0;0;-1;0
59;32;26;0;0;0;0;-1;0
59;32;0;2;225;0;0;-1;0
60;32;27;0;0;0;0;-1;0
60;32;0;1;226;0;0;-1;0
61;4;26;0;0;0;0;-1;0
61;4;0;2;-1;1;0;0;0
62;4;26;0;0;0;0;-1;0
62;4;0;1;235;0;0;-1;0
63;4;27;0;0;0;0;-1;0
63;4;0;1;225;0;0;-1;0
64;4;32;0;0;0;0;-1;0
64;4;0;1;356;0;0;-1;0
65;4;26;0;0;0;0;-1;0
65;4;0;1;300;0;0;-1;0
66;4;41;0;0;0;0;-1;0
66;4;0;1;320;0;0;-1;0
67;4;40;0;0;0;0;-1;0
67;4;0;1;225;0;0;-1;0
68;4;26;0;0;0;0;-1;0
68;4;0;2;226;0;0;-1;0
69;4;27;0;0;0;0;-1;0
69;4;0;2;228;0;0;-1;0
70;4;26;0;0;0;0;-1;0
70;4;0;2;226;0;0;-1;0
71;4;26;0;0;0;0;-1;0
71;4;0;2;226;0;0;-1;0
72;4;26;0;0;0;0;-1;0
72;4;0;2;227;0;0;-1;0
73;4;26;0;0;0;0;-1;0
73;4;0;6;226;0;0;-1;0
74;4;26;0;0;0;0;-1;0
74;4;0;6;227;0;0;-1;0
75;4;26;0;0;0;0;-1;0
75;4;0;7;228;0;0;-1;0
76;4;26;0;0;0;0;-1;0
76;4;0;6;232;0;0;-1;0
77;4;26;0;0;0;0;-1;0
77;4;0;6;225;0;0;-1;0
78;4;25;0;0;0;0;-1;0
78;4;0;6;252;0;0;-1;0
79;4;29;0;0;0;0;-1;0
79;4;0;6;227;0;0;-1;0
80;4;27;0;0;0;0;-1;0
80;4;0;6;229;0;0;-1;0
81;4;26;0;0;0;0;-1;0
81;4;0;6;225;0;0;-1;0
82;4;26;0;0;0;0;-1;0
82;4;0;6;226;0;0;-1;0
83;4;26;0;0;0;0;-1;0
83;4;0;3;225;0;0;-1;0
84;4;26;0;0;0;0;-1;0
84;4;0;3;226;0;0;-1;0
85;9;27;0;0;0;0;-1;0
85;9;0;1;-1;1;0;0;0
86;9;27;0;0;0;0;-1;0
86;9;0;0;225;0;0;-1;0
87;9;26;0;0;0;0;-1;0
87;9;0;1;225;0;0;-1;0
88;9;26;0;0;0;0;-1;0
88;9;0;1;225;0;0;-1;0
89;9;26;0;0;0;0;-1;0
89;9;0;1;225;0;0;-1;0
90;9;26;0;0;0;0;-1;0
90;9;0;0;225;0;0;-1;0
91;9;26;0;0;0;0;-1;0
91;9;0;1;224;0;0;-1;0
92;9;26;0;0;0;0;-1;0
92;9;0;1;250;0;0;-1;0
93;9;27;0;0;0;0;-1;0
93;9;0;0;226;0;0;-1;0
94;9;27;0;0;0;0;-1;0
94;9;0;0;227;0;0;-1;0
95;9;26;0;0;0;0;-1;0
