mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;27;57;0;0;0;0;-1;0
1;27;0;5;245;0;0;-1;0
2;27;34;0;0;0;0;-1;0
2;27;0;5;230;0;0;-1;0
3;27;34;0;0;0;0;-1;0
3;27;0;4;245;0;0;-1;0
4;27;57;0;0;0;0;-1;0
4;27;0;5;225;0;0;-1;0
5;27;31;0;0;0;0;-1;0
5;27;0;4;226;0;0;-1;0
6;27;30;0;0;0;0;-1;0
6;27;0;4;232;0;0;-1;0
7;27;29;0;0;0;0;-1;0
7;27;0;4;225;0;0;-1;0
8;27;29;0;0;0;0;-1;0
8;27;0;5;224;0;0;-1;0
9;27;30;0;0;0;0;-1;0
9;27;0;4;231;0;0;-1;0
10;8;30;0;0;0;0;-1;0
10;8;0;2;243;0;0;-1;0
11;23;33;0;0;0;0;-1;0
11;23;0;3;242;0;0;-1;0
12;23;34;0;0;0;0;-1;0
12;23;0;3;246;0;0;-1;0
13;23;28;0;0;0;0;-1;0
13;23;0;2;223;0;0;-1;0
14;23;27;0;0;0;0;-1;0
14;23;0;4;224;0;0;-1;0
15;23;27;0;0;0;0;-1;0
15;23;0;3;223;0;0;-1;0
16;23;26;0;0;0;0;-1;0
16;23;0;3;224;0;0;-1;0
17;23;26;0;0;0;0;-1;0
17;23;0;1;224;0;0;-1;0
18;23;26;0;0;0;0;-1;0
18;23;0;1;234;0;0;-1;0
19;23;26;0;0;0;0;-1;0
19;23;0;1;224;0;0;-1;0
20;23;26;0;0;0;0;-1;0
20;23;0;3;223;0;0;-1;0
21;31;26;0;0;0;0;-1;0
21;31;0;5;224;0;0;-1;0
22;31;26;0;0;0;0;-1;0
22;31;0;4;223;0;0;-1;0
23;31;26;0;0;0;0;-1;0
23;31;0;4;225;0;0;-1;0
24;31;27;0;0;0;0;-1;0
24;31;0;4;239;0;0;-1;0
25;31;27;0;0;0;0;-1;0
25;31;0;4;242;0;0;-1;0
26;31;27;0;0;0;0;-1;0
26;31;0;4;242;0;0;-1;0
27;31;28;0;0;0;0;-1;0
27;31;0;4;243;0;0;-1;0
28;31;26;0;0;0;0;-1;0
28;31;0;4;224;0;0;-1;0
29;31;26;0;0;0;0;-1;0
29;31;0;4;224;0;0;-1;0
30;32;26;0;0;0;0;-1;0
30;32;0;15;230;0;0;-1;0
31;32;29;0;0;0;0;-1;0
31;32;0;2;225;0;0;-1;0
32;32;27;0;0;0;0;-1;0
32;32;0;5;224;0;0;-1;0
33;32;27;0;0;0;0;-1;0
33;32;0;4;224;0;0;-1;0
34;32;27;0;0;0;0;-1;0
34;32;0;1;224;0;0;-1;0
35;32;27;0;0;0;0;-1;0
35;32;0;7;224;0;0;-1;0
36;32;29;0;0;0;0;-1;0
36;32;0;4;241;0;0;-1;0
37;32;27;0;0;0;0;-1;0
37;32;0;4;223;0;0;-1;0
38;32;27;0;0;0;0;-1;0
38;32;0;4;224;0;0;-1;0
39;32;27;0;0;0;0;-1;0
39;32;0;4;223;0;0;-1;0
40;32;27;0;0;0;0;-1;0
40;32;0;3;223;0;0;-1;0
41;32;27;0;0;0;0;-1;0
41;32;0;2;224;0;0;-1;0
42;32;27;0;0;0;0;-1;0
42;32;0;1;224;0;0;-1;0
43;4;27;0;0;0;0;-1;0
43;4;0;2;224;0;0;-1;0
44;4;27;0;0;0;0;-1;0
44;4;0;1;224;0;0;-1;0
45;4;27;0;0;0;0;-1;0
45;4;0;1;232;0;0;-1;0
46;4;28;0;0;0;0;-1;0
46;4;0;1;245;0;0;-1;0
47;4;29;0;0;0;0;-1;0
47;4;0;1;244;0;0;-1;0
48;4;28;0;0;0;0;-1;0
48;4;0;1;243;0;0;-1;0
49;4;28;0;0;0;0;-1;0
49;4;0;1;242;0;0;-1;0
50;4;28;0;0;0;0;-1;0
50;4;0;2;254;0;0;-1;0
51;4;26;0;0;0;0;-1;0
51;4;0;4;224;0;0;-1;0
52;4;26;0;0;0;0;-1;0
52;4;0;3;224;0;0;-1;0
53;4;26;0;0;0;0;-1;0
53;4;0;2;224;0;0;-1;0
54;4;26;0;0;0;0;-1;0
54;4;0;1;224;0;0;-1;0
55;4;26;0;0;0;0;-1;0
55;4;0;6;224;0;0;-1;0
56;4;26;0;0;0;0;-1;0
56;4;0;6;224;0;0;-1;0
57;4;26;0;0;0;0;-1;0
57;4;0;6;226;0;0;-1;0
58;4;27;0;0;0;0;-1;0
58;4;0;6;226;0;0;-1;0
59;4;27;0;0;0;0;-1;0
59;4;0;6;227;0;0;-1;0
60;4;27;0;0;0;0;-1;0
60;4;0;6;224;0;0;-1;0
61;4;27;0;0;0;0;-1;0
61;4;0;6;223;0;0;-1;0
62;4;27;0;0;0;0;-1;0
62;4;0;6;223;0;0;-1;0
63;4;27;0;0;0;0;-1;0
63;4;0;6;226;0;0;-1;0
64;4;27;0;0;0;0;-1;0
64;4;0;6;244;0;0;-1;0
65;4;27;0;0;0;0;-1;0
65;4;0;3;224;0;0;-1;0
66;4;27;0;0;0;0;-1;0
66;4;0;3;224;0;0;-1;0
67;9;27;0;0;0;0;-1;0
