mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;27;57;0;0;0;0;-1;0
1;27;0;6;264;0;0;-1;0
2;8;37;0;0;0;0;-1;0
2;8;0;2;233;0;0;-1;0
3;23;36;0;0;0;0;-1;0
3;23;0;4;268;0;0;-1;0
4;31;35;0;0;0;0;-1;0
4;31;0;5;228;0;0;-1;0
5;32;36;0;0;0;0;-1;0
5;32;0;38;232;0;0;-1;0
6;32;34;0;0;0;0;-1;0
6;32;0;4;247;0;0;-1;0
7;4;33;0;0;0;0;-1;0
7;4;0;2;228;0;0;-1;0
8;4;33;0;0;0;0;-1;0
8;4;0;1;228;0;0;-1;0
9;4;32;0;0;0;0;-1;0
9;4;0;2;235;0;0;-1;0
10;9;32;0;0;0;0;-1;0
10;9;0;2;246;0;0;-1;0
11;9;35;0;0;0;0;-1;0
11;9;0;0;252;0;0;-1;0
12;9;36;0;0;0;0;-1;0
12;9;0;1;249;0;0;-1;0
13;16;30;0;0;0;0;-1;0
13;16;0;5;229;0;0;-1;0
14;6;32;0;0;0;0;-1;0
14;6;0;4;229;0;0;-1;0
15;6;29;0;0;0;0;-1;0
15;6;0;4;228;0;0;-1;0
16;6;29;0;0;0;0;-1;0
16;6;0;4;227;0;0;-1;0
17;5;28;0;0;0;0;-1;0
17;5;0;1;227;0;0;-1;0
18;2;28;0;0;0;0;-1;0
18;2;0;4;236;0;0;-1;0
19;2;29;0;0;0;0;-1;0
19;2;0;4;227;0;0;-1;0
20;2;28;0;0;0;0;-1;0
20;2;0;4;226;0;0;-1;0
21;22;28;0;0;0;0;-1;0
21;22;0;2;227;0;0;-1;0
22;22;27;0;0;0;0;-1;0
22;22;0;2;226;0;0;-1;0
23;22;28;0;0;0;0;-1;0
23;22;0;1;229;0;0;-1;0
24;22;29;0;0;0;0;-1;0
24;22;0;1;242;0;0;-1;0
25;22;29;0;0;0;0;-1;0
25;22;0;4;244;0;0;-1;0
26;22;29;0;0;0;0;-1;0
26;22;0;1;244;0;0;-1;0
27;22;30;0;0;0;0;-1;0
27;22;0;1;257;0;0;-1;0
28;22;28;0;0;0;0;-1;0
28;22;0;1;227;0;0;-1;0
29;22;28;0;0;0;0;-1;0
29;22;0;1;229;0;0;-1;0
30;22;29;0;0;0;0;-1;0
30;22;0;3;231;0;0;-1;0
31;22;28;0;0;0;0;-1;0
31;22;0;1;227;0;0;-1;0
32;22;28;0;0;0;0;-1;0
32;22;0;1;226;0;0;-1;0
33;22;28;0;0;0;0;-1;0
33;22;0;1;232;0;0;-1;0
