mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;1;28;0;0;0;0;-1;0
1;1;0;2;98;0;0;-1;0
2;1;18;0;0;0;0;-1;0
2;1;0;1;105;0;0;-1;0
3;1;16;0;0;0;0;-1;0
3;1;0;1;106;0;0;-1;0
4;1;18;0;0;0;0;-1;0
4;1;0;1;89;0;0;-1;0
5;5;14;0;0;0;0;-1;0
5;5;0;15;89;0;0;-1;0
6;5;12;0;0;0;0;-1;0
6;5;0;1;88;0;0;-1;0
7;5;12;0;0;0;0;-1;0
7;5;0;1;101;0;0;-1;0
8;2;12;0;0;0;0;-1;0
8;2;0;1;88;0;0;-1;0
9;2;12;0;0;0;0;-1;0
9;2;0;2;87;0;0;-1;0
10;2;12;0;0;0;0;-1;0
10;2;0;1;87;0;0;-1;0
11;2;11;0;0;0;0;-1;0
11;2;0;7;87;0;0;-1;0
12;2;11;0;0;0;0;-1;0
12;2;0;5;90;0;0;-1;0
13;2;12;0;0;0;0;-1;0
13;2;0;3;93;0;0;-1;0
14;2;12;0;0;0;0;-1;0
14;2;0;2;93;0;0;-1;0
15;2;12;0;0;0;0;-1;0
15;2;0;2;94;0;0;-1;0
16;2;12;0;0;0;0;-1;0
16;2;0;0;-1;1;0;0;0
17;2;11;0;0;0;0;-1;0
17;2;0;1;-1;1;0;0;0
18;2;12;0;0;0;0;-1;0
18;2;0;0;-1;1;0;0;0
19;31;11;0;0;0;0;-1;0
19;31;0;2;87;0;0;-1;0
20;31;12;0;0;0;0;-1;0
20;31;0;1;87;0;0;-1;0
21;31;12;0;0;0;0;-1;0
21;31;0;0;88;0;0;-1;0
22;31;11;0;0;0;0;-1;0
22;31;0;1;87;0;0;-1;0
23;31;11;0;0;0;0;-1;0
23;31;0;0;87;0;0;-1;0
24;31;12;0;0;0;0;-1;0
24;31;0;4;86;0;0;-1;0
25;31;11;0;0;0;0;-1;0
25;31;0;15;87;0;0;-1;0
26;31;12;0;0;0;0;-1;0
26;31;0;1;87;0;0;-1;0
27;31;11;0;0;0;0;-1;0
27;31;0;1;87;0;0;-1;0
28;31;11;0;0;0;0;-1;0
28;31;0;0;87;0;0;-1;0
29;31;11;0;0;0;0;-1;0
29;31;0;1;87;0;0;-1;0
30;37;12;0;0;0;0;-1;0
30;37;0;5;87;0;0;-1;0
31;37;11;0;0;0;0;-1;0
31;37;0;5;87;0;0;-1;0
32;37;11;0;0;0;0;-1;0
32;37;0;5;86;0;0;-1;0
33;38;12;0;0;0;0;-1;0
33;38;0;2;87;0;0;-1;0
34;38;11;0;0;0;0;-1;0
34;38;0;2;91;0;0;-1;0
35;38;11;0;0;0;0;-1;0
35;38;0;4;95;0;0;-1;0
36;38;12;0;0;0;0;-1;0
36;38;0;1;93;0;0;-1;0
37;26;11;0;0;0;0;-1;0
37;26;0;3;95;0;0;-1;0
38;26;12;0;0;0;0;-1;0
38;26;0;1;93;0;0;-1;0
39;26;11;0;0;0;0;-1;0
39;26;0;1;92;0;0;-1;0
40;26;11;0;0;0;0;-1;0
40;26;0;1;92;0;0;-1;0
41;26;11;0;0;0;0;-1;0
41;26;0;1;92;0;0;-1;0
42;26;11;0;0;0;0;-1;0
42;26;0;1;102;0;0;-1;0
43;32;10;0;0;0;0;-1;0
43;32;0;2;87;0;0;-1;0
44;32;10;0;0;0;0;-1;0
44;32;0;1;86;0;0;-1;0
45;32;11;0;0;0;0;-1;0
45;32;0;1;87;0;0;-1;0
46;10;10;0;0;0;0;-1;0
46;10;0;1;87;0;0;-1;0
47;10;10;0;0;0;0;-1;0
47;10;0;1;87;0;0;-1;0
48;10;10;0;0;0;0;-1;0
48;10;0;1;86;0;0;-1;0
49;10;10;0;0;0;0;-1;0
49;10;0;1;87;0;0;-1;0
50;10;9;0;0;0;0;-1;0
50;10;0;1;87;0;0;-1;0
51;10;10;0;0;0;0;-1;0
51;10;0;1;87;0;0;-1;0
52;10;9;0;0;0;0;-1;0
52;10;0;1;88;0;0;-1;0
53;10;10;0;0;0;0;-1;0
53;10;0;1;86;0;0;-1;0
54;10;10;0;0;0;0;-1;0
54;10;0;1;86;0;0;-1;0
55;10;10;0;0;0;0;-1;0
55;10;0;1;86;0;0;-1;0
56;10;10;0;0;0;0;-1;0
56;10;0;0;87;0;0;-1;0
57;10;10;0;0;0;0;-1;0
57;10;0;0;87;0;0;-1;0
58;10;9;0;0;0;0;-1;0
58;10;0;1;87;0;0;-1;0
59;10;9;0;0;0;0;-1;0
59;10;0;1;98;0;0;-1;0
60;10;10;0;0;0;0;-1;0
60;10;0;1;87;0;0;-1;0
61;10;10;0;0;0;0;-1;0
61;10;0;1;86;0;0;-1;0
62;10;9;0;0;0;0;-1;0
62;10;0;1;86;0;0;-1;0
63;10;10;0;0;0;0;-1;0
63;10;0;1;86;0;0;-1;0
64;10;10;0;0;0;0;-1;0
64;10;0;0;87;0;0;-1;0
65;10;9;0;0;0;0;-1;0
65;10;0;1;87;0;0;-1;0
66;10;10;0;0;0;0;-1;0
66;10;0;0;87;0;0;-1;0
67;10;10;0;0;0;0;-1;0
67;10;0;0;87;0;0;-1;0
68;10;9;0;0;0;0;-1;0
68;10;0;1;87;0;0;-1;0
69;10;9;0;0;0;0;-1;0
69;10;0;1;86;0;0;-1;0
70;10;9;0;0;0;0;-1;0
70;10;0;1;87;0;0;-1;0
71;10;9;0;0;0;0;-1;0
71;10;0;1;87;0;0;-1;0
72;10;9;0;0;0;0;-1;0
72;10;0;1;87;0;0;-1;0
73;10;10;0;0;0;0;-1;0
73;10;0;0;87;0;0;-1;0
74;10;9;0;0;0;0;-1;0
74;10;0;1;86;0;0;-1;0
75;10;10;0;0;0;0;-1;0
75;10;0;1;86;0;0;-1;0
76;10;10;0;0;0;0;-1;0
76;10;0;1;86;0;0;-1;0
77;10;10;0;0;0;0;-1;0
77;10;0;1;87;0;0;-1;0
78;10;10;0;0;0;0;-1;0
78;10;0;1;90;0;0;-1;0
79;10;10;0;0;0;0;-1;0
79;10;0;0;93;0;0;-1;0
80;10;10;0;0;0;0;-1;0
80;10;0;1;93;0;0;-1;0
81;10;10;0;0;0;0;-1;0
81;10;0;1;93;0;0;-1;0
82;10;10;0;0;0;0;-1;0
82;10;0;1;92;0;0;-1;0
83;10;10;0;0;0;0;-1;0
83;10;0;1;93;0;0;-1;0
84;10;10;0;0;0;0;-1;0
84;10;0;0;93;0;0;-1;0
85;10;10;0;0;0;0;-1;0
85;10;0;0;94;0;0;-1;0
86;10;10;0;0;0;0;-1;0
86;10;0;1;93;0;0;-1;0
87;10;10;0;0;0;0;-1;0
87;10;0;0;106;0;0;-1;0
88;10;10;0;0;0;0;-1;0
88;10;0;1;93;0;0;-1;0
89;10;10;0;0;0;0;-1;0
89;10;0;1;95;0;0;-1;0
90;10;10;0;0;0;0;-1;0
90;10;0;1;94;0;0;-1;0
91;10;10;0;0;0;0;-1;0
91;10;0;1;93;0;0;-1;0
92;10;11;0;0;0;0;-1;0
92;10;0;0;93;0;0;-1;0
93;10;10;0;0;0;0;-1;0
93;10;0;1;93;0;0;-1;0
94;10;10;0;0;0;0;-1;0
94;10;0;1;112;0;0;-1;0
95;10;11;0;0;0;0;-1;0
95;10;0;1;86;0;0;-1;0
96;10;10;0;0;0;0;-1;0
96;10;0;1;86;0;0;-1;0
97;10;10;0;0;0;0;-1;0
97;10;0;2;87;0;0;-1;0
98;10;11;0;0;0;0;-1;0
98;10;0;1;86;0;0;-1;0
99;10;10;0;0;0;0;-1;0
99;10;0;1;86;0;0;-1;0
100;10;11;0;0;0;0;-1;0
100;10;0;1;86;0;0;-1;0
101;10;10;0;0;0;0;-1;0
101;10;0;1;86;0;0;-1;0
102;10;10;0;0;0;0;-1;0
102;10;0;1;86;0;0;-1;0
103;10;11;0;0;0;0;-1;0
103;10;0;0;87;0;0;-1;0
104;10;9;0;0;0;0;-1;0
104;10;0;1;86;0;0;-1;0
105;10;10;0;0;0;0;-1;0
105;10;0;1;86;0;0;-1;0
106;10;10;0;0;0;0;-1;0
106;10;0;1;86;0;0;-1;0
107;10;9;0;0;0;0;-1;0
107;10;0;1;87;0;0;-1;0
108;10;9;0;0;0;0;-1;0
108;10;0;1;86;0;0;-1;0
109;10;10;0;0;0;0;-1;0
109;10;0;0;87;0;0;-1;0
110;10;9;0;0;0;0;-1;0
110;10;0;1;87;0;0;-1;0
111;10;10;0;0;0;0;-1;0
111;10;0;1;86;0;0;-1;0
112;10;10;0;0;0;0;-1;0
