mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;1;26;0;0;0;0;-1;0
1;1;0;1;388;0;0;-1;0
2;5;16;0;0;0;0;-1;0
2;5;0;11;185;0;0;-1;0
3;2;14;0;0;0;0;-1;0
3;2;0;3;122;0;0;-1;0
4;2;25;0;0;0;0;-1;0
4;2;0;0;94;0;0;-1;0
5;2;18;0;0;0;0;-1;0
5;2;0;1;97;0;0;-1;0
6;31;11;0;0;0;0;-1;0
6;31;0;2;94;0;0;-1;0
7;31;12;0;0;0;0;-1;0
7;31;0;1;98;0;0;-1;0
8;31;12;0;0;0;0;-1;0
8;31;0;2;87;0;0;-1;0
9;37;11;0;0;0;0;-1;0
9;37;0;6;87;0;0;-1;0
10;38;11;0;0;0;0;-1;0
10;38;0;2;88;0;0;-1;0
11;26;10;0;0;0;0;-1;0
11;26;0;2;95;0;0;-1;0
12;26;11;0;0;0;0;-1;0
12;26;0;2;87;0;0;-1;0
13;32;11;0;0;0;0;-1;0
13;32;0;2;88;0;0;-1;0
14;10;11;0;0;0;0;-1;0
14;10;0;1;88;0;0;-1;0
15;10;11;0;0;0;0;-1;0
15;10;0;0;88;0;0;-1;0
16;10;11;0;0;0;0;-1;0
16;10;0;1;88;0;0;-1;0
17;10;11;0;0;0;0;-1;0
17;10;0;1;94;0;0;-1;0
18;10;11;0;0;0;0;-1;0
18;10;0;1;93;0;0;-1;0
19;10;11;0;0;0;0;-1;0
19;10;0;1;94;0;0;-1;0
20;10;11;0;0;0;0;-1;0
20;10;0;1;104;0;0;-1;0
21;10;11;0;0;0;0;-1;0
21;10;0;1;88;0;0;-1;0
22;10;11;0;0;0;0;-1;0
22;10;0;0;88;0;0;-1;0
23;10;11;0;0;0;0;-1;0
23;10;0;1;87;0;0;-1;0
24;10;11;0;0;0;0;-1;0
24;10;0;1;87;0;0;-1;0
25;10;11;0;0;0;0;-1;0
25;10;0;1;87;0;0;-1;0
26;10;10;0;0;0;0;-1;0
26;10;0;1;88;0;0;-1;0
27;10;11;0;0;0;0;-1;0
27;10;0;1;87;0;0;-1;0
28;10;11;0;0;0;0;-1;0
28;10;0;1;87;0;0;-1;0
29;10;11;0;0;0;0;-1;0
29;10;0;1;93;0;0;-1;0
30;10;10;0;0;0;0;-1;0
30;10;0;1;87;0;0;-1;0
31;10;11;0;0;0;0;-1;0
31;10;0;1;92;0;0;-1;0
32;10;11;0;0;0;0;-1;0
32;10;0;1;88;0;0;-1;0
33;3;12;0;0;0;0;-1;0
33;3;0;1;87;0;0;-1;0
34;22;11;0;0;0;0;-1;0
34;22;0;5;88;0;0;-1;0
35;22;11;0;0;0;0;-1;0
35;22;0;4;87;0;0;-1;0
36;22;11;0;0;0;0;-1;0
36;22;0;4;88;0;0;-1;0
37;22;11;0;0;0;0;-1;0
37;22;0;4;88;0;0;-1;0
38;22;11;0;0;0;0;-1;0
38;22;0;4;90;0;0;-1;0
39;22;11;0;0;0;0;-1;0
39;22;0;4;91;0;0;-1;0
40;22;11;0;0;0;0;-1;0
40;22;0;5;94;0;0;-1;0
41;22;10;0;0;0;0;-1;0
41;22;0;1;94;0;0;-1;0
42;22;10;0;0;0;0;-1;0
42;22;0;5;93;0;0;-1;0
43;22;11;0;0;0;0;-1;0
43;22;0;4;93;0;0;-1;0
44;22;11;0;0;0;0;-1;0
44;22;0;1;93;0;0;-1;0
45;22;10;0;0;0;0;-1;0
45;22;0;5;93;0;0;-1;0
46;22;10;0;0;0;0;-1;0
46;22;0;5;93;0;0;-1;0
47;22;11;0;0;0;0;-1;0
47;22;0;15;87;0;0;-1;0
48;22;11;0;0;0;0;-1;0
48;22;0;4;87;0;0;-1;0
49;22;10;0;0;0;0;-1;0
49;22;0;5;88;0;0;-1;0
50;22;10;0;0;0;0;-1;0
50;22;0;4;87;0;0;-1;0
51;22;10;0;0;0;0;-1;0
51;22;0;1;87;0;0;-1;0
52;22;10;0;0;0;0;-1;0
52;22;0;1;87;0;0;-1;0
53;22;10;0;0;0;0;-1;0
53;22;0;4;87;0;0;-1;0
54;22;10;0;0;0;0;-1;0
54;22;0;1;87;0;0;-1;0
55;22;10;0;0;0;0;-1;0
55;22;0;1;87;0;0;-1;0
56;22;9;0;0;0;0;-1;0
56;22;0;4;87;0;0;-1;0
57;22;9;0;0;0;0;-1;0
57;22;0;1;87;0;0;-1;0
58;22;9;0;0;0;0;-1;0
58;22;0;4;88;0;0;-1;0
59;22;9;0;0;0;0;-1;0
59;22;0;1;87;0;0;-1;0
60;22;9;0;0;0;0;-1;0
60;22;0;4;87;0;0;-1;0
61;22;10;0;0;0;0;-1;0
61;22;0;1;87;0;0;-1;0
62;22;10;0;0;0;0;-1;0
62;22;0;4;88;0;0;-1;0
63;22;10;0;0;0;0;-1;0
63;22;0;4;87;0;0;-1;0
64;22;10;0;0;0;0;-1;0
64;22;0;1;98;0;0;-1;0
65;22;10;0;0;0;0;-1;0
65;22;0;1;87;0;0;-1;0
66;22;9;0;0;0;0;-1;0
66;22;0;4;87;0;0;-1;0
67;22;10;0;0;0;0;-1;0
67;22;0;2;87;0;0;-1;0
68;22;9;0;0;0;0;-1;0
68;22;0;5;87;0;0;-1;0
69;22;9;0;0;0;0;-1;0
69;22;0;4;87;0;0;-1;0
70;22;11;0;0;0;0;-1;0
70;22;0;4;87;0;0;-1;0
71;22;9;0;0;0;0;-1;0
71;22;0;4;87;0;0;-1;0
72;22;10;0;0;0;0;-1;0
72;22;0;3;87;0;0;-1;0
73;22;10;0;0;0;0;-1;0
73;22;0;1;87;0;0;-1;0
74;22;9;0;0;0;0;-1;0
74;22;0;4;87;0;0;-1;0
75;22;9;0;0;0;0;-1;0
75;22;0;1;88;0;0;-1;0
76;22;9;0;0;0;0;-1;0
76;22;0;1;88;0;0;-1;0
77;22;10;0;0;0;0;-1;0
77;22;0;1;86;0;0;-1;0
78;22;10;0;0;0;0;-1;0
78;22;0;4;87;0;0;-1;0
79;22;9;0;0;0;0;-1;0
79;22;0;4;87;0;0;-1;0
80;22;10;0;0;0;0;-1;0
80;22;0;3;88;0;0;-1;0
81;22;10;0;0;0;0;-1;0
81;22;0;1;87;0;0;-1;0
82;22;9;0;0;0;0;-1;0
82;22;0;4;89;0;0;-1;0
83;22;10;0;0;0;0;-1;0
83;22;0;4;91;0;0;-1;0
84;22;10;0;0;0;0;-1;0
84;22;0;4;92;0;0;-1;0
85;22;10;0;0;0;0;-1;0
85;22;0;1;92;0;0;-1;0
86;22;10;0;0;0;0;-1;0
86;22;0;4;93;0;0;-1;0
87;22;10;0;0;0;0;-1;0
87;22;0;0;93;0;0;-1;0
88;22;10;0;0;0;0;-1;0
88;22;0;1;92;0;0;-1;0
89;22;10;0;0;0;0;-1;0
89;22;0;1;93;0;0;-1;0
90;22;10;0;0;0;0;-1;0
90;22;0;1;92;0;0;-1;0
91;22;10;0;0;0;0;-1;0
91;22;0;1;93;0;0;-1;0
92;22;10;0;0;0;0;-1;0
92;22;0;4;121;0;0;-1;0
93;22;10;0;0;0;0;-1;0
93;22;0;3;92;0;0;-1;0
94;22;11;0;0;0;0;-1;0
94;22;0;3;93;0;0;-1;0
95;22;11;0;0;0;0;-1;0
95;22;0;4;89;0;0;-1;0
96;22;9;0;0;0;0;-1;0
96;22;0;4;87;0;0;-1;0
97;22;9;0;0;0;0;-1;0
97;22;0;4;87;0;0;-1;0
98;22;10;0;0;0;0;-1;0
98;22;0;1;86;0;0;-1;0
99;22;11;0;0;0;0;-1;0
99;22;0;3;87;0;0;-1;0
100;22;11;0;0;0;0;-1;0
100;22;0;3;88;0;0;-1;0
101;22;10;0;0;0;0;-1;0
101;22;0;1;87;0;0;-1;0
102;22;10;0;0;0;0;-1;0
102;22;0;3;88;0;0;-1;0
103;22;10;0;0;0;0;-1;0
103;22;0;1;87;0;0;-1;0
104;22;10;0;0;0;0;-1;0
104;22;0;1;87;0;0;-1;0
105;22;9;0;0;0;0;-1;0
105;22;0;1;87;0;0;-1;0
106;22;9;0;0;0;0;-1;0
106;22;0;4;89;0;0;-1;0
107;22;10;0;0;0;0;-1;0
107;22;0;3;87;0;0;-1;0
108;22;9;0;0;0;0;-1;0
108;22;0;4;87;0;0;-1;0
109;22;9;0;0;0;0;-1;0
109;22;0;4;86;0;0;-1;0
110;22;10;0;0;0;0;-1;0
110;22;0;0;87;0;0;-1;0
111;22;9;0;0;0;0;-1;0
111;22;0;4;87;0;0;-1;0
