mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;27;37;0;0;0;0;-1;0
1;27;0;4;189;0;0;-1;0
2;27;25;0;0;0;0;-1;0
2;27;0;4;187;0;0;-1;0
3;27;22;0;0;0;0;-1;0
3;27;0;3;172;0;0;-1;0
4;27;21;0;0;0;0;-1;0
4;27;0;3;187;0;0;-1;0
5;27;19;0;0;0;0;-1;0
5;27;0;3;170;0;0;-1;0
6;27;18;0;0;0;0;-1;0
6;27;0;3;170;0;0;-1;0
7;27;17;0;0;0;0;-1;0
7;27;0;3;178;0;0;-1;0
8;27;18;0;0;0;0;-1;0
8;27;0;3;169;0;0;-1;0
9;27;17;0;0;0;0;-1;0
9;27;0;3;170;0;0;-1;0
10;27;18;0;0;0;0;-1;0
10;27;0;3;176;0;0;-1;0
11;27;19;0;0;0;0;-1;0
11;27;0;2;180;0;0;-1;0
12;27;18;0;0;0;0;-1;0
12;27;0;3;187;0;0;-1;0
13;27;17;0;0;0;0;-1;0
13;27;0;2;170;0;0;-1;0
14;27;17;0;0;0;0;-1;0
14;27;0;2;173;0;0;-1;0
15;27;17;0;0;0;0;-1;0
15;27;0;2;170;0;0;-1;0
16;27;16;0;0;0;0;-1;0
16;27;0;3;170;0;0;-1;0
17;27;17;0;0;0;0;-1;0
17;27;0;3;174;0;0;-1;0
18;27;17;0;0;0;0;-1;0
18;27;0;2;169;0;0;-1;0
19;27;17;0;0;0;0;-1;0
19;27;0;2;177;0;0;-1;0
20;27;17;0;0;0;0;-1;0
20;27;0;1;170;0;0;-1;0
21;27;18;0;0;0;0;-1;0
21;27;0;4;170;0;0;-1;0
22;27;16;0;0;0;0;-1;0
22;27;0;4;171;0;0;-1;0
23;27;17;0;0;0;0;-1;0
23;27;0;5;177;0;0;-1;0
24;27;18;0;0;0;0;-1;0
24;27;0;5;181;0;0;-1;0
25;27;16;0;0;0;0;-1;0
25;27;0;4;181;0;0;-1;0
26;27;16;0;0;0;0;-1;0
26;27;0;4;181;0;0;-1;0
27;27;15;0;0;0;0;-1;0
27;27;0;5;180;0;0;-1;0
28;27;15;0;0;0;0;-1;0
28;27;0;5;184;0;0;-1;0
29;27;15;0;0;0;0;-1;0
29;27;0;4;170;0;0;-1;0
30;27;15;0;0;0;0;-1;0
30;27;0;4;171;0;0;-1;0
31;27;15;0;0;0;0;-1;0
31;27;0;4;171;0;0;-1;0
32;27;15;0;0;0;0;-1;0
32;27;0;4;172;0;0;-1;0
33;27;14;0;0;0;0;-1;0
33;27;0;5;170;0;0;-1;0
34;27;15;0;0;0;0;-1;0
34;27;0;4;171;0;0;-1;0
35;27;15;0;0;0;0;-1;0
35;27;0;1;171;0;0;-1;0
36;27;15;0;0;0;0;-1;0
36;27;0;0;171;0;0;-1;0
37;27;14;0;0;0;0;-1;0
37;27;0;1;170;0;0;-1;0
38;2;15;0;0;0;0;-1;0
38;2;0;6;181;0;0;-1;0
39;2;15;0;0;0;0;-1;0
39;2;0;4;170;0;0;-1;0
40;2;15;0;0;0;0;-1;0
40;2;0;2;169;0;0;-1;0
41;31;15;0;0;0;0;-1;0
41;31;0;3;170;0;0;-1;0
42;31;15;0;0;0;0;-1;0
42;31;0;2;170;0;0;-1;0
43;31;15;0;0;0;0;-1;0
43;31;0;2;170;0;0;-1;0
44;31;15;0;0;0;0;-1;0
44;31;0;2;170;0;0;-1;0
45;31;14;0;0;0;0;-1;0
45;31;0;3;180;0;0;-1;0
46;31;14;0;0;0;0;-1;0
46;31;0;3;170;0;0;-1;0
47;31;14;0;0;0;0;-1;0
47;31;0;3;169;0;0;-1;0
48;31;15;0;0;0;0;-1;0
48;31;0;2;170;0;0;-1;0
49;31;15;0;0;0;0;-1;0
49;31;0;2;172;0;0;-1;0
50;31;16;0;0;0;0;-1;0
50;31;0;2;179;0;0;-1;0
51;31;16;0;0;0;0;-1;0
51;31;0;2;180;0;0;-1;0
52;31;15;0;0;0;0;-1;0
52;31;0;2;180;0;0;-1;0
53;31;16;0;0;0;0;-1;0
53;31;0;2;180;0;0;-1;0
54;31;16;0;0;0;0;-1;0
54;31;0;2;179;0;0;-1;0
55;31;16;0;0;0;0;-1;0
55;31;0;2;193;0;0;-1;0
56;31;14;0;0;0;0;-1;0
56;31;0;3;170;0;0;-1;0
57;31;17;0;0;0;0;-1;0
57;31;0;2;171;0;0;-1;0
58;31;15;0;0;0;0;-1;0
58;31;0;1;170;0;0;-1;0
59;31;16;0;0;0;0;-1;0
59;31;0;1;170;0;0;-1;0
60;31;14;0;0;0;0;-1;0
60;31;0;2;170;0;0;-1;0
61;31;15;0;0;0;0;-1;0
61;31;0;4;171;0;0;-1;0
62;31;15;0;0;0;0;-1;0
62;31;0;4;170;0;0;-1;0
63;31;15;0;0;0;0;-1;0
63;31;0;4;169;0;0;-1;0
64;31;15;0;0;0;0;-1;0
64;31;0;4;169;0;0;-1;0
65;31;15;0;0;0;0;-1;0
65;31;0;4;169;0;0;-1;0
66;31;14;0;0;0;0;-1;0
66;31;0;4;170;0;0;-1;0
67;31;15;0;0;0;0;-1;0
67;31;0;4;169;0;0;-1;0
68;31;15;0;0;0;0;-1;0
68;31;0;4;173;0;0;-1;0
69;31;15;0;0;0;0;-1;0
69;31;0;4;169;0;0;-1;0
70;31;16;0;0;0;0;-1;0
70;31;0;4;169;0;0;-1;0
71;31;16;0;0;0;0;-1;0
71;31;0;4;180;0;0;-1;0
72;31;36;0;0;0;0;-1;0
72;31;0;4;170;0;0;-1;0
73;31;15;0;0;0;0;-1;0
73;31;0;4;170;0;0;-1;0
74;31;14;0;0;0;0;-1;0
74;31;0;4;170;0;0;-1;0
75;31;15;0;0;0;0;-1;0
75;31;0;1;169;0;0;-1;0
76;31;14;0;0;0;0;-1;0
76;31;0;1;169;0;0;-1;0
77;31;15;0;0;0;0;-1;0
77;31;0;0;169;0;0;-1;0
78;26;15;0;0;0;0;-1;0
78;26;0;3;169;0;0;-1;0
79;26;15;0;0;0;0;-1;0
79;26;0;2;169;0;0;-1;0
80;26;15;0;0;0;0;-1;0
80;26;0;2;169;0;0;-1;0
81;26;15;0;0;0;0;-1;0
81;26;0;2;170;0;0;-1;0
82;26;14;0;0;0;0;-1;0
82;26;0;3;170;0;0;-1;0
83;26;14;0;0;0;0;-1;0
83;26;0;3;169;0;0;-1;0
84;26;14;0;0;0;0;-1;0
84;26;0;3;168;0;0;-1;0
85;26;15;0;0;0;0;-1;0
85;26;0;2;170;0;0;-1;0
86;26;14;0;0;0;0;-1;0
86;26;0;3;168;0;0;-1;0
87;26;15;0;0;0;0;-1;0
87;26;0;2;189;0;0;-1;0
88;26;14;0;0;0;0;-1;0
88;26;0;2;173;0;0;-1;0
89;26;15;0;0;0;0;-1;0
89;26;0;2;169;0;0;-1;0
90;26;14;0;0;0;0;-1;0
90;26;0;2;169;0;0;-1;0
91;26;15;0;0;0;0;-1;0
91;26;0;2;170;0;0;-1;0
92;26;14;0;0;0;0;-1;0
92;26;0;3;170;0;0;-1;0
93;26;14;0;0;0;0;-1;0
93;26;0;2;169;0;0;-1;0
94;26;15;0;0;0;0;-1;0
94;26;0;1;170;0;0;-1;0
95;26;14;0;0;0;0;-1;0
95;26;0;4;170;0;0;-1;0
96;22;14;0;0;0;0;-1;0
96;22;0;3;170;0;0;-1;0
97;22;14;0;0;0;0;-1;0
97;22;0;2;169;0;0;-1;0
98;22;15;0;0;0;0;-1;0
98;22;0;2;177;0;0;-1;0
99;22;15;0;0;0;0;-1;0
99;22;0;2;175;0;0;-1;0
100;22;15;0;0;0;0;-1;0
100;22;0;2;171;0;0;-1;0
101;22;15;0;0;0;0;-1;0
101;22;0;2;174;0;0;-1;0
102;22;15;0;0;0;0;-1;0
102;22;0;2;185;0;0;-1;0
103;22;15;0;0;0;0;-1;0
103;22;0;2;169;0;0;-1;0
104;22;15;0;0;0;0;-1;0
104;22;0;2;170;0;0;-1;0
105;22;15;0;0;0;0;-1;0
105;22;0;2;169;0;0;-1;0
106;22;15;0;0;0;0;-1;0
106;22;0;2;170;0;0;-1;0
107;22;15;0;0;0;0;-1;0
107;22;0;2;172;0;0;-1;0
108;22;15;0;0;0;0;-1;0
108;22;0;2;169;0;0;-1;0
109;22;14;0;0;0;0;-1;0
109;22;0;2;169;0;0;-1;0
