mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;27;37;0;0;0;0;-1;0
1;27;0;2;218;0;0;-1;0
2;27;29;0;0;0;0;-1;0
2;27;0;2;182;0;0;-1;0
3;27;21;0;0;0;0;-1;0
3;27;0;5;171;0;0;-1;0
4;27;19;0;0;0;0;-1;0
4;27;0;3;189;0;0;-1;0
5;27;18;0;0;0;0;-1;0
5;27;0;3;170;0;0;-1;0
6;27;17;0;0;0;0;-1;0
6;27;0;3;170;0;0;-1;0
7;27;20;0;0;0;0;-1;0
7;27;0;3;179;0;0;-1;0
8;27;19;0;0;0;0;-1;0
8;27;0;8;169;0;0;-1;0
9;27;18;0;0;0;0;-1;0
9;27;0;2;172;0;0;-1;0
10;27;17;0;0;0;0;-1;0
10;27;0;2;177;0;0;-1;0
11;27;17;0;0;0;0;-1;0
11;27;0;3;179;0;0;-1;0
12;27;18;0;0;0;0;-1;0
12;27;0;2;185;0;0;-1;0
13;27;17;0;0;0;0;-1;0
13;27;0;3;168;0;0;-1;0
14;27;17;0;0;0;0;-1;0
14;27;0;4;170;0;0;-1;0
15;27;16;0;0;0;0;-1;0
15;27;0;3;168;0;0;-1;0
16;27;17;0;0;0;0;-1;0
16;27;0;5;170;0;0;-1;0
17;27;16;0;0;0;0;-1;0
17;27;0;4;175;0;0;-1;0
18;27;16;0;0;0;0;-1;0
18;27;0;5;169;0;0;-1;0
19;27;17;0;0;0;0;-1;0
19;27;0;2;176;0;0;-1;0
20;27;17;0;0;0;0;-1;0
20;27;0;4;170;0;0;-1;0
21;27;17;0;0;0;0;-1;0
21;27;0;4;169;0;0;-1;0
22;27;17;0;0;0;0;-1;0
22;27;0;1;169;0;0;-1;0
23;27;17;0;0;0;0;-1;0
23;27;0;2;175;0;0;-1;0
24;27;17;0;0;0;0;-1;0
24;27;0;3;179;0;0;-1;0
25;27;17;0;0;0;0;-1;0
25;27;0;2;178;0;0;-1;0
26;27;16;0;0;0;0;-1;0
26;27;0;5;178;0;0;-1;0
27;27;17;0;0;0;0;-1;0
27;27;0;4;179;0;0;-1;0
28;27;15;0;0;0;0;-1;0
28;27;0;3;183;0;0;-1;0
29;27;15;0;0;0;0;-1;0
29;27;0;4;169;0;0;-1;0
30;27;14;0;0;0;0;-1;0
30;27;0;3;169;0;0;-1;0
31;27;14;0;0;0;0;-1;0
31;27;0;4;169;0;0;-1;0
32;27;14;0;0;0;0;-1;0
32;27;0;4;169;0;0;-1;0
33;27;14;0;0;0;0;-1;0
33;27;0;3;168;0;0;-1;0
34;27;15;0;0;0;0;-1;0
34;27;0;4;169;0;0;-1;0
35;2;14;0;0;0;0;-1;0
35;2;0;2;169;0;0;-1;0
36;2;15;0;0;0;0;-1;0
36;2;0;4;168;0;0;-1;0
37;2;15;0;0;0;0;-1;0
37;2;0;4;168;0;0;-1;0
38;31;15;0;0;0;0;-1;0
38;31;0;3;169;0;0;-1;0
39;31;26;0;0;0;0;-1;0
39;31;0;2;169;0;0;-1;0
40;31;14;0;0;0;0;-1;0
40;31;0;4;169;0;0;-1;0
41;31;15;0;0;0;0;-1;0
41;31;0;1;169;0;0;-1;0
42;31;14;0;0;0;0;-1;0
42;31;0;3;168;0;0;-1;0
43;31;15;0;0;0;0;-1;0
43;31;0;2;168;0;0;-1;0
44;31;15;0;0;0;0;-1;0
44;31;0;2;169;0;0;-1;0
45;31;14;0;0;0;0;-1;0
45;31;0;2;175;0;0;-1;0
46;31;15;0;0;0;0;-1;0
46;31;0;4;168;0;0;-1;0
47;31;14;0;0;0;0;-1;0
47;31;0;4;171;0;0;-1;0
48;31;15;0;0;0;0;-1;0
48;31;0;3;169;0;0;-1;0
49;31;14;0;0;0;0;-1;0
49;31;0;4;171;0;0;-1;0
50;31;14;0;0;0;0;-1;0
50;31;0;3;178;0;0;-1;0
51;31;15;0;0;0;0;-1;0
51;31;0;1;179;0;0;-1;0
52;31;16;0;0;0;0;-1;0
52;31;0;2;178;0;0;-1;0
53;31;15;0;0;0;0;-1;0
53;31;0;5;178;0;0;-1;0
54;31;15;0;0;0;0;-1;0
54;31;0;4;178;0;0;-1;0
55;31;15;0;0;0;0;-1;0
55;31;0;4;198;0;0;-1;0
56;31;14;0;0;0;0;-1;0
56;31;0;2;169;0;0;-1;0
57;31;14;0;0;0;0;-1;0
57;31;0;4;169;0;0;-1;0
58;31;15;0;0;0;0;-1;0
58;31;0;3;169;0;0;-1;0
59;31;14;0;0;0;0;-1;0
59;31;0;2;169;0;0;-1;0
60;31;14;0;0;0;0;-1;0
60;31;0;2;168;0;0;-1;0
61;31;15;0;0;0;0;-1;0
61;31;0;1;168;0;0;-1;0
62;31;15;0;0;0;0;-1;0
62;31;0;2;168;0;0;-1;0
63;31;15;0;0;0;0;-1;0
63;31;0;2;168;0;0;-1;0
64;31;14;0;0;0;0;-1;0
64;31;0;4;168;0;0;-1;0
65;31;15;0;0;0;0;-1;0
65;31;0;2;169;0;0;-1;0
66;31;14;0;0;0;0;-1;0
66;31;0;2;169;0;0;-1;0
67;31;14;0;0;0;0;-1;0
67;31;0;4;170;0;0;-1;0
68;31;14;0;0;0;0;-1;0
68;31;0;2;169;0;0;-1;0
69;31;14;0;0;0;0;-1;0
69;31;0;2;169;0;0;-1;0
70;31;14;0;0;0;0;-1;0
70;31;0;4;169;0;0;-1;0
71;31;16;0;0;0;0;-1;0
71;31;0;3;169;0;0;-1;0
72;26;16;0;0;0;0;-1;0
72;26;0;3;188;0;0;-1;0
73;26;15;0;0;0;0;-1;0
73;26;0;2;169;0;0;-1;0
