mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;27;39;0;0;0;0;-1;0
1;27;0;4;184;0;0;-1;0
2;27;25;0;0;0;0;-1;0
2;27;0;3;184;0;0;-1;0
3;27;35;0;0;0;0;-1;0
3;27;0;10;180;0;0;-1;0
4;27;19;0;0;0;0;-1;0
4;27;0;2;180;0;0;-1;0
5;27;24;0;0;0;0;-1;0
5;27;0;3;172;0;0;-1;0
6;27;19;0;0;0;0;-1;0
6;27;0;3;172;0;0;-1;0
7;27;18;0;0;0;0;-1;0
7;27;0;3;179;0;0;-1;0
8;27;18;0;0;0;0;-1;0
8;27;0;3;171;0;0;-1;0
9;27;17;0;0;0;0;-1;0
9;27;0;3;173;0;0;-1;0
10;27;18;0;0;0;0;-1;0
10;27;0;3;173;0;0;-1;0
11;27;17;0;0;0;0;-1;0
11;27;0;2;179;0;0;-1;0
12;2;17;0;0;0;0;-1;0
12;2;0;6;187;0;0;-1;0
13;31;17;0;0;0;0;-1;0
13;31;0;3;169;0;0;-1;0
14;31;17;0;0;0;0;-1;0
14;31;0;2;169;0;0;-1;0
15;31;16;0;0;0;0;-1;0
15;31;0;3;168;0;0;-1;0
16;31;16;0;0;0;0;-1;0
16;31;0;3;167;0;0;-1;0
17;31;17;0;0;0;0;-1;0
17;31;0;2;169;0;0;-1;0
18;31;17;0;0;0;0;-1;0
18;31;0;2;176;0;0;-1;0
19;31;20;0;0;0;0;-1;0
19;31;0;2;169;0;0;-1;0
20;31;17;0;0;0;0;-1;0
20;31;0;3;168;0;0;-1;0
21;31;22;0;0;0;0;-1;0
21;31;0;3;169;0;0;-1;0
22;31;16;0;0;0;0;-1;0
22;31;0;3;168;0;0;-1;0
23;31;17;0;0;0;0;-1;0
23;31;0;3;171;0;0;-1;0
24;26;18;0;0;0;0;-1;0
24;26;0;3;178;0;0;-1;0
25;26;16;0;0;0;0;-1;0
25;26;0;3;178;0;0;-1;0
26;26;16;0;0;0;0;-1;0
26;26;0;3;178;0;0;-1;0
27;26;17;0;0;0;0;-1;0
27;26;0;2;178;0;0;-1;0
28;26;17;0;0;0;0;-1;0
28;26;0;2;179;0;0;-1;0
29;26;24;0;0;0;0;-1;0
29;26;0;3;168;0;0;-1;0
30;22;15;0;0;0;0;-1;0
30;22;0;2;169;0;0;-1;0
31;22;15;0;0;0;0;-1;0
