mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;32;31;0;0;0;0;-1;0
1;32;0;13;141;0;0;-1;0
2;32;20;0;0;0;0;-1;0
2;32;0;2;148;0;0;-1;0
3;32;18;0;0;0;0;-1;0
3;32;0;3;167;0;0;-1;0
4;32;16;0;0;0;0;-1;0
4;32;0;2;147;0;0;-1;0
5;32;15;0;0;0;0;-1;0
5;32;0;11;138;0;0;-1;0
6;32;15;0;0;0;0;-1;0
6;32;0;9;143;0;0;-1;0
7;36;16;0;0;0;0;-1;0
7;36;0;1;128;0;0;-1;0
8;36;15;0;0;0;0;-1;0
8;36;0;15;125;0;0;-1;0
9;36;14;0;0;0;0;-1;0
9;36;0;1;124;0;0;-1;0
10;36;14;0;0;0;0;-1;0
10;36;0;1;128;0;0;-1;0
11;36;16;0;0;0;0;-1;0
11;36;0;0;133;0;0;-1;0
12;36;15;0;0;0;0;-1;0
12;36;0;1;132;0;0;-1;0
13;36;15;0;0;0;0;-1;0
13;36;0;1;142;0;0;-1;0
14;36;13;0;0;0;0;-1;0
14;36;0;1;124;0;0;-1;0
15;36;14;0;0;0;0;-1;0
15;36;0;1;124;0;0;-1;0
16;36;15;0;0;0;0;-1;0
16;36;0;0;125;0;0;-1;0
17;36;13;0;0;0;0;-1;0
17;36;0;1;125;0;0;-1;0
18;36;14;0;0;0;0;-1;0
18;36;0;0;125;0;0;-1;0
19;36;14;0;0;0;0;-1;0
19;36;0;0;125;0;0;-1;0
20;36;14;0;0;0;0;-1;0
20;36;0;0;134;0;0;-1;0
21;36;14;0;0;0;0;-1;0
21;36;0;1;125;0;0;-1;0
22;36;13;0;0;0;0;-1;0
22;36;0;1;125;0;0;-1;0
23;36;13;0;0;0;0;-1;0
23;36;0;1;124;0;0;-1;0
24;36;14;0;0;0;0;-1;0
24;36;0;1;125;0;0;-1;0
25;36;14;0;0;0;0;-1;0
25;36;0;1;132;0;0;-1;0
26;36;13;0;0;0;0;-1;0
26;36;0;1;124;0;0;-1;0
27;23;14;0;0;0;0;-1;0
27;23;0;15;130;0;0;-1;0
28;23;13;0;0;0;0;-1;0
28;23;0;13;132;0;0;-1;0
29;23;14;0;0;0;0;-1;0
29;23;0;13;132;0;0;-1;0
30;23;14;0;0;0;0;-1;0
30;23;0;1;132;0;0;-1;0
31;23;14;0;0;0;0;-1;0
31;23;0;6;132;0;0;-1;0
32;23;14;0;0;0;0;-1;0
32;23;0;5;132;0;0;-1;0
33;23;14;0;0;0;0;-1;0
33;23;0;5;138;0;0;-1;0
34;23;13;0;0;0;0;-1;0
34;23;0;5;124;0;0;-1;0
35;23;13;0;0;0;0;-1;0
35;23;0;6;123;0;0;-1;0
36;23;14;0;0;0;0;-1;0
36;23;0;1;124;0;0;-1;0
37;23;13;0;0;0;0;-1;0
37;23;0;8;124;0;0;-1;0
38;23;13;0;0;0;0;-1;0
38;23;0;8;125;0;0;-1;0
39;23;12;0;0;0;0;-1;0
39;23;0;8;123;0;0;-1;0
40;23;13;0;0;0;0;-1;0
40;23;0;7;124;0;0;-1;0
41;23;12;0;0;0;0;-1;0
41;23;0;7;124;0;0;-1;0
42;23;12;0;0;0;0;-1;0
42;23;0;8;123;0;0;-1;0
43;23;13;0;0;0;0;-1;0
43;23;0;8;123;0;0;-1;0
44;23;12;0;0;0;0;-1;0
44;23;0;7;124;0;0;-1;0
45;23;12;0;0;0;0;-1;0
45;23;0;7;124;0;0;-1;0
46;23;11;0;0;0;0;-1;0
46;23;0;7;133;0;0;-1;0
47;23;12;0;0;0;0;-1;0
47;23;0;7;123;0;0;-1;0
48;23;12;0;0;0;0;-1;0
48;23;0;7;123;0;0;-1;0
49;23;12;0;0;0;0;-1;0
49;23;0;1;124;0;0;-1;0
50;27;12;0;0;0;0;-1;0
50;27;0;11;124;0;0;-1;0
51;27;12;0;0;0;0;-1;0
51;27;0;11;124;0;0;-1;0
52;27;12;0;0;0;0;-1;0
52;27;0;10;124;0;0;-1;0
53;27;12;0;0;0;0;-1;0
53;27;0;11;124;0;0;-1;0
54;27;11;0;0;0;0;-1;0
54;27;0;11;124;0;0;-1;0
55;27;12;0;0;0;0;-1;0
