mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;32;30;0;0;0;0;-1;0
1;32;0;14;144;0;0;-1;0
2;36;20;0;0;0;0;-1;0
2;36;0;2;156;0;0;-1;0
3;36;17;0;0;0;0;-1;0
3;36;0;16;179;0;0;-1;0
4;36;17;0;0;0;0;-1;0
4;36;0;1;151;0;0;-1;0
5;23;15;0;0;0;0;-1;0
5;23;0;15;141;0;0;-1;0
6;23;15;0;0;0;0;-1;0
6;23;0;14;147;0;0;-1;0
7;23;15;0;0;0;0;-1;0
7;23;0;14;128;0;0;-1;0
8;27;15;0;0;0;0;-1;0
8;27;0;14;127;0;0;-1;0
9;27;13;0;0;0;0;-1;0
9;27;0;12;128;0;0;-1;0
10;27;14;0;0;0;0;-1;0
10;27;0;12;133;0;0;-1;0
11;27;15;0;0;0;0;-1;0
11;27;0;13;137;0;0;-1;0
12;27;16;0;0;0;0;-1;0
12;27;0;13;137;0;0;-1;0
13;27;14;0;0;0;0;-1;0
13;27;0;27;127;0;0;-1;0
14;26;14;0;0;0;0;-1;0
14;26;0;12;127;0;0;-1;0
15;26;13;0;0;0;0;-1;0
15;26;0;2;126;0;0;-1;0
16;29;14;0;0;0;0;-1;0
16;29;0;1;127;0;0;-1;0
17;29;13;0;0;0;0;-1;0
17;29;0;11;126;0;0;-1;0
18;33;13;0;0;0;0;-1;0
18;33;0;3;125;0;0;-1;0
19;3;13;0;0;0;0;-1;0
19;3;0;2;132;0;0;-1;0
20;3;13;0;0;0;0;-1;0
20;3;0;1;126;0;0;-1;0
21;1;13;0;0;0;0;-1;0
21;1;0;1;126;0;0;-1;0
22;1;13;0;0;0;0;-1;0
22;1;0;0;126;0;0;-1;0
23;9;13;0;0;0;0;-1;0
23;9;0;1;129;0;0;-1;0
24;7;15;0;0;0;0;-1;0
24;7;0;13;127;0;0;-1;0
25;7;20;0;0;0;0;-1;0
25;7;0;11;126;0;0;-1;0
26;17;13;0;0;0;0;-1;0
26;17;0;2;132;0;0;-1;0
27;22;12;0;0;0;0;-1;0
27;22;0;2;137;0;0;-1;0
28;22;13;0;0;0;0;-1;0
28;22;0;11;135;0;0;-1;0
29;22;13;0;0;0;0;-1;0
29;22;0;2;139;0;0;-1;0
30;22;13;0;0;0;0;-1;0
30;22;0;5;135;0;0;-1;0
31;22;12;0;0;0;0;-1;0
31;22;0;4;136;0;0;-1;0
32;22;13;0;0;0;0;-1;0
32;22;0;2;145;0;0;-1;0
33;22;19;0;0;0;0;-1;0
33;22;0;18;132;0;0;-1;0
34;22;12;0;0;0;0;-1;0
34;22;0;8;126;0;0;-1;0
35;22;13;0;0;0;0;-1;0
35;22;0;1;129;0;0;-1;0
36;22;13;0;0;0;0;-1;0
36;22;0;0;127;0;0;-1;0
37;22;13;0;0;0;0;-1;0
37;22;0;2;136;0;0;-1;0
38;22;14;0;0;0;0;-1;0
38;22;0;1;127;0;0;-1;0
39;22;11;0;0;0;0;-1;0
39;22;0;11;126;0;0;-1;0
40;22;12;0;0;0;0;-1;0
40;22;0;2;126;0;0;-1;0
41;22;11;0;0;0;0;-1;0
41;22;0;1;126;0;0;-1;0
42;22;12;0;0;0;0;-1;0
42;22;0;11;126;0;0;-1;0
43;22;13;0;0;0;0;-1;0
